序号,评论者,评分,内容,时间
1,Megan,推荐,你们看到了爱情，我看到了背叛。,2011-01-05 10:44:33
2,Ragdoll™,力荐,你什么时候变得这么罗嗦，以前都不是这样，傻女，听我说，现在立刻回家，洗个热水澡，明早起来，满街都有男人，个个都比豹哥好。不用担心，我很有办法的，在台湾有很多老婆，高雄有一个，台中有一个，花莲有一个，阿里山也有一个…… \\\\我这辈子最开心的那一天，就是威廉带我去半岛吃饭，我趁着他不留意，偷了我们用过的刀叉杯碟，现在偶尔拿出来看一下，仍然是很开心，可能威廉早就不记得我了，不过不要紧，我记得就行了，想一下，我现在这么老这么难看，他不来找我其实都是好的。\\\哈，那你要快点，芥兰有艾滋。,2009-05-18 18:00:48
3,王大盆,推荐,傻女，听我说，现在立刻回家，洗个热水澡，明早起来，满街都有男人，个个都比豹哥好。,2013-07-12 00:39:48
4,王xx,力荐,每次看完这种片子，都觉得像过了一辈子那么长,2009-01-06 19:07:26
5,小儿勾,力荐,其实我是被米老鼠感动的,2007-01-17 13:31:10
6,弗朗索瓦张。,推荐,这么多人都看哭了么。。。我就在张曼玉低头碰到喇叭那块儿眼红了下。。。这俩人的缘分太让人嫉妒了,2009-12-18 14:43:25
7,郁殷,推荐,曾经的香港电影多么令人激动与感动。,2009-07-30 23:17:28
8,mu,力荐,重逢只要一瞬间，等待却像是一辈子。,2010-10-29 19:00:19
9,drunkdoggy,力荐,“我不是文艺片导演，这是部十足的商业片，结尾纯粹为讨好观众而设计。现实中，男女主人公不可能在一起。但观众想要他们在一起。其实呢，如果他们能在一起，早在一起了。”我们怎么办啊……,2014-09-10 22:45:39
10,丁小云,力荐,因为一直不怎么喜欢黎明演的戏，所以隔了这么多年，刚刚才看了《甜蜜蜜》这部电影，真好看啊，这才是真正的爱情电影啊……在短短一部电影中竟能拍出百转千回的感觉，看得我眼泪都流干了……缘来如此艰难，缘来如此美妙……不可不信缘……唉，要回到现实中了，晚饭吃什么呢……,2011-03-08 17:56:34
11,LOOK,推荐,张曼玉精彩绝伦的演出成就了这部电影。聚散离合，缘起缘灭，情感的纹理与能量、生成与幻灭、真挚与虚妄，历史的荒诞与无情，一切的一切都是张曼玉。情到深处爆发出来的能量，如花瞬间绽放，充沛又从容，亚洲女星中大概唯有巅峰年代的高峰秀子可与之比肩。,2017-03-05 21:42:27
12,Ocap,推荐,同时代入黎明张曼玉，两人都是我。一句“我来香港的目的不是你，你来香港的目的也不是我”钻破心底，做爱容易说爱难，口口声声好朋友，怕的不是爱你，是怕成全自己。实现人生价值什么的，确实太TM重要了，可老子又不是追梦机器，我TM是个人啊。碍于狡猾的陈可辛，全程没眼水，却犹已流泪千万回。,2017-03-11 14:25:29
13,影志,力荐,"This is not so much a story about people falling in love,
but rather of two young heart trying their best not to fall in love with each other.",2005-07-22 01:26:58
14,今天小熊不吃糖,力荐,“我今天带了个朋友来，听说你很怕他……”——如果是我，我也会选豹哥。在昏昏噩噩之中，我们错过了多少，又真正得到了什么……,2009-02-22 00:54:37
15,阿凡思蜜达,力荐,落魄苍老的姑妈也曾约会巨星有过灿烂的青春，玩世不恭的外国人爱上了身染艾滋的泰国妓女想陪她度过最后的人生，曾叱咤风云的黑道大哥落魄后死在街头混混手里，数年异地深爱不移的女友转眼就不再是对的人。人生只有变化才是唯一的不变，但她大概永远忘不了豹哥，明明看穿了她的心不在焉欲言又止，却主动对她说，明天起床去街上瞧瞧，街上的男人个个都比豹哥好。其实没有，真的没有了。,2018-11-14 17:16:41
