序号,评论者,评分,内容,时间
1,浅显,力荐,除了燃，Mad Max 4还说了一件事。背井离乡七千天，无一日不惦念。不论眼下多苦，相信只要回头就有希望，因为那里是丰饶的绿洲。但这终究只是个幻觉。离开家乡越久，幻觉越严重。你以为逃离能解决一切，但真正的胜者不是寻找green land的人，而是改变wasteland的人。,2015-05-14 19:05:27
2,陀螺凡达可,力荐,近年来最具作者性最有风格的好莱坞动作片，且完成度极高，其存在堪称奇迹。单是前30分钟就已经嗨翻天，风暴戏的配乐简直神来之笔！邪典味的疯劲贯穿全片，文戏少没废话直接爽，如此雄性的动作电影竟然没有直男癌反而讲了一个女性觉醒的故事，片中每一个女性角色都实现了自我价值。PS：电吉他碉堡了！,2015-05-14 16:34:54
3,Minisong,力荐,实在还是有点不能接受这导演还拍了快乐的大脚。。。到底有多分裂才能在这两种风格之间转换啊！2015最酷爽，真·速度与激情,2015-05-17 03:58:26
4,澜瑟,推荐,情节？情节？老子的贝斯都可以喷火了！还要特么什么情节！,2015-05-18 12:15:25
5,同志亦凡人中文站,力荐,热血与烈火、青空与黄沙的狂暴之路，违反各种美学却让人胸腔炸裂的末日邪典。坚信“女人不是物体”的塞隆女神简直屌炸天！文明崩坏后人类终于要重回母系时代了——还有比这更治愈直男癌的吗？？！！,2015-05-14 09:15:12
6,小A,力荐,勉强上5星。很爽，这个爽并不来自动作，而来自各种邪典的设计。镜头和剪辑也很到位。有些邪典设计实在太逗了，一帮人开着改装车掐架，旁边还有个弹吉他助威的，后面一片大喇叭，这个场景可以进年度邪典场景前10了吧。,2015-05-13 05:10:35
7,米粒,力荐,简直high爆了，前三十分钟已经让人目瞪口呆好几回了，但这电影基本没有要停下来的意思啊，如果一定要分成五六段的话，每两段之间的文戏只有大约三十秒，然后又开始High。。汤老湿前三分之二都没啥台词已经被帅cry，后面掀翻史上最炫酷公路乐队之后开始有台词了完全让人招架不住嘛！,2015-05-15 07:12:35
8,L'automne,推荐,全程内心戏都是：【卧槽！还有这种操作！……】,2015-05-14 22:35:15
9,朝暮雪,推荐,我感觉女主一个人可以把《速度与激情》一群男的全都打一遍。,2015-07-04 23:56:29
10,木卫二,还行,核辐射末日美学……不能大银幕欣赏，只能这样了。,2015-07-08 11:32:32
11,A L E X,力荐,硬摇末日公路片，一定要刷IMAX，一定要刷IMAX，一定要刷IMAX，重要的事情要說三遍,2015-05-15 15:43:37
12,徐小猴,力荐,怎么办，如果这个给五星，其他给过三星的公路电影都得改成一星,2015-05-19 02:01:03
13,芦哲峰,还行,黄沙漫漫，一路追逐一路干。末日疯狂，不死不残不算完。,2015-06-25 09:15:03
14,红豆♥,还行,果然干掉弹吉他那个才是最重要的，因为他们打仗最需要的是气氛…………,2015-09-04 02:55:41
15,时间的玫瑰,力荐,血与沙的故事，且燃且悲的西部版末日侠客行。塞隆美且执着，还可以与男人等高抗争，女神当如是。事了拂衣去，深藏功与名，汤老师真·侠客是也。配色帅气，吉他炫酷。 恩，可比复联好看不少。我说姑娘眼熟，超模呀！个死军阀眼光倒不错。,2015-05-14 14:04:36
