序号,评论者,评分,内容,时间
1,桃桃林林,还行,还是前部分更有趣，大玩脑内小剧场，估计很多爱做白日梦的人都有这种体验吧。不过这个主题最终转向了必须走出去，just do it这种。世界风景无限好，宅男啥也干不了。太鸡汤，也太浅了,2014-03-26 06:16:16
2,赫恩曼尼,力荐,"加缪说：“人生的意义，在于承担人生无意义的勇气。如果你一直在找人生的意义，你永远不会生活。”自勉。To see the world, things dangerous to come to. To see behind walls, to draw closer. To find each other and to feel. That is the purpose of life.",2017-01-11 21:58:16
3,陈哈,力荐,美好从来不主动寻求关注。,2014-04-25 15:33:33
4,亵渎电影,还行,本来是年度最期待，因为之前谈过一个类似的剧本，一个摄影师因为一个遗愿走遍世界各地，亲情一丝一缕的被维系，眼里是一片大陆的变迁。这片子的创意差不多，只是执行力太差，情节都是好莱坞这类电影中被用烂的陈词滥调，幸好还有剧本的那点想象力，主流的美式价值观注定也只能是心灵鸡汤了。★★★,2013-12-26 13:37:59
5,仙剑风晨,推荐,在片中《LIFE》杂志闭刊号封面出现的那一刻，我完全被击穿了。,2014-01-19 00:35:48
6,打雷要下雨雷欧,力荐,其实早就想到25号底片大概是什么了。预告片准确给到了全片精华，正片反而是收着来的，西恩·潘的点睛之笔看到热泪盈眶，可以说Ben作为导演不够商业甚至专业，但本片对生活本质的触碰却异常深刻，况且风景和原声也值回票价了……stop dreaming，start living，喊口号的有很多，能真正做到的又有多少呢,2014-01-06 23:28:08
7,福娃迎迎,推荐,如果你见过格陵兰，喜马拉雅和冰岛的火山，就再不会被生活打败。,2014-06-28 19:16:51
8,同志亦凡人中文站,还行,只能看看风景，其他...就没有其他了。白日梦是噱头，到后面连噱头都省了！呸！,2014-04-09 21:11:03
9,A-sun*,力荐,好好看！电影从表面上来看，是对纸媒文化的衰败默哀，实则却是悼念着正在消失的记者精神。为了拍火山爆发而把双脚绑在飞机翼，为了拍雪豹而在雪山装成一块岩石…这些都是不复再的记者精神。年度五星推荐😭😭😭,2014-04-11 23:42:56
10,自由极光,力荐,在香港看的，跟一个很喜欢的人，现在想起这个片子就很幸福。,2014-05-01 09:02:36
11,憨大仁,力荐,是时候让梦想照进现实了,2014-01-07 23:44:33
12,黄青蕉,力荐,有没有十颗星可以给！本斯蒂勒都成精了，Space Oddity那段不知道为什么看一次哭一次，可能是卢瑟的脑波正好对上了的关系吧,2014-04-10 00:20:43
13,顾靳,还行,没想到居然有这么无聊的公路片，而且怎么感觉有点意淫爽文，特别是最后底片揭晓的那段，简直幻视在喜欢的人面前装了一波大逼的普男翻身打脸流，路明非看了都觉得诺诺在全班同学面前用迈巴赫接他的场景不够爽,2023-09-01 00:09:45
14,荔枝超人,推荐,不是心灵鸡汤，是我等老男人非常受用的心灵老鸭汤。,2014-01-14 21:09:32
15,巴伐利亞酒神,力荐,给这片子挑毛病的话，那真是没法挑。因为到处是窟窿，到处都是硬伤，到处都是现实中几乎不可能发生的事情。但还是打五星因为喜欢啊，因为这就是表达内心任性的时刻嘛！画面好看，音乐好听，而且燃啊！真他妈的燃！PS：电影中出现的格陵兰冰岛喜马拉雅山竟然都是在冰岛取景的。,2015-01-10 21:55:35
