序号,评论者,评分,内容,时间
1,桃桃林林,推荐,1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年,2010-09-01 22:04:56
2,山风如月,力荐,大概广电局也不知道该从哪里剪,2010-09-01 10:06:31
3,亚比煞,推荐,你永远记不起一个梦的开端，就像记不起我们如何来到这个世界上。,2010-09-12 06:12:53
4,大宸,力荐,卡梅隆负责革新电影技术，诺兰负责革新电影结构...,2010-07-31 22:49:13
5,楚仙,力荐,一部电影好看到即使你明白它在故弄玄虚也是义无反顾的打五星。,2010-07-15 21:54:25
6,朝暮雪,力荐,所有的梦境中柯布中都戴着戒指，所有的现实中柯布都没戴戒指，所以陀螺只是障眼法，戒指才是真正的图腾。结尾柯布根本不在乎陀螺有没有停下来，因为他出机场的时候没戴戒指，他早就知道自己回到现实了。,2012-08-07 15:42:42
7,陈允然,力荐,我的陀螺停不下来了。,2010-07-17 13:34:58
8,苇间疯,推荐,确实挺好看。人人都在评论这片，我也评不出个鸟来了。因为《盗梦空间》这片，中国人民已经陷入了智商无限的癫狂幻想之中。人人都觉得自己的解释最牛逼，人人都觉得自己是哲学家，是心理学家，是数学家，是诺兰的知己。,2010-09-04 12:18:23
9,影志,力荐,“既然做梦，就做大点” 这句太深得人心了。——2010年最天才的电影。“谁又能说，现实不是梦境。” Do you remember how you got here?,2010-08-26 17:31:32
10,Molly Zheng,推荐,你们终于知道我每天晚上做这种梦有多累了吧,2010-08-01 11:47:12
11,longer,推荐,概念不算新鲜但还不错 ;p 充斥许多漂亮的慢动作镜头和带点匪夷所思的建筑构想，视觉效果挺棒的！偶尔会令我想起Paprika……,2010-07-12 17:27:06
12,seren,力荐,一直在牛逼，从未被超越。只有Nolan才能达到这种境界！！！,2010-07-16 20:48:58
13,kingkongofkhan,力荐,前期的口碑营销确实有点儿过了，绝对还没有达到神作的级别，但依旧是近年来最好的影片，诺兰独有的叙事技巧视觉风格以及影像语言都被完美的贯彻其中，其遵循并热爱的怀古之风从人物造型，台词蔓延到拍摄手法以及特效制作上，不过正因为如此，一些动作戏上的处理还有视觉奇观的展现则还不是那么过瘾。,2010-08-01 08:27:29
14,Villalon,力荐,我还能说什么呢 出影院第一件事就是拿iphone 上豆瓣 至少5颗星啊 第156个评分的 哈哈哈哈 一直要用心用脑看的电影 内容很严谨 逻辑性强 非常好看 等高人仔细分析。。 又去影院 看了一遍 很爽 很抖擞,2010-07-16 21:45:08
15,熊想躺平,力荐,列奥纳多干完这票肯定是要去Shutter Island修养一阵了。,2010-07-17 16:53:52
