序号,评论者,评分,内容,时间
1,我做导演不为艺术只为潜规则,力荐,非阴谋结局 泰迪确实病了 最后泰迪是被治好了 但他不愿活在痛苦中 因而假装自己又犯病了而去做切除手术,2010-07-07 13:24:07
2,Doublebitch,力荐,他到底会像怪物一样活着，还是会像好人一样死去呢？,2010-03-24 00:35:40
3,卷心笋,力荐,结局是开放式的，随便你怎么演绎都有理。所以大概不能断定说看到一半就猜到吧。,2010-02-19 22:00:24
4,橘猫爱吃鱼,力荐,所谓禁闭岛，不是因为这个岛屿被禁闭而对外失去联络，其实还是在讲内心的禁闭吧。,2018-05-29 07:38:46
5,养羊飞行日记,力荐,史上最倒霉精神病院院长，精心策划的剧本杀项目失败，还赔上了一辆百万豪车。,2021-08-10 19:18:53
6,亚比煞,力荐,世界不在我们之外，它就在我们之内。每个人都是精神病，整个世界都是幻觉。你愿意活在一个怎样的世界里？那就为你自己造一个那样的世界，并且相信它，然后你就幸福了。,2011-05-12 10:49:57
7,花非花,推荐,所有人都陪你玩，你好牛逼,2010-07-22 16:41:37
8,🌊,力荐,如果只是把这个电影当作一个悬疑片看，那么看到最后你很有可能会觉得俗套并且索然无味。对于我来说，这更像一个寓言电影：充满了爱，恐惧和感伤。主角是不是病人已经不重要了，也许作者本人就是个唯心主义者。,2010-06-10 01:05:21
9,陈允然,推荐,高中的时候曾和同桌讨论过。如果全班一齐撒一个谎可不可以把班主任搞到精分。,2010-03-26 13:42:18
10,Farrarrah,推荐,好吧，其实这是部*绝*对*不*能*剧*透*的电影。恩！,2010-03-13 00:29:10
11,godzilla,力荐,莱昂纳多饰演的泰迪是一个让人同情的角色，我为他的命运而难过。这不是死亡，但这部电影表明世界上还有比死亡更糟糕的事情。,2018-05-22 19:38:12
12,惑少大射天下受,推荐,他只是厌倦了，所以将错就错，结束了自己。,2010-03-21 03:38:34
13,冬天,推荐,我打4.5星，不能得5星的原因是，电影有些长…… 故事很好，每个转折点都很清晰，故事就像《本能》一样，到最后一分钟揭晓大结局给人惊喜。说不好看的同学，大概没有注意结尾。因为谜题的揭晓，是在影片结尾莱昂纳多说的一句话里。,2010-02-21 14:50:50
14,大-燕-威-王,推荐,实在是看得我直犯晕。看了两遍，第一遍觉得男主本身就是个疯子，第二遍又觉得他没疯……他到底疯没疯我是不知道了，我感觉我快要疯了。,2012-06-24 23:09:04
15,匡轶歌,推荐,这部电影所讲的是：<1>.我们没有面对自己的地方，就会成为我们的命运。——荣格 2. 我们相信什么，什么就是我们的命运。,2010-09-04 22:55:44
