序号,评论者,评分,内容,时间
1,tifanie,推荐,"""突然镜头换到那扇黑色大门前，慢慢拉远。 
如果你哭了。是为BRUNO对吗？ 
那么，shmul呢？""",2012-10-14 02:46:01
2,junepig,推荐,这大概是对纳粹反犹最狠毒的嘲讽了吧，通过欺骗，杀害的不仅是“敌人”，还有自己的孩子。,2009-03-03 20:50:58
3,Ruby超人小姐,推荐,你还当这是一场游戏么？,2009-03-29 06:53:43
4,shu,力荐,最后他成为了穿条纹睡衣的男孩。,2009-09-09 12:53:07
5,Doublebitch,力荐,无论你之前是什么样的人，在穿上这件条纹睡衣之后，都会变成一样的人。这部电影主题深得我心啊，故事讲得也不错，镜头运用，结局处理都很出色，特别是结尾处那个长达数秒的长镜头发人深省。,2010-03-11 11:16:33
6,kissdemon,推荐,大半夜很容易走进情绪，最后的结局压抑得我说不出话。最可怕的教育是价值观的强行灌输，而最可怕的价值观是被一件条纹睡衣分割，看着姐姐满墙的贴画真是触目惊心的疼。,2010-12-10 00:26:29
7,朝暮雪,力荐,小孩总是交友，大人总是树敌。,2013-01-01 11:28:06
8,Sophie  Z,力荐,我一直以为会有传统电影中“最后一分钟营救”的那种结局，我一直理所当然地认为主角不死的光环会在这个男孩的身上，以至于看到最后一幕后我很久都没法接受。说到底这是一部纳粹电影。,2012-04-14 01:14:58
9,Connie,推荐,母亲和奶奶的反应跟一味想要走进成人世界的Gretel姑娘形成强烈对比，不过Gretel在接受洗脑的过程中还是抽空想念起她的小伙伴和远方的家....她屋里的招贴画才是最触目惊心的吧，我比较关心这个女孩的将来,2010-01-18 11:34:18
10,陆企鹅,力荐,最难过的不是布鲁诺穿条纹睡衣了，而是每一个穿条纹睡衣的人本都是布鲁诺。,2020-07-20 13:26:23
11,眼角的花朵,力荐,看得我浑身发冷~,2009-02-08 09:40:23
12,不流ᝰ,力荐,感动我的是孩子的勇气，强大的勇气。,2009-03-01 23:04:35
13,公民奎文,力荐,你骗不了一个探险家，他必须亲眼见证才肯罢休。,2021-07-26 23:59:34
14,Hey Johnny,力荐,夜里安静地看这部片子，莫名的忧伤和震撼。有时候可怕的并不是罪恶本身，而是掩饰罪恶带来的后果会让人误以为罪恶是美好的。看到结局，最后的防线被击垮了，到底该为小男主无辜的死亡和其母痛失爱子而悲恸，还是要为这死成了对其父及纳粹罪行的惩罚而窃喜…（ps.Rupert Friend太妖孽。,2011-03-23 19:43:08
15,nikki,力荐,我觉得它并不比[辛]差，不是只有透过大社会看战争才是正统的片子。父亲就算是纳粹也爱自己的妻子小孩，母亲做为女性心软，青少年容易被骟动，而什么都不知道的小孩只能接受大人给他灌输的知识。我觉得这些都是可以理解的，并不是“刻板”“形像化”的。最后的长镜头看了几遍,2012-09-02 14:52:12
