序号,评论者,评分,内容,时间
1,九尾黑猫,力荐,看到最后眼泪哗哗。。的惊悚片。。。,2008-05-01 02:00:43
2,大头绿豆,推荐,还好我没知道结局就看了。,2005-09-12 20:17:22
3,李九弟Jody,力荐,四次情节升华：第一次是Cole帮助死去的小女孩如愿，代表与自己和解；第二次是Cole拔出石中剑，代表与同龄人和解；第三次是告诉妈妈真相，代表与家人和解，而妈妈也与自己的妈妈和解。第四次，也就是全篇最精彩的一笔，即Mike与妻子以及自己的和解。那些正常世界无法言语的，只能透过非正常的世界告知。,2015-07-24 23:52:42
4,我们高处见,力荐,小孩和妈咪的那一段结局 真感人,2009-12-14 15:14:27
5,桃桃林林,推荐,反转王加催泪王,2010-01-09 20:23:17
6,Kaito,推荐,又是一部以结局见长的电影,2006-08-02 18:32:54
7,cassidy,推荐,这小孩太正了！,2008-12-22 02:03:19
8,Doublebitch,力荐,爱竟然成了本片最大的悬念,2010-08-11 15:31:03
9,文泽尔,推荐,最意外的结局，只有电影能够很好地表达。其中较恐怖的镜头大概是床下看到鬼娃...最悲的画面是布鲁斯威利斯发现自己背上都是血，原来是只看到了自己想看到的，在无意中反而帮助了那个有鬼眼的孩子。个人觉得比《小岛惊魂》要好，但是那是基德曼演的，也有加分了。算一个类型吧,2007-09-19 22:48:41
10,小有™,力荐,虽然第一次看《第六感》已是四年前的事，但现在仍然记忆犹新。看之前就知道这是一部惊悚片，看的过程也的确被个别镜头“惊悚”了几下，但没想到的是，真正令人恐惧，心有余悸的却是影片的最后一分钟。当之前两个小时“惊悚”情节的铺垫成熟时，最后一分钟的真相大白更像是一种宣泄，一种试图冲破所有观看者心里防线的宣泄，而我的确被深深地震撼到了，那是一种发自心灵深处的震颤，一种深刻的心理体验。,2007-06-22 22:34:58
11,影志,力荐,他们无处不在，就像正常人一样到处行走，他们彼此看不到对方，只能看到他们想看到的东西。-“你想要什么？”-“我想要不再害怕……”,2005-08-20 06:31:19
12,Brasidas,还行,一开始看以为是心理片，看了一半失望的发现是老套的鬼片，看到最后惊奇的发现原来是鬼心理片，晕~~,2009-10-06 22:20:57
13,掀桌超人,推荐,...可惜已经看过《小岛惊魂》了...太早猜到了结局...而且漏洞多啊~,2007-01-24 17:32:03
14,陀螺凡达可,力荐,教科书级别的悬念,2011-12-28 08:14:06
15,7酱™,推荐,这孩子的眼睛太美了。,2012-02-10 17:08:39
