序号,评论者,评分,内容,时间
1,Eve.W,力荐,如果说盗梦空间像是工科生拍的 充满了逻辑 数学 推理 极尽聪明之事 那红辣椒就像是文科生拍的 天马行空 无所不能 是一个真正的梦,2010-09-05 23:19:07
2,伍德与夏洛蒂,力荐,看这片的时候一直在怀疑自己的智商，不敢松懈半点，生怕脑力不够用。看罢更一直觉得身在梦中，久久醒不过来，今敏脑子里都在想些什么。。这片牛逼到可怕，高级到渗人，精彩到傻眼，色彩和配乐也是满分。甩开诺兰的盗梦何止十条街。谎言与真实，梦境与现实，其实一直在并存。我想给10星。,2013-07-15 23:19:14
3,布宜諾斯,推荐,极其喜欢游行部分的画面和音乐，虽然满诡异的，呵呵,2007-11-23 09:40:48
4,弗朗索瓦张。,力荐,居然有不是很明显的gay支线。。。,2010-12-14 02:11:06
5,少年夏不安,力荐,Amazing！电影是最伟大的造梦机器！我觉得比盗梦空间还牛逼！,2010-11-18 23:58:15
6,同志亦凡人中文站,力荐,梦境对现实的入侵真是惊悚而奇趣啊啊啊！相比之下“盗梦空间”相形见绌了——或者说正是因为“盗梦空间”太讲求规则与逻辑，反而失去了今敏天马行空、随心所欲的创造力～～～,2015-04-01 07:36:25
7,夏云啦啦,力荐,好多场景跟《盗梦空间》好像啊~巧合么？。。。,2010-09-09 03:15:32
8,小耳朵图吗,力荐,今敏的画风太好了吧,2008-11-02 20:47:20
9,易老邪,力荐,出神入化的剪接切换、瑰丽多姿的色彩构图、天马行空光芒四射的巧妙构思……无不令人眼花缭乱、目不暇接、惊为天人、叹为观止！,2010-11-02 12:33:00
10,Bigteeth,推荐,相对于深远的梦境来说，科学可能不过是一堆垃圾而已。,2007-06-14 14:02:04
11,k,力荐,“今敏告诉我们，动画不是单纯的视觉炫技，而是服务于实拍无法达到的剧情”,2016-05-20 16:14:11
12,冰红深蓝,力荐,"梦境穿越与入侵现实+[8部半]式意识流(马戏团,拍电影未果)。1.软榻皱缩房间，目击自己死亡同[堤]。2.吉他砸头致敬[罗马假日]，车厢勒喉想及[俄罗斯之恋]。3.又见触手系性幻想，可溯源至[着魔]。4.神经节狂喜与百物游行。5.蝴蝶标本,破蝶=蜕皮=破处。6.女孙悟空与斯芬克斯。7.事实来自虚构。| 20240615 大银幕4K版重温，再次为虚实暧昧难分、梦/电影/现实交融互渗的世界迷醉，不过也不能否认，性别刻画与结尾是本片的短板。（9.0/10）",2016-01-30 18:07:40
13,披着人皮的鬼,推荐,“相对于深远的梦境来说，科学可能不过是一堆垃圾而已。”,2010-12-27 23:15:23
14,影志,力荐,“在无人性的现实世界，唯一残存的人性的隐居之所，那就是梦。” 真相来自虚构。,2015-04-22 20:20:47
15,九尾黑猫,较差,"有些失望,有些混乱",2008-06-13 02:16:06
