序号,评论者,评分,内容,时间
1,战国客,力荐,香港浪漫主义警匪动作片的巅峰之作！那段发哥和红姑的轮椅舞堪称香港电影史上的经典镜头~~,2007-06-24 10:28:16
2,伊卡洛斯,推荐,你们都知道我的性格，我喜欢西逛逛，东逛逛，我喜欢流浪，其实爱一个人并不是要跟她一辈子的，我喜欢花， 难道我摘下来你让我闻闻，我喜欢风，难道你让风停下来，我喜欢云，难道你就让云罩着我，我喜欢海，难道我去跳海？,2011-03-23 23:04:09
3,石头星,力荐,看过多遍，完全被三个人特有的自身魅力迷住，张国荣用红酒越红外线、三个人的舞蹈，至今都是经典。还有，发哥说，伊拉克不打仗。那是91年。,2017-03-26 21:20:20
4,眠去,推荐,香港影史最赞三人行,2007-02-25 10:00:02
5,高歌,力荐,优雅——除了这两个字，我不知道怎样表达对他们的爱慕之情啦。,2009-12-20 21:50:01
6,Lan~die,推荐,有新武侠的潇洒。        “其实爱一个人并不是要跟她一辈子的。我喜欢花，难道你摘下来让我闻；我喜欢风，难道你让风停下来；我喜欢云，难道你就让云罩着我；我喜欢海，难道我就去跳海？”,2009-03-08 20:05:15
7,波波维奇,推荐,"红姑息影了，发哥老了，张国荣走了，香港电影的辉煌远去了。这些陪伴着我们长大的电影也要被遗忘了。
  真是“春梦了无痕”。",2018-03-07 18:02:54
8,蚂蚁没问题,推荐,这么多年，还是觉得周润发莫名其妙被人偷垒很可怜啊,2011-05-07 23:15:41
9,趙小漁,推荐,這個組合太誘惑了……,2008-05-16 02:15:02
10,游牧人,推荐,周润发在轮椅上和钟楚红翩翩起舞的场面再过多少年都不会忘记,2008-08-06 23:32:11
11,元宝宝,推荐,三个主演都非常出色的演绎了各自的角色，虽然现在回看起来感觉质量并不十分过硬，但就凭这三个人四颗星不能再低了。,2017-02-24 15:54:41
12,九尾黑猫,力荐,经典就是经典，看无数遍也是经典,2008-03-10 14:39:06
13,鸿音,力荐,因为去过巴黎，就更能感到张国荣站在塞纳河上吹风然后潇洒远去的风流，那种气质真是让人倾倒。发哥很多表演细节很风骚，太搞笑了。红姑还是那么美，绝代风华。,2016-11-09 09:04:11
14,Connie,力荐,我常不自量力地寧願gorgor一直活在那兩年,2006-01-18 18:30:55
15,Pirouette,推荐,钟楚红真美啊 那时候的审美真棒 女人就是要珠圆玉润啊混蛋！,2013-09-22 11:19:03
