序号,评论者,评分,内容,时间
1,影志,力荐,赫本，无与伦比的美丽。,2006-01-08 05:14:19
2,Doublebitch,力荐,离开你 并不是因为不爱你,2010-07-29 11:49:03
3,战国客,还行,没觉得奥黛丽·赫本特别好看，相比更喜欢费·雯丽~~,2008-03-18 13:57:46
4,Miss Lucky,推荐,谁不爱赫本啊,2006-12-22 20:35:26
5,Ocap,力荐,从他背对着走，到不自然的转身，观众和他一样，都在奢望些什么。最后整个记者会的段落，就像戏剧和现实的静谧对抗，现实赢了，却让戏剧的魅力更大。也许爱情就是，你不知道她会不会出现，但你却能肯定：她也想出现。这就够了。这样的结局不知可以完爆多少现代爱情片。,2015-08-30 10:28:13
6,Cherry,力荐,完美的公主，天使的笑容，魅力的男人,2005-07-12 16:57:32
7,老阿飞—故园,力荐,公主与拍小照的穷光蛋，影史上不灭的永恒瞬间,2006-01-08 17:38:20
8,同志亦凡人中文站,推荐,因为罗马，所以经典。因为短暂，所以永恒。顶着锅盖说一句：其实赫本的气质大过演技～,2015-07-11 08:26:34
9,littletwo,力荐,罗马，当然是罗马……,2007-11-11 10:06:50
10,[己注销],力荐,（９／１０）大俗亦大雅。什么叫经典，看过本片后，你就知道有多少后世影片，模仿和抄袭过这部作品了……以前的影片没有特效轰炸之类，便需要加强演技来吸引观众，看过本片就会被赫本和派克的精湛演出打动。赫本的短发造型确实很酷，在那个崇尚古典优雅的年代，公主对头发的这一剪估计让很多人为之惊异吧。重看本片时，深感是不是一直以来，对男二欧文太过忽视了呢？欧文并没有像乔那样对Ann投入很强烈的感情，但当他选择把自己辛苦拍下的照片交给Ann时，他和男主就有了同样的高尚。,2012-03-31 01:11:45
11,熊阿姨,推荐,没有看过这个的经历会显得自己太无知老土，看过了，觉得真是金童玉女啊，真是令人向往的爱情啊！真是......尽管看完了该无知还无知，老土的也没变洋气，毕竟主人公那长相那气质不是几个整容手术几部电影能成就的。,2005-07-17 14:13:25
12,W之芮,力荐,赫本一出场我真是被惊艳到了，身材高挑、五官精致、气质绝佳，无法超越的美，整个影片也拍的很好，不愧是经典，很喜欢,2018-01-13 11:53:31
13,安东尼,推荐,她说 我最爱罗马,2007-04-22 00:17:26
14,Chimney,未评分,奥黛丽·赫本是永远的公主,2010-03-14 16:33:54
15,沙门,推荐,"不错,但也不至于让人欲仙欲死吧?",2007-08-17 15:41:10
