序号,评论者,评分,内容,时间
1,♣lùlu♣,推荐,"所以说不要学数学,你就是不信邪",2007-06-29 11:46:21
2,离,推荐,是的，你必须学会分清哪些是幻觉，哪些是梦，哪些是真实的人生，才可以活下去。,2006-10-18 19:59:04
3,阿猴HOSEA,力荐,幸运的是爱他的女人存在于真实里。,2008-10-10 23:42:39
4,喻鸣,推荐,和近日的《万物理论》相映成趣，皆是饱受精神或生理折磨的伟大天才，以及爱上天才的坚强女人。两部传记片皆淡化传主的道德瑕疵，同时对各自妻子也倾于美化。现实生活中，两位妻子都曾因不堪忍受心生恨意，两对皆离婚。可纳什比霍金幸运，艾西莉亚即便离异也从未放弃爱他，两人2001年复婚。简却另嫁他人,2014-11-29 02:06:53
5,小白的山,力荐,"我觉得你很有魅力, 你对我的主动性说明你对我有同感。尽管如此，传统的信任仍然需要我们在做爱之前进行数多次柏拉图式恋爱。我正在往这方面发展，但事实说来，我真正想做的只是尽快和你XXXX。",2010-06-15 14:11:57
6,Lan~die,力荐,“我的追求带我穿越了物理、形而上学、幻觉，又带了回来”，顶尖科学家的世界已经足够神奇，何况他还有着伟大的爱情。这部电影不仅是纳什的精彩传记，更是对爱情的崇高礼赞——爱是无限，爱是信仰，爱是一切逻辑和原由。,2009-01-23 14:25:48
7,战国客,推荐,与我想象中的不一样，很震撼人的传记电影，从中我最大的体会是：做伟人也真不容易啊~~,2007-07-24 10:18:36
8,别歌,力荐,李笑来老师推荐的一部电影。纳什是历史上第一个广为人知的“用自己的精神战胜了自己的精神病”的人。看的时候不够专注，这是部需要安静认真去看的影片，另现实中精神病始终是一个没有最终被解密的领域，治疗的药物对人的大脑损伤很严重，加速度痴呆和记忆衰退，包括影响性欲。他的爱人其实才是最伟大的,2011-01-14 15:38:27
9,等一个人,力荐,每个孤独的孩子其实都有一个别人看不见的好朋友,2011-03-27 12:43:59
10,眠去,力荐,你让我相信还真有感情这回事。,2007-02-14 10:45:16
11,勤劳的小蜘蛛,推荐,那三只影子好可怜啊，难道幻觉就一定比现实无价值么？这只能由当事人来判定吧？不治好病又如何，我要是他就疯下去，看他之后的萎靡，哪有当年当疯子的意气风发？,2010-04-24 17:01:32
12,CassiniRoy,推荐,美丽心灵这四个字我觉得是在说他老婆,2022-09-18 00:28:38
13,funny_vee,力荐,这才是真真的传奇，再好的编剧也想不出来吧。,2006-11-29 12:35:46
14,大島,力荐,用精神治好了自己的精神病,2014-06-12 11:11:55
15,赫恩曼尼,推荐,所有伟大而美丽的心灵都是孤独的，纳什疯了，是因为他太孤独了。,2012-06-29 14:53:24
