序号,评论者,评分,内容,时间
1,伊宜以忆,力荐,孪生蝙蝠侠大战克隆金刚狼,2009-08-07 00:23:23
2,卷阿黁,力荐,他选择了和他妻子一样的死法。100次。,2009-01-05 21:36:15
3,艾小柯,推荐,一个与同胞兄弟轮流上台享受欢呼与掌声，一个自我牺牲自我毁灭让复制品延续艺术生命。人性泯灭在狂热之中。,2006-10-29 11:33:52
4,私享史,推荐,本片最大的看点其实是用Angier和Borden的幻术竞争来影射历史上Edison和Tesla的直流电与交流电之争。《记忆碎片》、《致命魔术》和《盗梦空间》基本上一个套路嘛。如果Nolan拍片子总是用这种捣蒜的方式讲故事的话，看多了真觉得没啥意思了。,2011-02-05 19:35:42
5,城南草木生,力荐,诺兰是一个伟大的魔术师，谜底都在变小鸟那个魔术里了。。,2010-03-13 14:48:52
6,xaver222,力荐,第二遍才发现其实那个小男孩说小鸟的时候已经道出了玄机 撒~撒~,2010-08-16 01:18:00
7,扭腰客,力荐,金刚狼到头来还是被蝙蝠侠给算计了~！,2009-02-02 09:36:02
8,葱,推荐,黑寡妇勾引完金刚狼勾引蝙蝠侠，最后玩腻了一走了之,2012-06-01 04:08:53
9,大头绿豆,力荐,一种叫做牛逼的感脚淋漓尽致。,2010-03-08 03:53:25
10,亵渎电影,力荐,重点是你从一开始就渴望被剧情欺骗，当你彻底陷入一场骗局，你看到的只是导演想让你看到的，这也是影片的伟大之处。诺兰对于观影情绪的把控和希区柯克是同一级别的！★★★★★,2011-09-17 04:58:47
11,enthusiast,力荐,"牛逼的导演用的是情节去告诉人细节,而不是台词 咱普通人也是一样 想牛逼就要做到这种境界 不说话同样让人佩服的要死!!!",2006-09-20 15:23:42
12,朋克布莱克,力荐,精彩绝伦的叙事！伯德的“双胞胎戏法”决斗安吉的“复制人重生”——牺牲是魔术表演的最高精神，双胞胎选择牺牲自我，轮流分享人生；安吉同样也是牺牲自我，却拿肉体做赌注。明显开放式的结局，你猜安吉有没有把新的自己都杀死了呢，如果没有，那安吉其实还没死。我杀了你的兄弟，你杀了我的备份。,2011-07-10 11:36:06
13,束,推荐,这个片子有两个败点，其一：模式天才的胞弟出现太过唐突，显得有些老套；其二：用科幻成分作为支点，略显编剧底气不足。不过整体看来，属于上乘之作。,2009-12-18 02:55:55
14,根,推荐,克隆出来的Hugh Jackman别杀啊，给咱一人派一个啊……,2017-08-30 10:14:01
15,Lan~die,推荐,人类的历史是斗争的历史，斗争的历史是牺牲的历史。现实残酷又悲惨，比起真相，人们更需要奇迹和魔法。我们每天杀死自己，我们选择被愚弄。  诺兰：“《致命魔术》拍得比较仓促，因为制片方希望能够赶在06年内上映。虽然我做到了，但如果有更多时间，这部电影会更好。”,2008-07-12 19:58:08
