序号,评论者,评分,内容,时间
1,拽拽歪歪&YY,推荐,所以说上班这件事基本可以杀死全世界99%的故事,2021-07-25 07:33:36
2,TOKO,推荐,文艺青年能想到的最浪漫的爱情，在初识的雨夜奔跑，文艺爱好百分百合拍，告白后在红灯前拥吻，在出租房连续做爱一周，在有大阳台的房子同居，在新年参拜捡到一只猫，然后因为长时间的消耗和平分手，在旧地缅怀过去，还会在下雨时候想起你，像极了渴望爱又不相信爱的人们的幻想。,2021-01-31 13:08:24
3,一杭,力荐,你的男朋友，本来读诗集，现在翻成功学；本来玩塞尔达，现在玩消消乐；本来豆瓣骨灰级别用户，现在永久退出豆瓣，加入 996 大军并且被成功洗脑 996 赛高；而你还在读诗歌还在玩塞尔达还在刷豆瓣 —— 所以怎么可能不分手呢？穷是原罪，多少烦心事不都是生活所迫。最喜欢的一处是村花看到苏打在工作于是调低游戏音量，苏打想让她尽兴地玩、叫她调大音量，自己戴上了耳机，最后村花直接关了游戏。明明都是想照顾对方的感受，但最后两个人都不快乐。最好的爱情或许只有一个样子，就是全力满足自己的快乐，而对方恰好出现在每一条让自己快乐的路径里。要的就是那个“恰好”，不做任何刻意的努力。PS1. 苏打村花真好嗑 PS2. 片尾我都认真看完了，因为漫画真的很有爱 PS3. 即使最后要分手，谁不想拥有爱情里最美好的部分呢。,2021-07-25 13:54:21
4,雪山夜叉,力荐,靠消费主义维系的恋爱是抵抗不了资本主义秩序的。,2021-02-12 21:40:32
5,4__real,推荐,“进入社会就像进浴缸泡澡。”于是真的有人在浴缸中死去。,2021-02-03 19:12:31
6,gr,较差,为主人公们对文化的共鸣之浅白而震惊,2021-06-24 20:50:15
7,SJL豆瓣酱,推荐,这部电影告诉我们的可能并不是“越合拍的人越没法在一起”这种日剧截图道理。而是靠消费主义（即使是披着文艺外皮的小确幸文化）也并非对抗资本主义对爱情异化的良药。“要用你的生活来定义浪漫，不要用浪漫来填充它”，不要将任何一种刻意姿态或者内容消费倾向当作浪漫的表现，不要将合拍挂钩到一起听个小众乐队，一起看个杨德昌电影，一起读个小众作家，甚至一起穿匡威开口笑，这多可笑，这不是一种成熟的浪漫观，这恰恰是一种幼稚的，刻奇的，自恋的表现。不要把生活和责任放在浪漫的对立面，保卫周遭，保卫和正视现实生活也是一种浪漫的表现。,2021-08-26 22:34:45
8,Sophie  Z,推荐,我们都快忘记的事，Google街景还记得。,2021-07-26 09:08:58
9,#鼓鼓#,推荐,书影音没法支撑恋爱，建议豆瓣把该片挂在开屏。,2021-08-15 13:17:11
10,scenel,推荐,这种合拍其实还挺肤浅的，人们可能总是高估了共同爱好的重要性。,2021-08-02 23:16:15
11,帷野久,推荐,爱情就像耳机听歌一样，不要一左一右拿来分享，这样两个人听的是完全不一样的曲调。在爱里，应该双方分别戴好自己的耳机，只要知道此刻眼前的这个人和我在听着同一首歌，类似于这样的陪伴就够了。不要求什么，只学会接受，把每一项馈赠当作生命中的惊喜来接受，并且有能力给对方同样的馈赠和同样的惊喜，不抱任何奢望，不做丝毫强迫。总之就是“自由”而已。,2021-02-18 16:57:44
12,Manatsu,推荐,始于同好共鸣的文青恋爱死于柴米油盐。（坂元裕二好懂,2021-02-15 15:32:59
13,库索,力荐,又名：和百分之百合拍的人说再见。,2021-01-30 19:06:41
14,太空船,推荐,现在的iPhone可以同时控制两对AirPods了,2021-08-17 03:09:00
15,YY明明,推荐,坂元想说的大概不是豆瓣友邻的恋爱不行，而是所有的恋爱就是花束般总会凋谢，就算你俩是豆瓣友邻也不行(以及即便如此，恋爱还是像花儿一样,2021-02-03 16:19:42
