序号,评论者,评分,内容,时间
1,Ruby超人小姐,力荐,张曼玉比梁朝伟高，但他们站在一起那么协调。想来，是穿了高跟鞋的她，懂得委婉地低头的缘故。,2010-04-20 07:57:12
2,青灯有味,未评分,"君知妾有夫，赠妾双明珠。
感君缠绵意，系在红罗襦。
妾家高楼连苑起，良人执戟明光里。
感君用心同日月，誓拟侍君同生死。
还君明珠双泪垂，恨不相逢未嫁时。",2007-11-16 10:36:18
3,柴斯卡,未评分,这片不一定结过婚才能看懂。其实和中学生早恋意外地像：欲言又止，零身体接触，害怕被看见，一点风言风语都听不得，话里有话，电台点歌，吴哥窟刻字。旧时代的婚外情和早恋都是一种强大的外力和authority下说不出口的暧昧。婚外情因为两个人都并非没有爱的能力而更显悲凉。,2020-10-30 09:44:07
4,寂地,推荐,"王家卫最强的,就是让人掉到一种情绪中去",2006-01-02 15:32:54
5,无用西泮,力荐,孙太太的暗示，何先生的摇头，同样的事情，总是对女性苛责过多。,2021-05-12 18:44:27
6,醉舟,力荐,"They are in the mood for love, but not in the time and place for it. 剧本很有意思，设置了一对在电影里没有任何镜头的偷情男女，却又无时不刻地提醒着周慕云和苏丽珍不要做爱，所以王家卫镜头里沉闷的男女，空荡的房间里充斥着一种不可得的情欲，极省略的叙事，舒缓优雅的大提琴曲配乐实在是太到",2012-09-10 00:04:35
7,樹一,力荐,最棒的故事不是大战七七四十九个回合，而是欲言又止。,2013-08-12 01:48:21
8,颜叙,力荐,深夜，雨巷，慢镜头；暧昧，寡欢，语还休。与君淡如水，千杯亦不醉。,2012-01-02 20:54:21
9,影志,力荐,一切都退去了，香港、1962年、那个陈旧的秘密…“如果多一张船票，你会不会和我一起走？”也许~也许~,2005-07-22 01:44:23
10,小Z,推荐,谁先感到了寂寞，谁就输了。,2008-07-29 13:14:46
11,办公室甜心,推荐,张曼玉最致命的武器便是她的各种旗袍。,2011-11-24 21:55:52
12,沉歌,推荐,这些年来我一直想问你，如果有多一张船票，你会不会跟他走？,2007-10-14 15:44:29
13,米粒,力荐,好看。又闷骚又让人心痒痒的，最后那个无声的电话还真是让我有点心痛呢。。。而且听久了，感觉上海话和粤语混一起完全没有不和谐啊哈哈。顺便求张曼玉全部旗袍的相册（豆瓣一定有！,2012-09-27 10:54:00
14,P,推荐,张小姐小腿不错，梁先生发型不错。,2005-11-07 13:15:11
15,故作冰天跃马行,还行,"我没有办法骗自己，我就是喜欢不起来。
感觉像是南方城市冬天的一场湿淋淋脏兮兮的雨。爱恨情仇和鸡毛蒜皮都被泡发了，又脏又挤地浮在水洼上。
我没法理解、没法共情，更没法欣赏。",2022-01-30 15:58:31
