序号,评论者,评分,内容,时间
1,少年 遊,力荐,“我看这大清要亡国啊”。,2010-07-21 20:40:13
2,大熊猫,力荐,"芸芸众生，人间百态。
经典台词：我爱咱们的国呀，可是谁爱我。",2010-06-27 02:32:04
3,#瞬间收藏家#,力荐,总想做常四爷，做来做去却还是成了王利发。,2009-04-06 18:13:12
4,毛毛毛读作cuì,力荐,"管他什么时代，原来丑陋的现实都是一样的
ps:京味十足啊，那才叫演戏!!!看演员每一个比一个精彩，配角也不例外，和现在的国产电影相比，差距显而易见!!!",2010-06-19 17:32:23
5,萌汉垚,力荐,我觉得这部作品不朽的原因是它的立意与故事的悲剧性，但最讽刺的是，创作他的人因为文革迫害投湖自尽，比他书中的角色还要悲惨。我真的要大笑三声，流下泪来。,2022-03-24 02:15:28
6,Kerala,力荐,我总是以为过去的人善良单纯，但是看了老舍的作品之后，发现人们还都那样，真是八仙过海，各显神通，有些人偷奸耍滑，坏事做尽，有些人善良耿直，却没有好下场，坏人坏事时时有，而好人好事也并非无，简而言之，那个社会，活着已经不容易了，一切都慢慢来吧，油嘴滑舌，鸡贼心眼的人太多,2018-02-26 11:26:33
7,bird,力荐,以前吃不着花生米，现在能吃了，可牙嚼不动了。,2014-10-26 10:04:31
8,轻河y,力荐,老舍先生怎么也想不到，最后自己竟然成了逆产。,2022-10-08 11:30:11
9,Eve|Classified,力荐,结尾当年看哭我。芸芸众生有你我在那里，等着一切结束。,2015-12-22 14:10:21
10,尹昭,力荐,话剧味儿还是挺浓，《茶馆》本身剧本搁在这儿就没话说了，老舍写得好啊，金句无数。三幕，三个时代，好像时局是变了，可照旧还是民生多艰。爱国者、实业家、圆滑者、顺民……都活不成，活不好。最后一幕，笑泪相加：“那帮狗男女他们可都活得有滋有味的，可干嘛不准我吃窝窝头啊！”,2018-11-18 19:30:33
11,光华映像,力荐,如果中国电影一直都是如此水平，不敢说世界第一，亚洲第一绝对轻松……,2022-08-18 22:44:23
12,xīn,力荐,资料馆2013.9.11.7pm 心内恻恻，看之流泪。撒完纸钱，秦二爷、常四爷相继离去，黑屋中只留一线光明，王掌柜再撒一把，摸下黑布，转入里屋，无限的凄凉绝望。京片子的热闹、诉苦的牢骚，在最后的空空里化为沉沉的哀痛。在老舍所投太平湖旁的资料馆看此片，百感千绪。,2013-09-11 21:59:31
13,每天都有坏消息,力荐,打课本中看茶馆那时候就喜欢常四爷，有骨气，也看得清。“大清迟早要亡啊”，“我爱大清，我怕她完了”，“我爱这国家，可谁爱我呀”。要是最后一把火把老裕泰点了才痛快呢，反正这茶馆不管是谁的，也不是王利发的。正是因为他是王利发，所以他不可能烧了老裕泰献给那世道。三人最后的道别，真让人心酸。“人要有钱了，吃喝嫖赌抽都可以，反正别想着做好事。”这话里头得有多少心酸啊，一声叹息。,2020-12-08 01:29:18
14,达令,力荐,“我爱我们的国啊！可谁爱我呀？ ”捡到的纸钱为自己祭奠，道一句再见留个念想，都混在时代的洪流里佝偻着。,2021-07-31 23:01:42
15,刀叢中的小詩,力荐,虽然不是很喜欢老舍，但这个剧本写得还真不错。六十年一场大梦，老掌柜看尽花开花落，我看你，你看我，都是梦中人物，戏中人物，梨园中人物。只要人类社会还在，这个梦都会继续下去。,2015-09-18 20:47:46
