序号,评论者,评分,内容,时间
1,丁一,推荐,北野武与老母不和。事业稍有起色，老母就每月催他寄钱回家，偶有延迟，便来电破口大骂。母亲的贪婪势利让北野十分气恨，老母去世时甚至不想回家奔丧。后来，北野武的大哥交给他两件母亲留给他的遗物：一封信和一张存折。信里写道：我儿，你从小就生性浪荡，我担心你日后一无所有…存折里有一千万圆,2018-05-18 20:24:18
2,西楼尘,还行,石头能变成糖果，橘子能变成饭团，河里能变出八爪鱼，郊外能变出外星人。习得了将水斗变出星光的魔法，却没有了将夏天留住的神力。拥有了治愈疼痛的纱布，却没有了治愈自己的风铃。去过最不幸运的赌场，最不热闹的车站，菊次郎仿佛牵着儿时的自己，发现长大以后竟然不能像正男那样抹眼泪，真叫人难过。,2020-09-25 23:07:30
3,icancu,推荐,"北斗七星的来由：一个小女孩走了很久的路为她发烧的母亲找水，晕倒在路上，醒来时看到自己的水斗里盛满了水，她开心地要跑回家，这时来了一只很渴的小狗，她把水喂了它，水斗就变成银色的，升上了天空。
　　即便自己缺少爱，也带给别人爱，因为头上有北斗。
　　每个人都在旅行，有目的的，没方向的。有的人一直在走，有的人原地呆着，但我们都会经历很多人事，去遇见，或是被遇见。夏天，就这么结束。",2007-09-16 00:41:30
4,你大立,推荐,奇怪，明明夏天总会有能烧焦皮肤的太阳，讨人厌的蚊虫，闷热的空气。但只要有一阵风吹过来，夏天就是一年中最好的季节。,2017-05-06 17:09:23
5,大奇特(Grinch),推荐,相比久石让的音乐，影片相形见拙。电影像是《中央车站》+《完美的世界》的结合，不同是《菊》以小清新喜剧基调和章回体叙事呈现，主角的可爱流氓性格，自始至终赋予影片乐观积极的情绪操控，即便孩子遇见母亲后主题仍能迅速回到积极一面；缺点是一些幽默元素是强加进去的，看似自然却不真实。,2010-10-25 02:38:28
6,大头绿豆,力荐,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,2005-09-04 15:05:33
7,曾静,力荐,100个人看到片名，都会以为菊次郎是片中小男孩，哪怕看过了，以后看到片名，还是会这样认为。,2017-02-11 20:58:13
8,艾小柯,推荐,过强的风格化有损叙事部分的流畅度，但反而造就出一种非常奇特的空白效应，与人物的怪诞乖张相得益彰。久石让的配乐为影片增色不少，是一部非常有趣而诚挚的作品。,2011-07-05 20:53:34
9,海心,力荐,看到最后我哭了，巨大的孤独感将我摧毁。,2009-01-03 14:48:35
10,2013,推荐,那种纯粹的感动与快乐.好久没有感受到了。,2006-11-02 17:38:31
11,[未注销],推荐,"❶在“奇怪的叔叔”部分，删减有关恋童癖（未暴露）的内容约42秒。影响后续正男在出租车里哭的合理性以及观众对于纹身引发的梦境的理解，何况还有教育意义；
❷有很多“非静止画面”的镜头，分镜之间明显的停顿制造出独特的喜剧效果（虽然不是我的菜）。两人戴着墨镜在酒店违反规定而遭到经理劝阻，是我最喜欢的部分；
❸一场寻母的旅程，尽管终点不尽人意，在路途上已收获家人。这是一个理想化的世界，陌路人没有大奸大恶，即使反面角色出现也参与了幽默桥段；
❹在“大叔从楼梯上摔下来”部分之后就剧终也挺好；
❺下意识逃离吉村家能让我脑补菊次郎的童年。相似的家庭遭遇促成了一对忘年交，所以这不仅是正男的暑期，更是菊次郎的夏天；
❻听着久石让，夏天开始了。影片结束时，夏天也结束了。",2020-09-25 23:39:00
12,文泽尔,推荐,是在arte看的阿..真是，母亲不要的小男孩，还有落魄的帮会成员。庙会那段很温馨,2008-04-08 00:34:43
13,根,力荐,哈哈哈哈哈哈哈肚子都笑出波浪了。夏天真是一个奇怪的季节，明明实际上经历的只不过是黏糊糊的一身臭汗，可是总是忍不住将其与青春之类相联系，然后在夏天以外的季节回想起来的时候就特别特别怀念。每年都要陷入这样骗局似的怀念里。,2014-02-17 21:23:07
14,Zia,力荐,充满爱的北野武 有点木讷总是低着头的小男孩正男 细节总是让人感动和莞尔 在久石让美好的配乐中最后才恍然大悟 原来他才是是菊次郎呀,2009-08-31 15:55:40
15,米粒,推荐,久石让的原声好听到很难不被他喧宾夺主的地步，北野武也不能幸免，看来宫崎骏确实不一般。这个电影现在想想，北野武本人过于熟络的面孔和个性反而削弱了电影给人惊喜的地方呢，如果换成别人来演可能会有更好的效果？孩子的几个梦境挺有趣～,2019-01-13 13:18:27
