序号,评论者,评分,内容,时间
1,早日退休瑾朵朵,力荐,郁闷死了 守着一颗白白嫩嫩的大白菜多少年细心栽培没舍得吃，最后这颗大白菜被猪给拱了的感觉 (☍﹏⁰),2012-02-24 19:47:26
2,[己注销],力荐,我说………………既然树枝和毛巾可以，那么手套也不会有问题吧…………所以婚姻幸福就指望保险套了……………………………………………………………………,2012-02-23 23:34:41
3,♠¾゛,力荐,永远不会忘记的拥抱，是你让我曾有过怎样也不想结束夏天,2012-02-24 22:02:58
4,和也也也也也n,推荐,妖怪有颜就是治愈片 妖怪没有颜就是恐怖片,2012-02-25 15:28:09
5,LORENZO 洛伦佐,推荐,小孩子跑不好就不要跑好伐？！摔个什么摔！摔！,2012-03-09 21:29:04
6,凉,力荐,时间停止在阿金消失的那个夏天，一生一次的拥抱放在回忆里不会变老。,2012-02-24 20:53:58
7,路小北,力荐,有些故事，就算早已烂熟于心，再看时也还是忍不住要哭的,2012-02-24 19:31:25
8,之弦,力荐,一点都没失望( >﹏<。) 真是发自内心的喜欢又痛恨这个故事！,2012-02-23 17:38:24
9,一枝花奶糖子,还行,动画表现平平，算是很平庸的还原了原作，而且……好你妈的短！！,2011-10-14 01:21:00
10,你家贰哥,力荐,最爱 没有之一 少女心都在这了,2012-02-23 16:55:11
11,工口工口小黃門,力荐,银发的狐面少年 夏日 花火 浴衣 隔着面具的那个吻 终于能够拥抱到你了阿金TAT 内山的声音好温柔 从开始就等着虐心的结局呜呜呜我又得内伤一天了,2012-02-25 14:36:49
12,aluuuuuuuuuuuu,推荐,“总有一天，时间会把你我拆散吧，可是，即便如此，在那个时间到来之前，我们一直在一起吧”,2012-03-06 21:38:01
13,青 天大老爷,推荐,我有多渴望触碰你，我就有多害怕失去你。,2018-01-31 10:10:05
14,BKKKKKKK君,力荐,我这个泪点低的人又。。。TAT 又萌又忧伤。。我所剩不多的少女心啊~~,2012-02-23 23:48:55
15,竹子哟竹子✨,力荐,TTTTvTTTT ←只有这个表情,2012-02-23 15:56:56
