序号,评论者,评分,内容,时间
1,岛上的夏奈,力荐,Anne Hathaway美得足以把全世界的基佬都掰直，但刚被掰直的基佬们马上又会被囧瑟夫萌弯。,2012-08-27 19:15:55
2,米粒,力荐,"三部曲，都是关于一次又一次的选择。庞大的人物线索和故事，诺兰已经构造出自己的世界观——我觉得，他是相信黑暗的。Gotham doesn't deserve a hero like this, but he'll still give everything to them. 另，小丑有且只有一个。（用打一星来表达对脑残粉的蔑视的人可以省省了，你们配吗？",2012-07-20 23:39:04
3,Doublebitch,力荐,疯，诺兰究竟把蝙蝠侠系列拍到了怎样一个高度啊，弥漫始终的黑暗感几乎将人吞没，我甚至觉得其它英雄电影可以不要再拍下去了，复仇者联盟二剧组也赶紧解散吧，即使你搞来一万个超级英雄乱斗，也不比高谭市大楼顶上熊熊燃烧着的巨型蝙蝠那般凄美孤傲。四年的等待值了。,2012-08-27 20:18:55
4,胡天翼,推荐,孤立地看，这是一部无可争议的五星电影；但和第二部《黑暗骑士》比起来，它只能拿四颗星。,2012-07-19 01:25:45
5,午安君,推荐,难道我是第一个看的吗？墨尔本crown village cinema， 所有人都鼓掌了，绝对是今年最伟大的电影！,2012-07-19 01:26:26
6,无殇,力荐,"超过TDK不敢说,但永垂影史是扛扛的.",2012-07-11 15:22:36
7,根,推荐,所以那场床戏的作用就是为了证明蝙蝠侠这十几年还是有性生活的……,2017-08-30 20:52:21
8,白发生,力荐,英雄挥别，正气永存；史诗落幕，传奇不朽。漫长黑暗过后，终迎黎明曙光。,2012-07-26 16:10:25
9,艾小柯,推荐,拍出了黑暗英雄的铁血丹心，但没能超越《黑暗骑士》。配乐超赞！,2012-07-20 19:50:43
10,A L E X,力荐,"贝恩真的太可怜了。。。。知道真相的瞬间我原谅了他做的所有坏事！老湿的眼睛真的会演戏！不戴面具的一秒镜头好帅 好虐 好凄美 好想哭！本以为这次我会改邪归正彻底爱上大蝙蝠，搞了半天我还是个悲催的反派控 。。。Goodbye, My Friend. 此去便是永别。（轻微吐槽：马良挂掉的那一下有点囧）",2012-08-02 22:50:47
11,何倩彤,力荐,雙手合十，十指緊扣，我和一場的毒撚淚流滿面，如此蒼白的心，既視之溫柔，只有真心愛過的人，會照單全收，It really doesn't matter，燃燒有時，道成灰燼也有時，在話語把我們逮住之前，我知道我已轟轟烈烈的，真心愛過。★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★,2012-07-20 03:10:16
12,叉叉,力荐,我绝逼无法忍受四十天的剧透所以果断去小破岛看掉了！OH MY GOD！Kneel before the Nolans！之前不看trailer采访TV花絮什么的果然是对的，不然惊喜都没了！I just can't find even one appropriate word to describe it. The epic ending of the Batman trilogy！！！这么一比较妇联好幼稚≧▽≦,2012-07-19 13:22:31
13,朝暮雪,力荐,"为了给哥谭带来光明和希望，他不惜撒一个弥天大谎，为哈维·丹特背锅。
哈维·丹特成为了哥谭的光明骑士，他却成了恶魔。
当法律和道德不完善的时候，它们不但无法伸张正义，反而成了枷锁，约束了好人，让罪犯逍遥法外。
但他愿意替他人承担罪责，让他人保住名誉和清白。
因为他不仅仅是想当一个英雄，他想比英雄做得更多。
《黑暗骑士》的立意和深度已经是超英片中的佼佼者，在你以为《黑暗骑士崛起》很难有所创新的时候，诺兰又玩出了新花样：
谎言能隐瞒一时，但永远是隐患。
哥谭暂时的和平是建立在谎言之上的，迟早会成为反派攻击人们的武器。
阿福何曾不是英雄？他的言行的确会让布鲁斯·韦恩因此而恨他，但同时也能让他继续活下去。
戈登也是如此。谁都能做英雄，即使他做的事很简单，比如给一个小男孩披上外套让他安心，让他知道生活还在继续。",2012-09-02 00:37:52
14,张小北,力荐,完美的终章。这是一部可以让我回忆起当初我是怎么喜欢上电影的电影。,2012-08-27 23:44:49
15,桃桃林林,推荐,解释了英雄以及英雄精神，蝙蝠侠终于找到了他的答案，无论是伤感或是其他情绪，这个黑暗系列终于结束了。汉斯·季默的配乐很棒，激昂或忧伤，很好的推动了情绪，很大一段时间都是被配乐震得热血沸腾的。合格的大片，场面、气势以及紧张感都有。最喜欢的还是猫女，Bane的发挥空间太有限了。三星半,2012-08-27 11:29:52
