序号,评论者,评分,内容,时间
1,咸菜帮老大,推荐,以我有限的观影经验，优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。这个片子基本都做到了。,2016-12-01 22:46:33
2,littledepp,力荐,有个印象很深的片段，首战第一晚他与战友两人坐在战壕里，战友开了一个罐头问他怎么不吃。满脸黑漆漆战灰的道斯笑着摆了摆手说：我不吃肉。多么可敬的人啊，他的信仰无法改变战争，而战争却拿他看似最普通的信仰也无可奈何。,2016-11-28 22:41:13
3,frozenmoon,还行,1.战争场面确实不错，子弹穿透头颅以及被炸毁的半个身子。2.感情线的设定有一种豁出去的庸俗。,2016-12-10 20:38:00
4,失控的小跳蛋！,力荐,队伍配置中奶妈的重要性,2016-12-08 22:29:13
5,同志亦凡人中文站,力荐,枪林弹雨过，片叶不沾身。信仰没能改变战争，但也没让战争改变自己。梅尔·吉布森的宗教狂热病和个人英雄主义都让我想BB，但因为有本命在闭着眼睛也要给五星啊～（只有加菲才能这么一脸阳光的面对杀戮和暴力，五好青年的笑容太美！！！）,2016-11-02 16:56:03
6,影志,力荐,“每个人的信仰都值得尊重，这就是最真实的我们” 我操，好久没看到如此热血经典范儿的电影了！复古老派，却看得老泪纵横。继上一部导演作品《启示》后，阔别十年的梅尔·吉布森依然出手不凡！恍惚在看2016的《地心引力》《勇敢的心》《拯救大兵瑞恩》《辛德勒的名单》…（短评也得老干部一点,2016-11-29 23:21:18
7,桃桃林林,推荐,特别老派的热血直男片，甚至觉得叙事目的性强烈到有些直白。然而，就是好看。前半部分就是压制观众情绪，后面的战争就是帮主角和观者释放，去证明主角。战争场面太硬了，血腥可怕，看到紧张，如炼狱一般。我认同他的那些信仰？胡开尔啊！真正让人激动的，还是见证普通人创造的奇迹，因为这是真的。,2016-11-25 15:21:45
8,朝暮雪,推荐,救人75命，胜造525级浮屠。,2016-12-08 02:08:24
9,木卫二,推荐,没有真人真事加持，你真会觉得，梅尔·吉布森是一枚假天主之名的神棍。当真实不可思议到某一个程度，你就会觉得，它怎么可以比电影还假啊。但这么老派的关乎个人信仰的电影，傻纯真的故事，看起来还是令人动容。电影是《全金属外壳》的两段式结构，大段的平静和抗争后，突然进入手撕鬼子的地狱模式。,2016-11-30 11:58:40
10,亵渎电影,还行,战场的残酷指数五星，战场之外的部分都是渣。,2016-12-14 18:17:56
11,李小丢,力荐,李安想告诉我们英雄是会软弱会迷茫的平凡人，梅尔吉布森告诉我们英雄都是神一样的人。但是这部片的好处是，同样是展现人的神化，它可比手撕鬼子的剧真实多了。大概是因为真正的神从来不觉得自己所做的一切常人难以企及，他只是谦卑地认为自己做的还不够。克制是最大的美德。,2016-12-12 14:03:36
12,davekozg,推荐,看完觉得吹牛啊，结果片尾出现正主时震惊了，再一查历史，真实道哥居然比电影里还开挂，真死人堆里爬出来的。当下好莱坞难得一见的右派电影，梅尔吉布森甩掉了神神叨叨，拿出宗教信仰和残酷战场，战争场景真实血腥，令人发指的牛逼 #这战争场景要是3D高清估计得看吐了#,2016-11-07 11:24:53
13,早日退休瑾朵朵,力荐,观众纷纷表示：前一个小时简直昏昏欲睡。你看，不管是屏幕内外，大家关心的、想看的都只是流血、战争与死亡，没有人关心你的选择和信仰,2016-12-09 19:32:21
14,梦羽灵泉,力荐,无需多做评价，最好的评价就是开篇的字幕——a true story,2016-12-08 17:03:31
15,邓安庆,还行,蛮好看的。只是看时有点烦躁：（1）你坚持你的信仰可以，可是你坚贞的固执把其他人都给卷了进来，为你操心，为你愤怒，带来诸多冲突，当然这个固执也是他之后救了那么多人的动力。（2）这种类型的片子女性永远都是扁平的配角，有点厌倦了。,2016-12-10 15:11:26
