序号,评论者,评分,内容,时间
1,单线程青年,力荐,抵制血钻~~~BS为了小破石头的虚荣而不惜以采钻者血的代价来实现的女人们~~~要是我吗，冰糖也能当钻戒,2007-04-05 08:12:52
2,布宜諾斯,推荐,但愿看过这片子的人以后都不再向往钻石,2008-09-20 13:29:59
3,海心,力荐,每个国家都曾经是非洲,2008-01-20 17:11:12
4,🐖,力荐,如果早拍10年并换个更有质感的女主，比如年轻时的梅里尔斯特里普，这部片应该能成为另一个走出非洲。除了探讨血钻主题，事实上影片也探讨了很多其他的宏大命题如战争、儿童兵、不绝对的正义与邪恶、生命的意义等。且并不显得突兀，很好的融合在剧情里。剧本有张力，Leo表演很赞。后半程配乐不错。,2011-03-03 23:22:16
5,冰红深蓝,力荐,影片并非毫无瑕疵，也确实不够深刻，但在同类题材中已是翘楚。非洲的种种深重苦难、内战和血钻的残酷来历都令人震撼，片中还借女记者之口自讽我们都在消费别人的痛苦，一语中的。剪辑和摄影都可圈可点，小李子演技好到让我第一次真正喜欢上他了。故事本身十分沉重悲怆，詹妮弗康纳利太养眼。（8.8/10）,2015-07-19 01:18:46
6,大头绿豆,推荐,又是一个Leonardo适合的角色，彪悍的小混混。“几内亚，100万人的非洲第二大难民营，但在电视上，最多只能播1分钟新闻，在体育和气象之间。”,2008-03-03 09:00:27
7,罗弘霉素,力荐,小李一直在努力，非常非常努力，虽然冲奥之路很坎坷，但是这些历练一定不会白费。期待你的《胡佛》《了不起的盖茨比》,2012-01-09 12:18:52
8,司令,力荐,在去南非的飞机上看的。本来觉得就不买钻石了，最后居然还是忍不住买了一颗。,2014-03-03 20:31:42
9,六月安生,力荐,没有买卖就没有杀戮，这样的非洲是我不曾了解的！,2012-01-15 21:52:51
10,ﾐﾉﾑｼ,力荐,电影里有一句貌似“一个年轻人花三个月的薪水为爱人买钻戒，可谁知道背后间接的为苦难带来更多利益”其实钻石常常都不代表幸福。,2010-01-29 15:04:03
11,Doublebitch,力荐,很有力的人性片,2008-11-24 20:32:00
12,猫语猫寻,力荐,战争、种族、人性，电影想要表达的东西非常多，但却真的可以被完全接受，这真的太难得了。如果小李通过这部片拿影帝会更让人欣慰吧！总比和熊搏斗有意义的多啊。最后那橱窗中美丽的钻石和街头无措的所罗门真让人难过。,2016-12-31 21:02:01
13,dormant,还行,套着uncle sam一贯的假惺惺救世主外衣，其实就是纯popcorn片，看着挺娱乐的。,2006-12-25 21:39:27
14,梦里诗书,力荐,钻石固然有着自已的美丽，但它的背后侵染着多少血色，电影《血钻》中不仅有着亲情与爱情的奠基，更揭露着非洲动荡的原罪，长达两个多小波澜壮阔的非洲史诗，当璀璨的光芒湮没了非洲这块失落大陆最后的光明，虽然人的贪欲永远无法满足，但人性的光芒亦然永痕。,2016-01-14 16:54:22
15,幸福的奶黄包,还行,对于这样的现实题材电影，真的是不好评价。明明是略显文艺的剧情片，却拍的和爆米花电影一样，就像机器加工出来的，煽情部分和动作场面被安排得严丝合缝，刚煽完情就打架，打架打累了再煽情。但是电影想要表达的东西是值得关注的，钻石行业的内幕以及非洲社会的军事安全，让人触目惊心。,2014-12-11 01:52:00
