序号,评论者,评分,内容,时间
1,一株🍀香菜,力荐,是嘲讽吧——你以为人生要完了的时候它还在继续，你以为人生可以重新开始的时候，人生已完。,2012-09-10 20:45:15
2,吴花果,推荐,"""小时候,谁都觉得自己的未来闪闪发光,不是吗 　　但是一旦长大,没有一件事会遂自己心愿"" 　　 　　她总是想着办法，即便是些常人看起来怪异可笑的办法来面对不太公平的生活遭遇． 　　 　　看得我真他妈压抑. 　　我就是无比恐惧自己的生活会变成这个样子 　　导演和编剧把我对我生活的梦魇般的臆想变成了胶片",2007-04-08 15:21:18
3,战国客,推荐,她只是怕寂寞……,2009-10-11 21:46:34
4,张天师,力荐,她不明白人生失败的根源就是全身心地投入舍弃自尊来博得并不值得拥有的所谓爱,2009-12-14 21:10:55
5,Carson,力荐,"用喜剧的手法来拍一部悲剧
你会发现最后笑得前仰后合
而眼里却挂满了泪水",2007-06-07 13:32:05
6,半袖,力荐,松子的生命力真顽强，每次说着“我觉得人生完了”，但是又都站了起来，当然，那时候她多么年轻，还有时间，还有爱。可惜正常的人生还是可望不可及，无非想被爱和爱人，但是不止寡情会辜负人，浓情同样也会。她总是在忍受，即便挨打，也还是要坚持在一起，留着希望，也许这也是一种方式的被重视吧，聊胜于无。是呀，为了被重视，她不断的去讨好别人，用鬼脸、用身体、用爱，但是那雪地上的一击，任谁都会被打垮吧，所以她不再反抗了，对人生逆来顺受，没有人可以相信，善良终于被挥霍完毕了。,2009-01-26 20:41:28
7,▲,还行,到底好看在哪，这样的人生不都是她咎由自取么。,2011-02-13 15:14:08
8,寂地,力荐,这个故事是对“少女情怀”赤裸裸的嘲讽！,2010-01-10 22:49:17
9,Zia,还行,不过想说所谓爱情以及生活远没有那么崇高，把愚昧夸大成宽容和勇敢令人深感无趣。,2009-07-07 18:59:56
10,林||我们谈什么都像谈死！,力荐,明明是一个辛酸又残忍的故事，却拍得像童话一样漂亮，看的时候会笑，可看完却泪流满面，这种感觉我不喜欢。,2007-02-20 22:05:52
11,城南草木生,力荐,但是她说，我要跟着他，就算下地狱，那时候真美。太宰治说：难道纯真无暇的信赖之心也算是罪过吗？,2009-11-01 22:10:42
12,Doublebitch,力荐,【就算被打，也比孤独一人好】如果单拎出一段来看，一定会被浓烈的色彩、童话般的氛围和OST给骗了，其实这是一个在讲述“破碎”的故事，为了取悦别人松子不断的付出着钱财肉体灵魂乃至一切，可生活的变故却让她不断的破灭破灭再破灭，但她还是一次次站起来了，为松子鼓掌，操他妈的生活。,2010-05-12 17:13:04
13,原来是西门大嫂,推荐,生而为人对不起不是关键，不是该如何爱人的问题也不是该在乱世下如何生而为人的问题。因为永远怀着自以为的爱人的方式和错误的善意才是松子“被嫌弃”一生的杯具的源泉，临死前替路人中学生而进行的反抗才是她人生中第一次真正的勇敢。,2008-01-30 18:16:12
14,一湄,力荐,如果上帝像姑姑一样让人欢笑，给人打气，爱别人，自己却总是伤痕累累，完全不擅打扮，傻到透顶。如果上帝就像姑姑那样，我倒愿意信仰他。,2011-03-12 13:25:26
15,小耳朵图吗,力荐,生而为人，对不起。,2008-05-28 02:21:19
