序号,评论者,评分,内容,时间
1,花继续开,力荐,“有人问中国最伟大的人是谁？人民说是他，他说是人民。正确答案是人民，但他若不曾出现，是不会有这个答案的。”,2020-10-14 02:51:39
2,朝暮雪,力荐,要是姜文拍完这部电影就宣布退休，他会被封神。,2012-08-13 11:03:47
3,大奇特(Grinch),推荐,开篇大四喜，尾声单钓将；麻筒子连七对，汤混子全不靠，四万字无番和；大三元影帝，清一色男配，花牌周韵，自摸姜文。,2010-12-16 03:19:43
4,弗朗索瓦张。,力荐,说姜文用力过猛的  那只能说明您受功不够 受用不起！,2010-12-17 02:04:49
5,顾盼,力荐,姜文说，我想站着把钱挣了。他做到了。结尾处的那句 没有你，对我很重要。怎么解读都不为过。,2018-02-08 17:53:21
6,shawnj,推荐,并不是所说的那么出色，被过誉了。横向比很棒，纵向比是姜文几部作品中最差的,2010-12-16 14:41:24
7,Touma,力荐,拍个虎虎生风，拍个一日千里，拍个恍若隔世！,2010-12-16 17:15:11
8,于少,力荐,牛着逼！,2010-11-27 00:54:12
9,cornmeal,力荐,谁赢他们帮谁，但是他们不明白，他们帮谁，谁就赢。人类不感谢罗辑，同样的，人民也不感激牧之。,2022-03-19 19:06:05
10,琦殿,力荐,行了，装逼一次，继段奕宏，姜文再一次满足了我对男人所有的幻想。操，嫉妒周韵。,2010-12-17 20:46:01
11,溴化雞,力荐,20210315改五星，当年是真的没看懂，很隐晦，现在回看越来越觉得我不适合生活在现在这社会上了。哦对，为什么回看？因为发现现在很多社会事件拿里面的对白都可以解释。。。。,2021-03-15 11:07:35
12,momo,力荐,姜文这种黑色幽默式搞笑时不时会出现在他的作品中，这部尤甚。,2018-03-06 08:34:08
13,想foll你每则ig,力荐,影片反映了三个年代，1、影片背景的年代，2、影片拍摄的年代，3、以后的每个年代,2022-07-15 01:19:16
14,妖灵妖,力荐,国泰电影院早场「让子弹飞」全场爆笑四十多次，片尾观众自发鼓掌，这是姜文私版的「革命往事」，大家都让他站着把钱挣了吧，虽然影片有一些明显的问题,2010-12-16 15:38:15
15,木由,力荐,慷慨悲壮的《太阳照常升起》用来做姜导的战歌真是最合适不过了。 7年后回来再看突然发现从前没看懂。原来这讲的不是一群肝胆相照的英豪打败恶势力后各奔前程的光明故事，讲的是众叛亲离。屠龙勇士始终只有一位。汤师爷、三哥和花姐早就叛变了，小六和二哥一抔黄土埋忠骨，从前几位劫富济贫的兄弟最后成了“吃着火锅唱着歌”拿着委任状去捞钱的新一代恶龙，黄四郎金蝉脱壳甚至成了他们的师爷。新的循环开始了，凝视他们的只剩下大哥孤家寡人，他却还是选择了打马上前。乌合之众谁赢帮谁，贪得无厌，真的值得被解救吗？他不去想，他只去做，因为他不是张麻子，他叫张牧之。,2022-05-31 15:49:48
