序号,评论者,评分,内容,时间
1,牛肉粉.cpp,较差,配乐调色可称完美（天哪那段elio从阳台上寻看oliver时的钢琴）还有很高兴终于在电影里看到了对男性身体作为性客体的欣赏。但是导演（或者是原作者）的审美也就停留在此了，其他的，不管是父亲那段独白，对女性经历的剥削与不屑，还是点题的互换名字，都俗气浅显轻浮毫无头脑。,2017-10-05 09:13:44
2,德米安。,力荐,elio坐在火炉前，一会儿落泪，一会儿抿着泪水笑了，一会儿眼睛里又恢复了冷漠，仿佛在短短几分钟内，他把那个夏天又度过了一次，且此生还要度过很多次。,2017-10-28 07:00:49
3,陀螺凡达可,力荐,后劲太大，沉醉在电影的情感和视听氛围中无法自拔。雕像下的长镜头，午夜约会时的触碰，深夜教堂外和陌生人的尬舞。最终所有乌托邦似的美好都凝固在了80年代初那个夏天的意大利小镇，就像父亲说的那些炽热纯粹又隐秘的欲望和情感，以及用尽全力去探索、去爱、去失去、去心碎的那个自己，再也没有了。,2017-02-22 17:23:57
4,朝暮雪,力荐,我知道读书，知道游泳，知道改编乐曲，知道皮亚韦战役是最惨烈的战役之一……我什么都知道，却不知道怎么让你喜欢我。,2017-12-23 15:54:09
5,亵渎电影,推荐,当年读小说的时候，就被最后老爹那段话感动，是那段话的态度，让整个故事变得不一样了。一个意大利少年和一个美国青年渡过了生命中的六周，他们之间不仅仅是同志感情，最后成了一种超越爱情和友谊的美好东西，告诉你要学会去感受生命中的一切，在年轻的时候拥抱所有感觉和情绪，就像一种修行和成长。,2017-12-22 13:00:03
6,同志亦凡人中文站,力荐,细腻、唯美、慵懒，带着浮生若梦的气息。我们大多数要等到青年时才能将蒙昧的性觉醒付诸实践，而CMBYN呈现了同志电影绝无仅有的“少年时代”。这个叫Timothée Chalamet的男孩是世间最美的珍宝，他的一颦一笑、从脚趾到发梢都让人疯狂。请以你的名字呼唤我，因为在这一刻You're MINE,2017-07-28 13:45:45
7,大島,推荐,相对于这样一场爱情，我更需要这样一栋房子。,2018-01-02 17:18:30
8,淋,力荐,午后一两点钟的嘈杂虫鸣。我的房间。他的房间。把全世界隔绝在外的阳台。微风追随花园里的水汽，沿楼梯往上吹进我的房间。那年夏天我爱上钓鱼，因为他爱。爱上慢跑，因为他爱。那年夏天我听鸟欢唱，闻百草香，感觉雾气在阳光灿烂的日子里从脚下升起，而我警醒的感官总是不由自主全涌向他。,2017-01-26 18:43:14
9,桃桃林林,推荐,美术，摄影与恰到好处的配乐都太出色了，美好的夏日时光，恰好对应初恋的故事。这个导演在影像上一直很有特点，也非常突出。最后一场戏确实厉害，一点点渗出的感伤。虽然当时看的时候，也就是觉得还好，还不错，之后倒是总想起结尾那场戏，看起来，还是记住了。,2017-11-13 18:47:47
10,sureyet,力荐,中文译名：跟你姓,2017-11-29 22:26:18
11,影志,力荐,“我无法忍受沉默，而与你交谈恰是良药”两个人最好的状态是，你会啃我下手过的桃而我心里只有你将离别的悲伤，原来很早之前就在球场上暗示过喜欢你。“每开始一段新的感情，我们能给予的便越少，但为了让自己没有感觉而不去感觉，多么浪费…别让这些痛苦消失，也别丧失你感受到的快乐”2017最佳！,2017-12-22 14:31:48
12,浅显,推荐,1. 骚年，你上辈子积了多少德才能投胎在这样的家庭？2. 家里挂墨索里尼像的老太太二话不说就为过路的陌生人取水。3. 真是一部跨越性向的爱情片。4. 导演相当呆萌。5. 快点通读完古罗马史去呆梨! Laterrr.,2017-08-04 19:39:49
13,歌辞,还行,中学生的爱情，很美好，但都不作数的。基本上就是大小两个渣男生动而细腻地互撩。爱是真的，伤心也是真的，但它并不比别人的更难得更珍贵，至少在我看来还不如那个骑自行车来送别的妹子情真。Elio与Oliver之间怎么超越了友谊与爱情，你说超越就超越了？,2017-12-23 08:44:37
14,muahaha,力荐,终于把gay片拍出了当今les片的美感，想当初看湖畔的陌生人真是看出心理阴影来了,2017-01-30 12:55:00
15,邓安庆,推荐,看进去后，我觉得并非糖水片。从相识，经历试探、闹别扭、忍不住靠近、戳破那层纸、干柴烈火、甜蜜相处、挥泪告别到深深无奈的过程，展现得细致舒缓。爱到深处，五脏俱焚，连回去的力气都没有了。小演员的演技真是太好了，结尾处他蹲在炉火边默默哭泣，那种复杂的情绪，经得起长时间的镜头凝视。,2017-12-24 21:55:49
