序号,评论者,评分,内容,时间
1,Song³,力荐,拍摄利落。全片大量采用了近景跟随拍摄，追逐逃亡场景用极短的镜头剪接连缀，没有用近几年时髦的慢动作、子弹时间、镜头满天转等特效。但是一样达到了让人屏住呼吸、目瞪口呆的效果。汽车追逐片断中近距离车内拍摄的碰撞场面尤其惊心动魄，远比其他动作片中动辄撞坏十几辆车来的惊险刺激。,2009-04-26 20:23:25
2,Baristina,推荐,俄罗斯出租质量真好,2012-09-06 15:41:02
3,暖鱼,力荐,整个片子干净利落，扣人心弦。对自我身份的确认与对过去的救赎又让影片多一份厚重。,2007-08-18 02:50:07
4,阿底,推荐,伯恩在水下亲吻玛丽的那段，真是又美丽，又悲伤，唉。,2008-03-17 08:49:20
5,D I D A,力荐,手提摄影，快速剪辑，身体力行，暗藏杀机。间谍动作片由此洗牌,2010-02-02 15:06:08
6,Jehovah,推荐,"我发觉叫JB的都很厉害，是不是？James Bond, Jason Bourne",2009-06-18 21:09:42
7,冰红深蓝,力荐,《谍影重重》1~3是我看过的最棒的动作惊悚片了！这三部比碟中谍、007什么的更刺激、更真实。没有美女帮忙和高科技道具，全靠观察力、DIY和身手~ 导演和编剧功力不浅，马特·达蒙把动作戏和感情戏都演得宁静自然。毫无多余的煽情或莫名其妙的拖延，代入感极佳。（9.5/10）,2014-02-23 14:03:45
8,毛毛毛读作cuì,力荐,拍摄手法牛哄哄的！无论镜头、配乐、节奏都无敌的!!!!!,2010-06-19 01:27:14
9,蚂蚁没问题,推荐,Matt Damon纯爷们，纯的,2010-02-16 11:08:58
10,|,推荐,环游欧洲风情片..,2008-09-04 03:23:27
11,西楼尘,推荐,仇恨不知缘起，总有因果业障，于是只好道一声抱歉，原谅我前尘的孽债。节奏惊心动魄，剪辑狠绝凛厉，欲加之罪的亡命特工正面反击，辗转果阿那不勒斯柏林伦敦莫斯科，连环复仇与自证清白，却难以全身而退。两张相片，分别是刻骨铭心的爱和悔。也许非要失去后才会懂，虚惊一场，乃是生活中最美好的词汇。,2016-08-24 22:30:14
12,七姐Clau☁dia,力荐,很难想象自己第一次看的时候居然不喜欢，看来随着年龄的增长对一部电影的看法也会改变。我们的伯恩没有高科技，没有帮手，靠高智商和好身手赤手空拳对抗强权，你以为电影传递的会是复仇的快感，想不到是一曲壮士的悲歌。,2016-07-04 22:02:12
13,肥嘟嘟左卫门,力荐,专业谍战片就是不一样，各种细节都非常精彩，悬疑揭秘也扣人心弦，却没有靠复杂的要命的剧情,2012-11-23 21:42:09
14,Q。,推荐,情节步步紧逼，咄咄逼人，丝毫不敢走神。飙车戏份也让观众看的紧张刺激，目不暇接。作为承上启下比较尴尬的第二部，虽然更换了导演，但仍然很好的保留了前作的风格，还加入了一些新的东西。★★★★,2011-05-11 03:12:47
15,流连,未评分,不要以为你男朋友厉害你就不会死,2010-07-18 11:12:32
