序号,评论者,评分,内容,时间
1,柏林苍穹下,力荐,“我的灵魂与我之间的距离如此遥远，而我的存在却如此真实。”——加缪,2012-05-05 23:29:51
2,亚比煞,推荐,少年时，我们都自私无知，夸张那些伤痛来当作放纵的借口。只知依赖不知自救，只知索取不知珍惜。打架，滥交，还自以为是看透了生命，绝望的很酷，其实肤浅的令人发指。孩子，什么时候你开始沉默的承受加诸你身上的重量，尊重它并与它和平相处，你才真的能称为一个大写的人。,2012-06-03 14:00:11
3,linsang,推荐,这是一部不推荐看的好电影。没病的都要看出病的。好的作品分两种，一是发现世界的极美，二是挖掘人间的极苦。这部就是后者。,2012-06-02 19:45:40
4,根,推荐,长得像圣徒也蛮惨的，所有人都期待能从他那里得到救赎。我也好想被他拯救哦,2019-09-29 22:01:34
5,匡轶歌,力荐,一次次泪倾，哭到胸口抽痛、难以呼吸。当我们感到需要暖意，首先要学会的，是彼此拥抱。穷尽一生，我们要学会的，不过是彼此拥抱。只因“一个人可以轻易地学会不在乎，但学会在乎，却要付出百倍的努力和勇气”，再不要独自一人穿过灰暗暝寂的暮色，在摇摇欲坠之前，在生命荒芜心脏冷却之前，彼此拥抱。,2012-04-26 21:56:43
6,Q,力荐,看过后很奔溃。这世界上最简单的事可能就是漠不关心地生活。因为一旦当你开始关心起别人，无论是多小的一个举动，都需要勇气。而detachment地生活，其实才不需要什么勇气和决心。我有段时间很自闭，觉得孤独地生活，一定是坚强的人才敢去做的事，而其实呢，这样的人才是最懦弱的吧。,2012-06-02 20:27:45
7,亵渎电影,力荐,电影最后只留下冷漠与残酷，你根本无法从这一切中超脱，过去和现在，精神和肉体，理想和现实，教育和未来，与现实对抗相比选择冷漠并无视一切显然更简单。拿自暴自弃当成个性标榜，就像把自己搞得越叛逆越惨烈就比其他人更强大一样。这部电影的杀伤力太大了，没有给你一丝缓和情绪的机会！★★★★★,2012-05-02 03:58:11
8,凉公子,未评分,我天天来学校看你们糟蹋自己。。你以为你能进乐队，能当模特？NO，最后你只会被人操完就扔。。。这话从一个老师嘴里说出来真是太刺激了，我当年为什么只把这话埋在心里而不敢直接对学生说出来啊。。说了的话自动卷铺盖走人吧啊。。,2014-08-23 14:04:26
9,LORENZO 洛伦佐,推荐,每个人的内心都是一座孤岛，人的心有多深，深到让别人无法试探的地步？教育和生活其实一样，教育者既可以超然物外，也可以放下防备与被教育者心灵交互。讽刺的却是，超脱既可以赢来尊敬，也一样能扼杀心灵。Adrien Brody终于跳出了烂片的泥潭，用忧郁气质和演技，再次将人性的考量重重甩在了观众脸上。,2012-03-09 16:31:46
10,李卡,力荐,当电影全部播放完时，影院灯光亮起，那一刻我甚至觉得这个坐着千人的场子里的空气是凝结着的，每个人都很小心地呼吸着，被那绝望深深所震撼。,2011-10-28 23:01:33
11,彌張,力荐,我们不一样，我们都一样。,2012-04-29 20:20:10
12,大头绿豆,力荐,勿被片名误导。此片充满无处不在的郁抑及沉重。所有人对自己都毫无办法。指望他者解救自己的苦难永远只是一时，因他自顾尚且不暇。即使慈悲到收留你，也有天要离开。总之，就像那位代课教师一样，此片只是给了一个若即若离的拥抱，并未试图解决片中人物或观众的任何麻烦，但无助的人，会被无情击中。,2012-07-01 01:06:35
13,九尾黑猫,还行,三星半。以悲悯的眼神垂怜着这个社会的悲哀，但布罗迪终究不是耶稣，无法背负这个世界的罪恶，面对崩塌，也只能束手无策。影片曾提到可以帮助人们躲避罪恶侵蚀的书籍，但这种力量被低估了，只是偶尔被提到。它只是一个悲恸的故事，缺乏力量。,2012-07-02 01:28:39
14,饭团,力荐,每个人活着都必须面对内心的Chaos，如同透明人的存在，太多力不能及的无奈，不被认同的价值，被遗弃的苦楚，无法得到回应的感情。影片无数次提到，“每个人都会有自己的问题”。这也是我安慰人时最常说的话。凭靠它，我走过了很多路。可该怎么解决内心的Chaos，我仍然无解。,2012-02-25 07:08:02
15,桃桃林林,推荐,托尼·凯耶这么多年了，拍片仍然是一副死不回头的独立范儿，各种伪记实、访谈与剧情相结合以拉近观众的距离。整部影片始终弥散着一股伤感、落魄的情绪。很多男人都想在大街上拯救一个雏妓吧。布罗迪的表演很加分。,2012-05-06 17:31:34
