序号,评论者,评分,内容,时间
1,纯粹逃亡,力荐,要读书不要婚纱，要投票不要私奔。,2024-12-28 04:11:21
2,CUBY,力荐,我收到选票比收到情书还激动，我像情书一样攥紧选票，我穿上新裙涂上口红，我蓄谋已久昂首奔跑，但这次我不为爱情而奔跑，我为了自由为了权益奔赴明天。因为我知道情书曾让我身陷泥沼，只有选票争取来的权益才牢靠。,2024-03-13 00:15:47
3,东北洪常秀,推荐,前面将家暴铺垫的那么深沉，不忍女儿重蹈覆辙甚至略微黑化，人物弧线很清晰，就是这样一个让人心碎的伟大女性，最后只用一张自己的选票来抵消她日夜经历的苦厄的生活，我实在难以接受，这对她来说，是一种塌方式的烂尾啊。好比我每天都要被电击1000下，最后给我的解决方案是给我换个木头笼子……,2024-03-27 00:03:39
4,momo,力荐,只有女儿才能一眼看到母亲,2025-01-25 23:50:45
5,子戈,推荐,"结尾太巧了，几乎倒转了前面所有叙事。把一场疑似的为爱私奔，倒转成独立自主；把公公幽灵的阴魂不散，倒转成为垂死的父权制守灵；把反家暴的对于显性暴力的控诉，倒转成一种更系统性的抗争方案……

所以本片没有降格为《我经过风暴》，没有沦为《消失的她》之类的复仇爽片，而是拍出了一位女性的非暴力的、且不以任何一个具体男性为靶子的、企图进行结构性改变的真正的觉醒。

细节设计也都很棒。比如以歌舞段落替换家暴场面，为“暴力煽情”降温；比如口红为谁涂抹？又为什么擦去？以及最终以抿口红的嘴形唱歌，都是叙事奏效的一部分。

“今天我和所有人一起唱歌，因为我相信，参与就是自由。除了人人平等这个老观念，我没有保护自己的盾牌。”",2024-08-12 09:59:39
6,张大嘴,力荐,她没能奔赴由另一个男人决定的生活，但是还有紧紧握着的明天,2024-03-16 02:47:45
7,Jonathan,推荐,意大利影后的导演处女作，成为了2023年意大利全国票房冠军，也是意大利有史以来票房top9的电影。黑白画质的上世纪四十年代的罗马，聚焦一个底层妇女的日常，家暴的丈夫、苛刻的公共、不听话的孩子、酸葡萄的邻居以及暧昧的美国兵，用意大利式的喜剧来表达生活的苦闷和悲伤，最后的结尾出乎意料，“我们像情书一样紧攥着我们的选票”。那一年意大利女性首次有了投票的权力，这部看似生活气质的片子内核其实是女性意识的崛起，这比起靠减肥取得成功的那种女性题材，高级太多了。（我没有映射）,2024-03-11 22:25:40
8,肆空舟,力荐,我以为她是要逃跑，没想到她是去战斗！,2024-08-13 18:20:43
9,Lalliem,力荐,知道为啥证件掉了么？因为女装口袋普遍设计太浅了，裙子基本没有口袋呢,2025-03-08 22:09:30
10,博纳萧,力荐,原来家暴只是权力机关的隐喻。所以结尾不会是一场私奔。,2024-02-29 16:01:59
11,blueeee,力荐,含着眼泪看看完的 喜欢自己剪裁的斑点上衣 喜欢把婚纱钱用作读书钱 更喜欢那封一直被以为是情书的选票 从一个男人到另一个男人从来都不是她的解放之路 女性的解放不是简单逃离某片土地就可以实现的 女主跑过修车铺时毫不停留的身姿是朝向自己目标的决心与勇气 “不愿过你那样的生活”的女儿是母亲的勇气和底气 她想让自己孩子知道 “也可以不过这样的生活”     本该享受革命解放成果的女性到底是被谁/什么背叛了？,2024-03-27 15:12:00
12,狂犬吠墓,力荐,真正高级的女性电影 以轻松幽默的方式来呈现苦难的生活 最后我们都以为她会跟随爱人私奔 哪知道呀 真正的自由从来都不是逃离魔窟 而是为自己选择明天 因为还有明天！“我们像情书一样紧攥着我们的选票”,2024-03-23 15:05:51
13,鲔鱼子,力荐,最让我窒息的是，老岳父对伊万说，别让我听见她哭，mi fa sentire dispiace。最让我感动的是，妈妈一开始给女儿存的婚纱钱，最后成为了女儿的学费。途中被窒息到崩溃大哭了好几次，难以想象这么重要的信居然是选票，这是我人生中第一次真实感受到投票权原来是这么神圣而重要的事情。“C'è ancora domani”这句话在这样的语境下是这么绝望又这么充满希望，一直以来的所有女性们，真的辛苦了😭,2024-03-29 22:12:29
14,momo,力荐,看完结局我理解男人破防的点了，很多男的以一种“没人比我更懂女权”的态度来评价delia，认为她投票不是反抗，给丈夫捅一刀才算反抗。因为他们更宁愿牺牲一个男人，来保全父权不被瓦解，父权失权比死掉一个同类更令他们感到恐惧。所以他们只能洗脑女人拿起手中的刀才是正确的，拿起选票是无用的，事实却恰恰相反。,2025-03-08 18:48:06
15,多大点柿,力荐,哭瞎。最喜欢的那幕还是迪莉娅站在天台抽烟，身后晾的床单像鼓起的风帆。非精英非爽文的女性叙事是怎样的，感谢赐教。,2024-04-03 23:21:38
