序号,评论者,评分,内容,时间
1,杜扬Seatory,推荐,我开始想要过得快乐，睡在床上，有牵挂,2006-10-25 01:38:08
2,沉歌,力荐,萝莉有颗御姐心，正太有个大叔身——邪恶又天真、残酷又温柔，多完美~,2007-10-14 15:39:36
3,lily,推荐,里昂只有一颗盆栽，不善言辞，爱喝牛奶。他不像，却真正是一个杀手。玛蒂达的到来，是包袱，也给里昂带来了生机。不过这种设定，注定是悲剧收场。里昂死后，玛蒂达将他盆栽的种子落地生根，里昂终于不再每日拿着手枪在椅子上不安地入睡，他落地了。娜塔莉波特曼太灵了，玛蒂达是如此特别。,2016-11-29 18:14:06
4,艾小柯,推荐,传奇，童话，传奇，童话，传奇，童话……,2006-08-09 05:50:48
5,陈苍苍,推荐,“这是关于两个小孩的故事，一个女孩和一个男孩，在他们心里，他们都是12岁，他们都感到失落而他们深爱彼此。”,2012-06-02 13:15:23
6,沙门,力荐,一半的魅力来自反派：Gary Oldman.,2007-08-16 10:52:43
7,眠去,力荐,她对Leon说，自从遇见你后，我的胃，再也不痛了……,2007-02-10 10:52:10
8,左宜右有Haak,力荐,一个杀手被一个萝莉害死的故事,2012-03-19 18:44:28
9,大头绿豆,力荐,Leon的门打开，一束好象来自天堂的光照在Mathilda脸上。给他快乐，从不发问。细节和大方向都很出色，一部控制得几乎完美的电影。,2006-03-19 12:38:36
10,shu,力荐,这个男人他是从儿时的动画片里走出来的，是邪恶和童真的混合体，这令我着迷。,2008-07-07 00:28:44
11,酚酞,力荐,"看到泪飙，世上最温情的杀手。
幸运的姑娘在12岁就遇到了真正的男人。",2012-03-10 17:23:47
12,xjxiidjsns,力荐,"-Is life always this hard.or is it just when you're a kid
-Always like this.",2008-06-24 21:04:30
13,Nalakuvara,力荐,或许是很多姑娘大叔控的根源。,2008-10-25 11:20:45
14,百骨金titi,推荐,大叔萝莉的爱情💏，电影很好看也很经典，但我还是有点接受不了这种年龄差，这个里面还是诠释的很好，可惜大叔最后死了😭,2017-12-20 10:03:23
15,登对,推荐,确实经典  没有很狗血的剧情  没有大尺度的卖肉戏  但是好奇怪我竟然没有被感动哭,2016-12-31 10:14:12
