序号,评论者,评分,内容,时间
1,根,力荐,看旧电影最无法跨越的逻辑障碍：金城武怎么可能会被甩！梁朝伟怎么可能会被甩！这不是渎神吗！,2016-12-13 21:09:45
2,老袁,力荐,重新看了一遍重庆森林。想知道金城武为什么可以连吃三十罐凤梨罐头加四份厨师沙拉薯条汉堡而不胖。因为早上六点起床跑步吗？,2016-12-28 00:37:09
3,寂地,力荐,最喜欢王菲一边开着水龙头一边说因为下雨没有办法交电费.还有那个 加洲梦的音乐.,2006-01-02 15:10:17
4,今天小熊不吃糖,力荐,我想和梁朝伟演的那个633谈恋爱……太帅了太帅了！！,2008-09-15 17:04:40
5,RoyKyo,力荐,看了28遍,2007-01-07 02:37:27
6,児童症×,推荐,"一个人哭了，你给纸巾他就行； 
　　但如果一间屋哭了，你就要做很多事情。",2009-09-17 20:27:33
7,乐安蓝,力荐,最喜欢的一部王家卫片子。喜欢王菲的那种“我爱你与你无关”的单纯，喜欢她把唱碟机开到最大，摇头晃脑地听着mamas&papas的《california dreaming》的样子~~,2008-03-02 15:14:39
8,老鸡｜扶立,力荐,更喜欢后半段,2008-01-10 16:45:22
9,所有团的团长,还行,挺想知道如果这电影不是王家卫+梁朝伟+王菲+林青霞+金城武，一样的表演、台词、镜头 ，会不会被人喷出来翔？,2013-01-19 19:25:22
10,芋圆4号,力荐,其实了解一个人并不代表什么，人是会变的，今天他喜欢凤梨，明天他可以喜欢别的。,2010-09-15 20:49:03
11,Scarrie,推荐,"那时她还被叫做王靖雯,小鹿様闪烁的眼神,细痩无邪的身体,疯狂的暗恋也不过是纯真执着的本能",2010-08-15 20:17:50
12,宋阿慕,推荐,这部片里的王菲和金城武都还是他们最光芒万丈的时候.,2008-02-19 15:00:00
13,喵,力荐,两个故事，似乎梁朝伟的故事更是我的菜。原来爱情还可以这样——梦游。无论是633的家里，还是“加州”，都是相同的地点，不同的时间。空间的距离，最终却都会重逢。“她走了之后，家里很多东西都很伤心，每天晚上，我都要安慰它们才能睡觉”——瘦了的肥皂、哭着滴水的毛巾、寂寞的衬衫,2013-03-04 20:19:53
14,匹诺曹,未评分,当时没有看得太懂的一个片子,2007-01-15 14:05:28
15,水王睡不捉.,还行,★★★☆☆阿菲偷偷进663家的片段看的我真的头皮发麻要是有一个男生这样进我房间不管我喜不喜欢他他喜不喜欢我我真的会报警！我觉得一点也不浪漫！求你们别把这电影台词当失恋圣经一样供起来了也别总把无病呻吟当浪漫.,2021-01-08 21:58:54
