序号,评论者,评分,内容,时间
1,鯨,力荐,这部片子里的孕妇和甄嬛传里的孕妇战斗力不是一个次元的,2016-08-21 00:14:21
2,饮歌,力荐,丧尸再也不是西方的专利了！韩国影人再一次向世人证明了他们非凡的叙事能力和精巧的借鉴本事。没有好莱坞式拯救人类的大英雄主义，多了的是人性的反思与情感的刻画。无论怎么看，这部电影都是亚洲影界的头一遭，五星鼓励！,2016-08-01 22:35:17
3,Hecate,力荐,目前亚洲商业片的最高水准 看完之后对国产电影充满了愤怒。,2016-08-02 04:17:49
4,恶魔奶爸Sam,力荐,大叔真屌，不过这个故事怎么看都是一个贱人害死一堆好人，让人生气,2016-09-10 22:46:24
5,米粒爱肥内裤,未评分,不以权威口吻说夸张点就吸引不了眼球：韩国电影又甩了我们十年。,2016-05-14 23:25:53
6,影志,力荐,好过美国的《僵尸世界大战》，韩国在丧尸类型片的开拓一出手就登峰造极，个别桥段快准狠到了心骨眼！最后孕妇和小女孩穿过隧道如果遇到河正宇，那这片就真的是神作了！＝。＝,2016-09-12 01:09:48
7,同志亦凡人中文站,推荐,妈呀韩国这丧尸片一来就全民皆丧而且个个跑得飞快！套路齐全、概念明确的商业电影，有阴谋有人性有牺牲，最后剩谁一目了然。看别人都从好莱坞毕业了我们还在比妖塔盗墓谁更烂，我心塞...,2016-08-11 16:32:35
8,zjj,推荐,这片最大的bug难道不是即使过隧道列车里面也有灯啊？,2016-08-25 22:09:47
9,sherry124,推荐,这绝壁是散户在电影史上被黑得最厉害的一次……万恶的基金经理在收割韭菜后依然成了英雄……,2016-08-21 15:59:21
10,Redux,推荐,气死我了，你们为什么不等天黑再出来?为什么?!?!?!,2016-09-12 21:17:12
11,一颗豌豆,推荐,最喜欢老奶奶这一人物设置 以及爸爸从火车跳下那个画面,2016-07-22 23:42:15
12,荔枝超人,还行,套路很深，下料很重！据说这部电影耗资100亿韩元，其中90亿用于几百名群演的霹雳舞教学费用。哦，对了，还要唱好歌，关键时候保命就靠他了。,2016-08-31 22:38:40
13,犬系少女刘七七,力荐,一个小小的建议：你可以晚上看吃饭时看，请不要乘高铁时看，会怀疑人生的。,2016-09-14 13:52:50
14,Helicopter,还行,僵尸进攻的部分比较过瘾，火车拖着一尾巴僵尸的部分视觉效果很有趣；人文部分十分韩剧，社会讽刺过于直接而显得无趣了，男主那洗衣液CF般的闪回、洗手间哭泣都太cheesy，其实马东锡才是英雄，只是被塑造得不壮烈罢了；镜头感、节奏感so so，演员们演得不够害怕，有的部分特别明显。拜托，是僵尸也！,2016-07-25 13:00:47
15,ღ 狐不悔，,力荐,“你留在这里比较安全。”“不要，这里更吓人。”最简单的对话，把人性的丑恶显露无疑。比起僵尸，更可怕的是那些看着他们活生生放任死去的人类。大叔是阳面，那西装男就是阴面。为大叔、乞丐和爸爸泪目…,2016-09-12 09:26:05
