序号,评论者,评分,内容,时间
1,Zia,力荐,最刺痛的是那被直接丢出阳台的坐轮椅的老人,2009-12-23 21:56:24
2,今天小熊不吃糖,力荐,影片的结尾让整个故事的基调上升了几个层次，这并不是一部简单的反映二战反映犹太人与纳粹的影片。人性是很美的，当然，人生的际遇变幻各有轮回,2010-01-31 10:13:21
3,朝暮雪,推荐,波兰斯基凭借此片获得奥斯卡最佳导演，却因遭到通缉而没去领奖。生活不像电影，生活残酷多了。,2017-03-16 07:34:01
4,Doublebitch,力荐,“你为什么穿着德国人的衣服？”“因为冷”,2011-11-13 21:42:51
5,次非,力荐,你叫什么名字？ 斯皮尔曼。斯皮尔曼，一个好钢琴家的名字。,2008-10-25 23:31:09
6,寂地,推荐,可能因为刚看了拯救大兵，所以难免的觉得这里描述的世界太干净了．是的，即使你已经觉得很残忍了，它还是太干净漂亮了一点．但是我还是非常喜欢这部电影，．只要那些温暖的东西在，就好了，尽管战争的事实，实际上是要残酷得多的．,2006-01-03 16:37:22
7,小墨MO,推荐,不要嘲笑他的苟延残喘 为了活下去 他放弃的那些尊严 坚持 和 希望 在战后又重新披回到他的身上 战争所造就的废墟 已经把他的心碾成残渣 他始终活动着的手指 在每一次命运交接时暗暗弹奏着命运的主题曲 Adrien Brody把他的挣扎和优雅都演活了 面对死亡和恐惧 我们都一样渺小 最艰难的 其实是坚持,2012-06-05 06:34:49
8,youngman,力荐,谢谢上帝不用谢我，他让我们死里逃生，,2009-09-08 16:50:00
9,PuNa,还行,如果说它想反映纳粹的残酷，那一点都不算残酷；如果它想反映主角的坚韧性命，那只能说他是运气好；反而我倒挺同情那个最后就他一命的德国人的。。。我想用ridiculous来形容，可以么？,2006-02-12 22:40:40
10,Ocap,推荐,罗曼·波兰斯基的场面调度也可以超越斯皮尔伯格，深青淡黄的画面风格似乎成为了一个时代的印象颜色。电影本身就如一曲感伤的肖邦，流畅自然地穿梭过残暴与鲜血，一直在酝酿高潮的前奏，最终却平铺直叙地收尾，直接让你在意犹未尽的同时体会到战争与命运轮回的无始无终。,2014-08-13 16:05:47
11,游牧人,推荐,心痛，有一个强大的国家是多么重要。如果我是主人公早活不下去了，不是自杀就是饿死忧郁死吧，让我想起余华的《活着》。另外就是很喜欢最后那个救了他一命的德国军官。,2010-01-29 16:36:20
12,影志,力荐,某种程度上可以媲美《辛德勒名单》,2005-12-28 01:21:42
13,A-sun*,力荐,那个耳鸣太震撼了。,2010-06-12 22:15:45
14,寒枝雀静,推荐,C＋ / 最大的优点是没有将战争中的艺术元素阐发出过分的诗意，而是集中展现主角的视角下战争生活最为真实的“苟且”。其他方面似乎更觉得工整而少有特异之处。倒是开头一个个谣言成真的段落与现实生活有种莫名的呼应。有种来看金棕榈结果看了部奥斯卡BP的感觉。好吧我承认还是哭了很久。,2017-07-18 17:09:03
15,台,还行,对于一部记录二战中的犹太人的电影来说，相比《辛德勒名单》它只能算是入门；对于一部钢琴题材音乐电影来说，它也没有《海上钢琴师》壮阔。,2007-04-06 23:10:44
