序号,评论者,评分,内容,时间
1,纪恩同学,推荐,为什么你们都那么牛B地看到了时代的悲剧，我却傻B的没看出什么来？,2009-12-28 01:03:28
2,影志,力荐,“我的故事总是发生在夏天。炎热的气候使人们裸露得更多，也更能掩饰心中的欲望。那时侯，好像永远是夏天，太阳总是有空出来伴随着我，阳光充足，太亮，使得眼前一阵阵发黑”——电影《阳光灿烂的日子》开场对白,2006-01-08 05:13:12
3,frozenmoon,推荐,看看当年夏雨演技多好，浑然天成。看看宁静，看看耿乐。这么牛逼的一群人。后来怎么都混成这么四六不靠的。,2014-11-26 15:38:26
4,朝暮雪,推荐,冯小刚的电影，我最喜欢的就是《阳光灿烂的日子》和《让子弹飞》，还有《功夫》。,2013-01-12 12:57:35
5,多看电影爱电影,推荐,姜文，夏雨，张一山长得太像了！,2017-03-18 11:55:24
6,momo,推荐,整部影片看下来也没有多感慨，毕竟我的青春和他相距甚远。,2016-10-23 09:55:11
7,Song³,力荐,大陆青春片的巅峰之作。,2008-11-12 13:01:24
8,Cherry,还行,别人说这部片子很绝望，我看到的只是与我无关的，男生的青春期,2005-07-12 16:59:05
9,brennteiskalt,推荐,性显然是姜文创作的原动力，当[阳光灿烂的日子]的主人公爬上了高高的烟囱，他似乎把世界都踩在了脚下，正是这种年轻人凶猛的征服欲让电影显得那么可爱。无论哪个年代的青春都意味着永恒的大太阳和过不完的日子。唯一的乌云来自旁白，它无数次地提醒我们韶华已逝，人终归要被独自落在泳池里自己扑腾。,2014-09-10 18:40:02
10,呱呱,力荐,理想是用来毁灭的。一句傻逼，喊出青春最有力度的挽歌。,2009-10-23 13:33:48
11,晚不安,力荐,在举国最灰暗的日子里，这帮大院子弟却在打架、泡妞、幻想，恣意消磨自己的黄金岁月，在一方小天地横行霸道但也畏惧大人。开锁、游泳、爬烟囱，少年在处理自己无处安放的欲望。闻到烧荒草的味道，是因为梦境被阳光烤黄。后来呢？后来的人生是黑白的，他们人模狗样地推杯换盏，活成了古伦木口中的傻逼。,2018-03-18 21:10:23
12,卢十四,力荐,没办法，只能打五星。,2008-09-14 16:09:53
13,Q。,推荐,重看了一次未删减版，评分未曾改变。依旧是那段不属于我们的青春，可我们同样也走过那么一段阳光灿烂的日子。即便曾经执着的傻子已把“欧巴”换成了“傻逼”，但那曾经的回忆依旧值得珍藏。★★★★,2010-12-23 17:05:09
14,🐖,推荐,姜文是对jio、屁股、上房顶是有执念。前三分之一觉得：你看，姜文以前还是蛮会拍电影的嘛。后面又乱掉了。感觉还是自恋，一段私人体验，总想代表谁，代表时代，想留纪念。特把自己当回事儿。,2018-07-16 17:03:14
15,喻鸣,力荐,姜小军的自传式处女作，回避文革时代的是非混淆黑白颠倒，用丰富的艺术手段和荒诞的表现方式，消解权威、解构神圣，再现成长的喧哗与骚动，青春的梦幻与激情。明明是最坏的时代，却也是他们最好的时光，甩当下青春打胎片一个世纪。,2014-12-17 19:50:18
