序号,评论者,评分,内容,时间
1,萨萨,力荐,最后那些最无聊的事情，才是我最怀念的。,2009-07-24 23:40:51
2,Orchid,推荐,“我总是记得那些无聊的小事情……”“感谢你给了我精彩的一生”，简单并深情着,2009-05-13 21:55:23
3,momo,力荐,最让我感动的是电影开头，这对夫妻志趣相投、相濡以沫，我想自己能不能找到这样的另一半呢,2016-09-10 21:25:01
4,汽车大师,推荐,"去掉小孩，坏蛋，狗，鸟的话，这会是部完美的短片，but......;
那段夫妻蒙太奇应该是我迄今最喜欢的pixar段落了;
有一点不得不佩服pixar，拍的第一部3D就能完全摒弃滥斛噱头；而片头前那个“国内首部真人3D电影”的三分钟预告片，足以列入反面教材的经典了",2009-08-04 20:35:26
5,Mr.王™,力荐,有史以来最强壮的老爷爷和最轻便的房屋~一群最不靠谱的狗和一只引人发笑的怪鸟~外加一位惹人喜爱却戏份不多的老奶奶，组成了一部我大爱的好片！,2009-07-23 17:19:08
6,文泽尔,推荐,基本是儿童剧，最感人的部分一直到屋子初飞起的那一刻，之后就一直在梦游了..=。= 原本以为一切奇想不过是卡尔在再遇女孩那晚所做的一场梦，并且第二天天亮她还会来找他的…对男孩子气的艾莉的印象实在是太深了，这片要是只选取到艾莉死时，卡尔飞起气球，就是满分。皮克斯的技术没得说，因此4星,2009-08-09 14:42:05
7,昏金暗玉,力荐,从头哭到尾,2009-08-05 14:13:27
8,木卫二,推荐,为爱妻遗愿，老钉子户一飞冲天，远赴南美寻梦,2009-08-06 00:40:44
9,阿北,力荐,史上第二彪悍钉子户的离奇拆迁故事。Pixar完美地成熟了。,2009-08-07 23:48:54
10,后天的雨,力荐,在影片最开头对老夫妻一生的回顾无疑是最大泪点，他们过了很好很幸福的一生，当垂垂老矣，他们仍深爱着对方，就算你已不在，也要带着他们曾经共同的梦想在生命的最终冒险一把，就像小朋友不畏惧一切的好奇心，对生活对梦想，再大的年纪都不是阻碍,2016-11-03 22:28:31
11,胤祥,推荐,前12分钟完美，后面剧作不及技术好。,2010-02-17 23:51:18
12,Doublebitch,力荐,几十年的夫妻生活浓缩成几分钟那段美好死了。,2009-10-26 19:23:03
13,影志,推荐,梦想，多久开始实现都不晚。《冰河世纪》也好，《史瑞克》也好，永远都赶不上皮克斯动画的情怀与意境。,2009-05-19 01:20:09
14,hanahana,力荐,爱和梦想，勇气和希望,2009-08-05 09:40:24
15,岚,力荐,近乎无可挑剔..,2009-08-05 10:34:11
