序号,评论者,评分,内容,时间
1,津五渡,力荐,我觉得是中国最好的战争片，并且很长一段时间内不会再出现了，再见伟大的八十年代。电影中表达的情感到今天依旧能打动我，战友情、亲情、爱情，以及对国家的拳拳赤子之心，真挚而热烈。中国是我的，可也是你的。二百个亿养个狼。赵蒙生，名字起得好，赵家从沂蒙老区那样的群众中诞生，千万不要忘了啊。,2017-08-11 13:37:16
2,驱逐舰,力荐,"不论是真实出镜的武器装备（62坦克，170，56等）,还是战术动作细节（单手换弹夹，三三式等），还是对尖锐问题的反映（WG十年对工业体系的影响，高层特权等），处处透着认真和严谨，秒杀一众当下敷衍圈钱的片子。",2017-07-31 01:14:02
3,最爱喝白开水,力荐,30年后的《芳华》竟然还比不过当年《高山下的花环》，谢晋导演牛逼！,2018-04-21 15:30:01
4,半日光辉,力荐,这部电影我肯定看过，但是确实没有印象了，所有的印象都来自于原著小说，应该说，在80年代初期出现的原著小说思想性相当超前的，说实在，这片子放在今天，可能都要禁映，反应的问题实在是太尖锐了。,2011-10-01 15:19:44
5,唐宋,力荐,三十多年后再看才发现是谢晋导演的，唐国强演的小白脸，是斯琴高娃演的东来嫂。战争场面堪称巨制，飞机坦克在当时应该是让人叹为观止了。这电影打100分的话，战狼什么的15分吧。,2017-12-23 14:30:59
6,Die Katze,力荐,至高牺牲都是温饱生活 都不曾享有的人做出来的。唐国强演出的指导员，望好里说是高富帅接上了地气、受了真正的人的薰陶；望坏里说，就是安插进去化解阶级矛盾的洗地侠。宣传干事那个角色在30年前，就隐隐透出了一股微博大V兼公知的味道。,2014-04-27 11:42:38
7,丁嘉豪,力荐,"你离开战争，太久了；
咱们离开人民，太远了。",2022-08-10 09:32:54
8,竹傲风,力荐,我只用一句话来表示我看这部电影的感觉：我差点没在公司里哭死。第一次看电影如此。,2011-10-31 11:45:43
9,一句话与一辈子,力荐,黄昏将至，我们吃着白米饭，喝着快乐水，想不通那些身强力壮的士兵会死，我在深夜惊醒，突然想起，他们是为我而死。愿后代子孙铭记历史，惟愿青山不老，忠骨永存，惟愿国家强盛，无敌来犯，我们的英雄能够不再流血牺牲。,2021-02-27 11:19:22
10,峰峰峰峰,还行,共和国的旗帜上有我们血染的风采，共和国的土壤里有我们付出的爱。,2015-04-14 16:37:05
11,阴到贵,力荐,国产五星，千禧年之后中国的电影最大的毛病，还是情感的缺失，导演当商品做，不带情感，标榜冷静克制，虽然八十年代电影滥情，但这种电影里的真情感，现在是在也看不到了,2018-02-17 22:10:25
12,就这样醒到天黑,力荐,中国电影在倒退，真的。,2018-10-15 02:58:13
13,火娃,推荐,8/10。批判大于歌颂，臭弹失效招致部队牺牲，上级用尺量图瞎指挥，副连长开路牺牲却因生前话直不予评功，革命干部家母亲打电话到前线开后门。后半段以人死不赖账为主线揭示老区人民的贫困，收阵亡通纸书、遗物等桥段含蓄处理为哭坟高潮释放巨大情感，烈士归来及家属的人物关系层层递进、结构线索流畅。 @2016-11-20 19:19:13,2016-11-20 19:19:13
14,合纥,较差,在自卫反击战之后的应景战争政治电影，当时影响挺大，但现在看实显僵硬。,2013-08-22 12:03:12
15,之晨,力荐,"8.7
你是大山的孩子 
你也是祖国的孩子  
你是高干的孩子  
你也是祖国的孩子  
你是军长的孩子  
你也是祖国的孩子  
你们是来自五湖四海的孩子  
你们也是祖国的孩子   
祖国是我的，也是你的   
生，血液流淌在一起  
死 ，军魂葬在一起    
你是祖国的孩子  
思念写成的书信最终变成一张还不完的情感欠账单   
你是祖国的孩子   
享乐的吞云吐雾最后烫成了浴血重生的疤痕   
你是祖国的孩子  
军衔庇护的免死金牌最终换成了英烈勋章      
祖国是你的家  
来自五湖四海的你们各自有家  
生，为了小家而守护大家  
死 ，为了大家而舍弃小家",2018-08-22 22:20:54
