序号,评论者,评分,内容,时间
1,影志,力荐,从此，“大哥大嫂过年好” 在耳边经久回荡……,2005-12-16 03:07:42
2,Sundance小千,力荐,一刀刘、二脖子、马大三、四表姐夫、五舅姥爷、六旺、七爷、八婶子、小碌碡...,2008-09-19 09:12:22
3,有心打扰,推荐,中国农民是善良的，是好人。同时却也是愚笨的，是软弱的。软弱往往导致善良变质成为受欺。,2011-06-17 00:15:46
4,Ocap,力荐,姜文：“我拍《鬼子来了》就是试图让观众明白，如果想避免我们大家都知道的那段不愉快的历史，除了过嘴瘾还有什么办法。我不敢说这部电影给出了这个结论，事实上我一个导演和一部影片也做不到，最高的理想也就是有个方向吧！”结果，这是一部能在日本公映的内地禁片。我觉得这基本就说明一切了。→19.2 二刷,2016-09-24 16:44:09
5,Guide,推荐,结尾那颗唯一上色的人头,2006-03-17 23:34:37
6,蛋蛋,推荐,“你是我的爷，我是你的儿！”这辈份够乱的,2007-09-23 09:41:39
7,P,力荐,大哥大嫂过年好~~~~AND 姜文这个人是个天分极高的家伙。,2006-06-12 10:31:48
8,南 瓜 子,力荐,国产片最高境界!,2008-03-11 13:11:08
9,Q。,推荐,“大哥大嫂过年好” 这是另外一种视角审视战争。姜文通过影片含而不露的揭示了人性的悲凉，黑白以及最后的那一抹彩色的处理都显得别有用意。只有敢于去批判和自省的人，才会有前途，很可惜，我们只有这么一个姜文。★★★★☆,2011-01-07 06:07:08
10,drunkdoggy,力荐,我有个朋友说他一共看了３０多遍……,2006-02-26 21:41:35
11,莫呼洛迦-屁股上的青春在歌唱,力荐,太他妈深刻了,2008-12-24 04:21:57
12,裸踝,力荐,中国最好的电影。,2009-05-30 13:27:53
13,深红,力荐,就让我一手一个，掐吧死俩！,2010-09-18 15:06:59
14,小米=qdmimi,力荐,留口气活着很重要，可有些事比活着留口气重要,2007-08-03 13:57:40
15,大头绿豆,推荐,姜文确实聪明。,2005-11-16 22:32:51
