序号,评论者,评分,内容,时间
1,铎奇,推荐,真爱不是订婚之后隔天就跑去打仗再无音信，真爱是一起去车站揽活儿。Kitty才是真爱Myra。,2012-12-20 04:30:48
2,朝暮雪,推荐,身体是你自己的，你不需要为自己失身而感到抱歉。,2017-04-19 10:23:49
3,时间的玫瑰,力荐,早期的剧，译名那叫一个经典，那个时候有匠人精神。,2009-12-06 17:02:43
4,果酱☮,力荐,真正的经典电影绝非是口口相传，继而跟风装B，而是即便过了那么多个时代，如今看来依旧让人发自内心由衷地喜爱它称赞它。此片真的是经典，费雯丽的表演震慑人心令人难以忘怀。尤其是从她极为迷人的大眼睛流露出的眼神里包含着的各种情绪（而不是像如今很多女星那般眼大却无神），羞涩甜蜜幸福绝望绝决,2009-02-19 05:45:50
5,冰红深蓝,推荐,片子本身中规中矩，费雯·丽演技要加分！全片明确回避了“prostitute/whore”词汇，爱情戏也拍得比较克制，滑铁卢桥自杀场景的剪辑很棒，主题曲《Auld Lang Syne》闻名遐迩，让人百听不厌~ 但个人极度不赞成电影宣扬的这种保守甚至扭曲的价值观，更喜欢女二号的性格和思想。（8.0/10）,2015-03-21 14:29:35
6,Q。,推荐,“我爱你，我从未爱过别人。”经典的爱情故事就是无论发生在什么年代，无论是在什么样的文化差异下，都能够唤起大家共鸣的情愫。★★★★,2012-03-02 02:29:47
7,Rivers,力荐,山盟海誓玉人憔悴 月缺花残终天长恨,2010-01-24 11:31:11
8,囍夭夭,还行,中国式内在的美国电影。。。,2009-11-19 23:03:49
9,宋小君,力荐,那么多爱情，都在等待中蹉跎了。别让你爱的人等你太久。,2012-07-15 23:01:30
10,超级英雄发骚友,推荐,难以想象这部美国电影竟是近80年前拍摄出来，水准之高让人咋舌，观影过程非常投入，纯洁的爱情让人心生感慨，结局之悲哀让人无比痛心，估计当年在电影院赚了不知道多少美国人的眼泪。说回故事，故事脉迹非常简单易懂，一个纯真的女人因爱人之死心灰意冷，落魄到需要出卖自己的肉体，电影在处理这一段时非常含蓄克制，由始至终没有出现过多显眼台词去提醒观众女主角的卖肉事实，可是却让懂的人更为着急，重逢一幕让人感动，最终的悲剧却是那个时代的悲剧，即使没有任何人强迫女主和爱人分开，其实分离的悲剧早已注定，很难想象一个军官能够顺利迎娶一个美丽的妓女，风言风语自是必然，最关键的是女主自己也接受不了自己的背叛，内心的煎熬如何能够度日，难道真的唯有一死才能结束？在现代观众看来，其实爱情中产生的巨大挫折有何尝不是自己性格弱点所造成,2019-03-21 15:56:39
11,甜椒Oli,推荐,我也不清楚这是什么感觉 总觉得中国的文化底蕴碰上美利坚怪怪的,2017-03-28 23:07:26
12,花落  思量错,推荐,费雯·丽灵动的大眼睛流露出来的欢喜，雀跃，遗憾，伤心，悲悯，痛苦，始终记忆犹新。,2017-03-22 09:11:46
13,战国客,力荐,经典！只是一切已经走不出《乱世佳人》的影子了~~,2009-06-06 11:14:43
14,宇宙,力荐,小时候跟妈妈在电影院看的 还记得妈妈哭得不成样子 爱情 尤其是残破的爱情 是可以穿越时空 打动任何人的,2008-04-28 15:01:46
15,Morning,推荐,三星半。费雯丽最后的眼神好厉害，怎么也是影后级别的。这个电影扎实，没有过多的喧嚣之笔，虽然对于今天过于简单，但于今天也是“追忆往事”，也算是特别存在的意义了。,2017-01-02 04:00:59
