序号,评论者,评分,内容,时间
1,朝暮雪,力荐,"《黑客帝国1》还比较容易看懂，《黑客帝国2》《黑客帝国3》就很深奥了。
造物主（Architect）负责维持母体的平衡，先知则负责引导母体中的人们觉醒。
两个人的共同作用下，母体中的人类社会稳定进化，机器人也从中吸取经验。
这也是机器人“种植”人类的终极目的，并不仅仅是用人类发电，更是为了学习人类，从而实现进化。
锡安之所以存在，也是机器人故意让它存在。
机器人无法避免母体出现bug（也就是有人觉醒），所以就等他们觉醒、等他们组建反抗军。
机器人每隔一段时间就来一次大清洗，把反抗军歼灭，然后再把母体重启。
这种大清洗已经进行过5次了，这是第6次了。
前5次的结局都是反抗军全军覆没，母体重启，而尼奥的出现让世界首次出现了不同的结局——和平。
人类和机器人互利共生，共同进化。
但是这种和平又能维持多久呢？",2012-08-18 01:26:27
2,花间一姐小渡边,力荐,第一部对现实说的很清楚了，第二部就让我们见识一下，这些发现真相的人类会怎么做。最精彩的莫过于里面Neo和先知的对白了，解释了宇宙、自然和社会的现象。其实这里有一个伏笔，那就是程序的命运和终点。真实世界与虚拟世界是共通的，电影在让主角们努力拯救自己的家园的同时，也在探讨这一点：万物运转的规律。神仙其实只是一个程序，外星人和妖魔鬼怪只是系统出了bug,2016-01-21 22:23:34
3,junepig,还行,爱情真可怜，动不动就被拿来被当作救世的对立面，爱情太反人类了。。。,2008-07-02 14:48:01
4,米粒,力荐,第二部商业了点，打打杀杀太多。。不过总体还是牛逼的，竟然有莫妮卡贝鲁奇。。。,2009-12-29 16:47:20
5,同志亦凡人中文站,力荐,关于虚拟/现实的世界观让人叹为观止。,2012-07-20 19:58:20
6,葱,推荐,剧情都在后20分钟，前面一大段都在不停地打打打打打打打，每一段打斗剧情结束我都会想不起来他们怎么会打到一起去的……,2012-05-23 00:05:52
7,Nakedself,还行,恕我直言，没看懂。,2006-05-17 16:21:48
8,Q。,还行,很多电影的续集都很失败，作为《黑客帝国》这样的经典电影续集，这个第二部同样落入俗套。动作戏份加多，感情戏份加多，也同时更加的商业化。只能说，这就是一部承上启下的电影。而已。★★★☆,2011-04-23 02:36:05
9,圓,未评分,完全沒有第一集的靈光，與現實無關，單純是商業片了，打鬥看得我不耐煩，也受夠了宗教式的感召了，就是只有一個問題：什麼不是控制。闡明不足，沒意思啊,2010-09-06 22:53:36
10,Karuto,推荐,第一部故事讲得太优秀太完整了，而且暗地里留了那么多可以延伸的线头，剧组选择了两个：从时间上延伸——救世主不是唯一的，尼奥经历的已是第六次人类补完计划；从空间上延伸——引入锡安和机械城这两个大终端。前者很成功，后者挺失败。全片主旨总结下来，其实只要三段对话就够了：在锡安深夜和议长聊；在院子里和先知聊；最后和建筑师聊。中间打了一个漫长的法国佬副本，匆促、媚俗、无聊。建筑师那段我隔了十几年才看明白：尼奥做出的选择不是「救妹子」，而是通过拒绝背人类补完计划的锅，选择了代表着自由意志的「选择」本身。,2020-04-09 13:58:23
11,RehearsalForMe,力荐,在Neo要选择是救女朋友还是全人类的时候，我竟然想到陀思妥耶夫斯基的「爱具体的人」，当然是要救具体的人啦。而最后他成功救下她，我想到加缪说的，荒谬当道，爱拯救之。,2022-01-28 20:32:20
12,西楼尘,还行,原来拯救锡安也是一个控制程序，一路奋战以为是救世主，最后不过陷在造物主设定好的程式里成为第六个反抗的牺牲品。如果有一把可以打开任意大门的钥匙，我要通往暗黑的地下与蝼蚁狂欢，还是通向光明的地面与世界同行。先知说我会爱上一个人，他是救世主。那么是预言让我爱上你，还是爱你成了一个预言？,2020-09-13 12:11:45
13,托尼·王大拿,推荐,贡献了大量极为精彩、充满想象力且必将永载影史的动作场面，但过多的动作场面同时也挤占了另一层叙事的空间，矩阵也好锡安也罢其实只是对前作的小量扩容，但设计师点明的系统调节机制终于让世界观升级，而尼奥在之后独特的选择也证明了两个沃卓斯基对爱与自由意志的笃信。,2010-08-20 03:22:32
14,宋不吃,力荐,议会中没有黄色人种。Oracle的卫士是黄色人种，钥匙制造者是黄色人种。Neo最大的错位就是不该有爱？貌似Oracle也一直知道Neo的梦境，但是她并不点破。在reload或者选择心爱女人的选择题中，Neo显然是选择了救眼前的爱人。一群电脑人和Neo打架那一段真是牛啊。没想到2003年的电影技术已经这么牛逼了。,2012-12-06 22:59:15
15,梦里诗书,推荐,《黑客帝国2：重装上阵》作为一部承上启下的续作，在出色沿袭电影首秀风格的同时，技术的革新，更打造了一场为人惊艳的黑色盛宴，这一点无论是尼奥对战100个同样的史密斯，还是长达14分钟的飙车追逐，都可见一斑，其所带来的视觉震撼，成为了至今诸多电影所效仿的典范。,2016-07-16 08:36:09
