排名,片名,评分,评价人数,详情链接
1,肖申克的救赎,9.7,3285232,https://movie.douban.com/subject/1292052/
2,霸王别姬,9.6,2423831,https://movie.douban.com/subject/1291546/
3,泰坦尼克号,9.5,2499120,https://movie.douban.com/subject/1292722/
4,阿甘正传,9.5,2430880,https://movie.douban.com/subject/1292720/
5,千与千寻,9.4,2537522,https://movie.douban.com/subject/1291561/
6,美丽人生,9.5,1482684,https://movie.douban.com/subject/1292063/
7,星际穿越,9.4,2184542,https://movie.douban.com/subject/1889243/
8,这个杀手不太冷,9.4,2552837,https://movie.douban.com/subject/1295644/
9,盗梦空间,9.4,2326062,https://movie.douban.com/subject/3541415/
10,楚门的世界,9.4,2019863,https://movie.douban.com/subject/1292064/
11,辛德勒的名单,9.5,1247481,https://movie.douban.com/subject/1295124/
12,忠犬八公的故事,9.4,1543588,https://movie.douban.com/subject/3011091/
13,海上钢琴师,9.3,1879994,https://movie.douban.com/subject/1292001/
14,疯狂动物城,9.3,2320819,https://movie.douban.com/subject/25662329/
15,三傻大闹宝莱坞,9.2,2079031,https://movie.douban.com/subject/3793023/
16,机器人总动员,9.3,1493943,https://movie.douban.com/subject/2131459/
17,放牛班的春天,9.3,1474288,https://movie.douban.com/subject/1291549/
18,无间道,9.3,1565765,https://movie.douban.com/subject/1307914/
19,控方证人,9.6,743892,https://movie.douban.com/subject/1296141/
20,寻梦环游记,9.1,1990229,https://movie.douban.com/subject/20495023/
21,大话西游之大圣娶亲,9.2,1710109,https://movie.douban.com/subject/1292213/
22,熔炉,9.3,1036536,https://movie.douban.com/subject/5912992/
23,触不可及,9.3,1296541,https://movie.douban.com/subject/6786002/
24,教父,9.3,1107921,https://movie.douban.com/subject/1291841/
25,末代皇帝,9.3,1029585,https://movie.douban.com/subject/1293172/
26,哈利·波特与魔法石,9.2,1423874,https://movie.douban.com/subject/1295038/
27,当幸福来敲门,9.1,1688833,https://movie.douban.com/subject/1849031/
