序号,评论者,评分,内容,时间
1,思阳,力荐,这部片子有三个特征：1）看不懂 2）无数的符号 3）必须熟读尼采 4）六十年代能够做出这样的特效真的是惊天动地,2008-02-29 14:05:22
2,地富反坏右,力荐,"首先你得忍者看完第一遍,觉得不知道在说什么;看了第二遍,觉得好像有点意思;看第三遍,知道原来这个电影讲述的是多个主题啊,看第四遍,觉得好像看懂了点什么;看了第五遍,啊,真他妈太牛了!这可是1968年的东西!",2008-07-14 10:28:08
3,彦夕,推荐,原作作者克拉克：“如果有人觉得完全弄懂了《太空漫游2001》在讲些什么，那一定是我和库布里克弄错了。”,2007-12-08 09:59:04
4,熊阿姨,无评分,反复睡着影响了我对此片逻辑的梳理和判断……,2016-12-19 01:08:35
5,袁牧,力荐,这不是照着剧本拍的，而是曲谱,2009-12-19 22:34:59
6,Kuba,力荐,这部是唯一一出让我彻底游离出剧情，却始终带着浓厚兴趣看完的电影，我相信库布里克偏执的工作态度操死了一批又一批特效制作人员,2009-12-21 01:30:50
7,[己注销],推荐,史上最伟大的装逼片，就连作者克拉克和导演斯坦利都看不懂剧情……不过这丝毫不影响它的伟大，首先在视觉上它领先了同一时代数十年不止，很多星际旅行片都没有给我一种“星际旅行”的感觉，但这部有，关键就在于细节处理细致。还有就是，这部讲述星际旅行的片子拍摄于1968年，而美国登月则在1969,2011-09-17 23:40:13
8,朝暮雪,推荐,《2001太空漫游》只获得了奥斯卡最佳视觉效果，而最佳影片和最佳原创剧本都只是提名。所以说啊，奥斯卡也不是权威。,2014-01-17 23:55:01
9,充蜜,力荐,那奄奄一息的机械生命执意要为我唱一首雏菊，有那么几秒温柔得不像话。,2008-12-27 18:20:35
10,影志,力荐,李安评价自己最爱5部电影之一时说： “我非常崇拜库布里克，关于《2001太空漫游》我无法说清它究竟是一部怎样的电影，我当年第一次看这部影片时，它深深地吸引了我，那种感觉就像吃了迷幻药之后的幻觉经历。” 今天在资料馆大银幕体验，修复版让这种幻觉变本加厉，渗入到每一根神经。,2013-11-09 20:54:27
11,桃桃林林,力荐,对我，这是恐怖片，源自童年对星空的恐惧，关于人类的渺小。,2006-09-12 14:12:47
12,根,力荐,如果能在1968年看到这种电影，那游也要游到美国了吧,2017-05-10 23:11:40
13,同志亦凡人中文站,力荐,牺牲了部分叙事节奏，但构筑起来的完整世界让人目瞪口呆。我觉得我要暴走了：这怎么可能是1968年的电影！！！这怎么可能是1968年的电影！！！它反科学反伦理啊！！！,2014-11-10 12:32:17
14,NullPointer,力荐,这次看2001，库布里克穿越式的想像力提醒我，50年过去，人类技术并无本质上的进步：太空旅行和人工智能依然是前沿——而我们在这个前沿已经蹉跎了那么久。,2014-09-19 23:44:45
15,Arch-Murder,力荐,相当牛逼。又闷又飞。颜色很怪也异常美。65分钟时钢铁怪兽一般的喘息令人不安、惶恐，几乎要把自己的呼吸频率调整至与其同步。。96分钟时电脑杀人的戏冷静、残忍，让我简直有点无法承受。而在120-125分钟时，长达5分钟的高潮光效极其飞！！而最后的星孩令人恐惧！68年的迷幻范儿，巨屌！,2009-12-15 04:18:34
