序号,评论者,评分,内容,时间
1,眼角的花朵,力荐,婆婆，对不起，不是我不喜欢跟你讲话，只是我觉得我能跟你讲的你一定老早就知道了。不然，你就不会每次都叫我“听话”。就像他们都说你走了，你也没有告诉我你去了哪里，所以，我觉得，那一定是我们都知道的地方。婆婆，我不知道的事情太多了，所以，你知道我以后想做什么吗？我要去告诉别人他们不知道的事情，给别人看他们看不到的东西。我想，这样一定天天都很好玩。说不定，有一天，我会发现你到底去了哪里。到时候，我可不可以跟大家讲，找大家一起过来看你呢？婆婆，我好想你，尤其是我看到那个还没有名字的小表弟，就会想起，你常跟我说：你老,2008-06-29 12:20:53
2,亵渎电影,力荐,我这样说好了，你不在的时候，我有个机会去过了一段年轻时候的日子，本来以为我再活一次的话也许会有什么不一样，结果还是差不多，没什么不同。只是突然间觉得，再活一次的话，好像真的没那个必要。真的没那个必要……★★★★★★,2009-07-21 00:36:10
3,彌張,无评分,真有这么好？我没看下去。。,2009-05-26 20:07:08
4,萨嘎摩多熊猫桑,力荐,从一个婚礼开始，到一个葬礼结束。,2009-02-17 21:09:18
5,水湄物语,力荐,年轻的人无法解读的一种电影,2005-11-27 17:16:32
6,影志,力荐,“自从电影发明以后，人类的生命就至少延长了三倍” “本来以为，我再活一次的话，也许会有什么不一样。结果还是差不多，没什么不同。只是突然觉得，再活一次的话，好像，真的没那个必要。” “你自己看不到，所以我拍给你看。” “没有一朵云，没有一棵树，是不美丽的。” “我觉得，我也老了…”,2014-07-04 11:19:48
7,巴喆,力荐,《一一》被法国媒体形容为“生命的诗篇”，透过电影传颂吟唱，在叙述一则简单的家庭故事时，真正触摸到“情感的精髓”，以四两拨千金的娴熟技巧交待了少女心事、童年困惑、事业危机、家庭纠纷，以及对宗教的慨叹和对时事的讽刺。9.7,2012-02-17 17:57:02
8,晚安小姐,力荐,我看到了一生,2006-04-08 09:46:35
9,微挺,力荐,你知道的太多了 其实 杨德昌很像小波，那么的冷静和尖锐，你看完以后永远不记得他说了什么故事，却一直记得他的句子。,2008-12-23 19:24:20
10,Henry,力荐,用三小时去看懂人生，看不懂，活下去就会懂,2012-08-23 11:23:41
11,战国客,力荐,杨德昌获嘎纳最佳导演奖的影片，近三个小时的影像细腻而漫长，其间没有大起大落，只是一直温和的诉说，可看这平淡的真实，却叫人沉重起来,2007-07-06 12:15:18
12,狷介有乌青,力荐,人生的命题我们还没能参透，世界却把我们看老。,2012-06-22 22:07:05
13,根,推荐,“电影发明以后，人类的生命至少比以前延长了三倍”，当我觉得自己已经看了两个小时，一拉进度条发现才过了三十几分钟的时候，我深刻地理解到了这句话,2017-12-14 10:26:31
14,暖鱼,力荐,感觉杨德昌的电影总是很节制地表现日常生活，记录生活。看后触动，可并没发现生活之另外可能。 06.12.24平安夜观影,2006-12-25 09:48:17
15,taki zhang,力荐,NJ去了日本，回忆了初恋，却后悔，勇敢的告诉敏敏，敏敏每天和不会讲话的老妈说话，突然发现原来她根本不会表达，她的生活好沉闷。洋洋拍各种人的背影，只因为他们自己都看不到自己的背影，那有没有人拍洋洋的背影给他看？婷婷是不是我自己？不是，我要当洋洋。单纯的洋洋，如果有谁胆敢取走我的单纯，那他一定，一定没有好下场！,2007-10-30 22:07:51
