序号,评论者,评分,内容,时间
1,八千觞,推荐,"最美的镜头大概就是随着阿花拉着那个巨大的条幅落下,太阳升起的瞬间.淸子大概真的是天使,是上帝派来拯救所有人的.其实没有人是心肠歹毒的不是么.也许,东京教父就该是暖暖的,和那个封面上作为背景东京塔一样,尽管是冰冰冷冷的,可是,暖光打上去,还是灿烂的.",2010-08-03 22:57:30
2,根,还行,从听到这个片名开始就以为这是部黑道片，结果……,2017-08-11 10:19:30
3,胤祥,推荐,非典型今敏。最冷的一部片有了最大团圆的结尾。,2010-06-30 17:45:25
4,Hiro,力荐,今敏证明了1点：动画不是单纯的视觉炫技，而是服务于实拍无法达到的剧情,2009-07-19 23:42:32
5,影志,推荐,“要是这样说他还原谅我的话，那就是真的亲情。” 三个拾荒者组成的临时搭档，甚过万千真正家庭。每个人都值得有被爱的回忆。,2015-04-23 15:27:48
6,shininglove,力荐,我祈祷拥有一颗透明的心灵和会流泪的眼睛。,2015-09-11 19:34:32
7,城南草木生,力荐,"""他是洗澡的时候踩到肥皂摔死的……生命是脆弱的……""大师，再见……",2010-08-25 21:18:12
8,御姐控_光崽,力荐,"""洗澡时踩肥皂摔死的."" ""啊,人生真是难测啊!""",2008-10-11 17:40:23
9,Lan~die,力荐,三个无家可归的人之间的奇妙友谊以及善良，整部影片都洋溢着希望和爱。 今敏：“在我至今为止的作品中，我认为「东京教父」的创作质量最高。就这点来说，这部影片是我最喜欢的作品。”,2008-11-08 18:33:02
10,芦哲峰,推荐,仗义每多屠狗辈，温暖有爱不流俗。,2016-08-03 08:53:57
11,崇子,力荐,为什么力荐的人那么少？这明明是个每个人看了都会充满希望的好片子~大爱~,2008-01-11 02:18:05
12,巴喆,力荐,拾荒者、人妖和刺父的少女，没想到这不入流的、浑身恶臭的三个社会底层竟然成为了寒冷冬夜的一把火，温暖着东京这个冷漠的都市。最后阿花坠楼那一抹朝阳，给人无限希望。此片充满人道主义人文关怀，剧本主题、剪辑、结构、节奏和摄影镜头，都堪称典范。今敏若非早去，当与宫崎骏并列日本动画电影的两座巨塔。9,2016-08-01 10:42:33
13,同志亦凡人中文站,力荐,辗转漫长的一夜，圆环一样的人物剧情。今敏塑造了最美的人妖啊，我的泪腺在赤鬼青鬼的故事中失控...,2015-05-25 14:41:30
14,高歌,推荐,今敏版《麦琪的礼物》 年轻编剧们，学学怎么玩故事线的交集，好么。,2016-06-09 04:17:22
15,心生,还行,跟金敏其它的作品比，这部难免平庸了,2016-07-10 23:43:27
