序号,评论者,评分,内容,时间
1,老鸡｜扶立,力荐,嘛叫编剧功夫？界就叫编剧的功夫！,2008-01-10 16:58:45
2,任晓雯,力荐,中国多少年轻导演在学这风格,2008-11-02 14:22:24
3,衣服,无评分,周杰伦捧红了萧邦，疯狂的石头捧红了两杆大烟枪，夜宴捧红了哈姆雷特，集结号捧红了太极旗飘飘？,2008-05-11 15:42:59
4,唐小糖·,力荐,"克里斯说:""整个过程让我感动!""",2006-11-19 05:14:19
5,大头绿豆,推荐,"结构很精细。艾德输光了钱的时候，恍惚出门，扶着墙吐，很真实。一贯老实的厨子打劫前突然说，带把刀好：Guns for show,knives for a pro.——你是不是有什么不为人知的过去？我不知道是马上要打劫可怕还是你的过去可怕。",2006-07-17 21:27:12
6,Zuschauerin,推荐,我觉得这片儿里的小混混们都挺有型的.,2008-07-10 17:09:11
7,[己注销],力荐,（9/10）对于脸盲而言前半段大概会看得很痛苦，但后半部理清线索后会是各种神奇……不算入赌场BOSS，这片一共有五股主要势力在斗殴：欠50万的（买了两支大烟枪去抢劫卖白粉的）、卖白粉的（高尔夫球）、毒品供应商（黑人势力）、强盗团体、讨债父子和两个不认识赌场大BOSS的小混混……,2014-03-31 00:20:21
8,小耳朵图吗,推荐,貌似疯狂的石头就是在模仿这部片子。麦当娜的前夫的作品。,2008-09-01 08:33:13
9,轻飘飘的旧时光,力荐,疯狂的石头在他面前只是浮云,2011-04-09 13:30:35
10,影志,推荐,犯罪都那么的英伦范，盖·里奇构造了一出无巧不成书的黑色喜剧，调侃、刺激，别有一番滋味。“四个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。”,2009-12-29 01:44:22
11,ⒹⓎ,力荐,从此开始喜欢上英伦范儿。我真的是太喜欢这部电影鸟。,2008-07-18 14:02:29
12,老阿飞—故园,力荐,此类多线杂糅叙事的代表作,2006-01-08 18:01:38
13,米姐起飞,力荐,果真没让我失望 喜欢这样能让你笑着紧张的好电影,2007-09-30 18:06:32
14,LORENZO 洛伦佐,力荐,浓郁的英伦范儿，搞怪的人物性格，多线交互叙事方式，无比精准多线互绕轮回归一的剧情，开放式结局，多处变速剪辑，以及精准切合的配乐，加上一帮英伦痞子的优秀表演：超值的五颗星！最喜欢的片段莫过于四人得手后庆祝的变速晃镜长镜头以及定格递推的开放式结尾，三个字：超喜欢！,2011-01-10 16:46:19
15,峰峰峰峰,推荐,你敢骗我，我就杀了你。如果你敢耍我，或者我认为你在耍我，我也杀了你。如果你忘了，我也会杀了你。事实上你要很努力才能保住小命，我说的话你听懂了没有？因为如果你不懂，我就杀了你。,2013-06-03 13:50:39
