序号,评论者,评分,内容,时间
1,Lan~die,力荐,非线性的叙事电影的代表作。结构巧妙而富有深意，精彩的对白。片中每个人的身上都有着美好的品质，却都无可救药的走向了黑暗与迷茫。各个段落不分首尾，互补结构，开头和结尾相连，暗示现实中类似影片中的情节总在发生，永不停歇。 台词：为什么我们一定要不停地说废话来维持气氛？只有当你找到一个真正特别的人时，才能闭嘴享受片刻的沉默。,2008-04-09 02:30:16
2,野格琢光年,力荐,我以为爱上厕所的Vincent是主角，一次拿枪指人一次被人指，没想到挂了；我以为爱撩汉的Mia会和Vincent偷情做爱，没想到吸毒过量休克，更没想到的是居然救活了；我以为爱背圣经的Jules会冷酷到底，没想到两次念完圣经后一次杀人一次放人；我以为总被恶梦惊醒的Butch在得瑟的拿回手表后会死在家里或者吉他店里，结果居然反杀所有人；我以为掌控一切的老大Marsellus会笑到最后，没想到绿帽子带着还被fuck ass（Butch推开门的瞬间不仅仅是Marsellus的心理阴影，也是我的心里阴影）；我以为誓死不工作的Pumpking和Honey Bunny会像雌雄大盗，没想到只是一对傻逼。 为什么每个人的结局都跟我想的不一样？？！！！！！,2019-12-19 23:27:04
3,大头绿豆,力荐,我爱特拉沃塔的舞。,2005-06-12 02:22:07
4,南桥下午睡,力荐,你的漫漫人生，我有多少戏份,2010-05-06 12:06:41
5,小波福娃,力荐,怎么会有人说这部电影不好？五年间我看了至少六七遍，它是这么好玩而且嚼劲十足，开心得让人觉得在读一本好小说，昆丁是个很赞的story teller，这不就够了吗。,2007-09-10 17:38:01
6,Over5,力荐,低俗故事的高级讲法,2007-02-06 11:07:15
7,红豆♥,推荐,不要在上厕所的时候看书 不要过量吸毒 不要把枪放在厕所门口,2016-12-18 00:53:18
8,ζωήιδ,力荐,事实证明，编剧恒大于结构。玩弄技术者必将悲惨淹没于日新月异中，新潮变做作，做作变老土。演员都是熟人，OST很好听。Travolta有点PITT的味道，昆汀大叔妒嫉他，竟把他写死了。讨厌拳击手，暴菊黑屋子太搞了。。Maria deMedeiros甜美性感小魔女——不是LES太可惜！,2009-10-31 12:17:38
9,泽帆,力荐,昆汀在这部集中展现了他的恶趣味：恋脚，屁眼，假奶，穿洞，SM，血浆。台词功力超屌！杀人时间还太早，再聊一会儿。2021.11.17三看。,2014-08-31 23:26:03
10,momo,很差,看开头，觉得不错，有熟人，抱着希望接着看，看到50多分钟时，不知所云，心想，可能还没进入主题。看了2个50分钟后，心想，大家都说这么好，精彩的肯定在结尾。直到最后一分钟，我迷茫的要死关了播放器，心想这片子讲了个P阿。（而且最受不了的是...竟然老是有些人劝别人：你应该没看懂再看一遍吧。这,2011-10-05 18:09:56
11,冴木,推荐,文森上了三次厕所，每次都出事,2021-08-23 04:22:42
12,JulyChan,力荐,忘不了Uma Thurman和John Travolta的狐步舞,2006-12-06 17:58:18
13,罗玉璋,力荐,打劫选餐厅，杀人先念经。跳舞玩高兴，吸粉险丧命。拿钱跑路，金表寻回，冤家路窄，患难相随。乱枪击不中，走火把命丢，浪子顿悟欲回头，专家施援手。钱赠劫匪，枪下留人,2020-11-09 15:44:27
14,开膛手贝塔,推荐,乌玛瑟曼太惊艳了，vincent读的书叫做modesty blaise，讲述一个跟jude一样的圣经演说癖的杀手的故事，every time he goes to the bathroom，bad things will happen。,2010-12-01 10:00:37
15,朝暮雪,推荐,所有新人导演都该去向昆汀学学怎么讲故事。,2012-08-18 01:15:11
