序号,评论者,评分,内容,时间
1,西楼尘,力荐,见过游乐园女神被扒光，洗过沾了鲜血的衣服，听过蜘蛛侠变成蟑螂侠的传闻。才知道美丽会变丑陋，纯净会变脏臭，英雄泯然众人，自己却无能为力。把童贞交给世界，用匕首刺穿丑陋，靠起诉状告父母，挤笑脸嘲弄命运。赞恩把婴儿交给男人，才明白自己谁都保护不了。他就站在破败的街角，仿佛人生走到尽头。,2018-06-27 14:18:36
2,喂你这是,推荐,人类究竟为什么对生育有这么大的执念？,2018-06-17 20:53:58
3,水怪,推荐,在欧陆人民面前，中东这样的超级人道主义灾难本身就是泪点满满。这样的题材如果是纪录片会更具力量，但想想如此年纪的男主及孩童们居然可以“演绎”得如此逼近现实，女导演的确强大。另外强烈抄送国内逼婚逼生一族。,2018-05-18 04:11:38
4,ZAC,推荐,努力挣钱好好读书，不要穷到只会做爱生小孩（边看边骂《审判日》，比《审判日》更《审判日》）,2018-05-18 03:43:22
5,同志亦凡人中文站,力荐,拍给生育癌看的。我就不说卖惨了，因为是真惨。善良而倔强的叙利亚小男孩，默默把全世界扛在瘦弱的肩上，拖着生活往前走。最后他露出全片唯一一个微笑我一下就泪奔了。孩子永远是我的软肋，我给你五星还不行么...,2018-08-05 13:23:07
6,朝暮雪,力荐,在这里，女孩是一种商品，可以换钱；男孩是一种工具，负责养家糊口、照顾更小的小孩。 父母只管生，不管养，将孩子当做摇钱树和免费劳动力。他们不但不能给孩子带来快乐，只会给他们带来苦难和折磨。 现在做什么都要考证，做父母却不需要考证。然而并不是所有人都配当父母，也并不是生了孩子就自动成为妈妈。 他们只图一时的快活，让孩子跟着他们来到这个世界一起受苦，他们根本不配做父母。 如果不能给予孩子幸福，当初就不应该把他们生下来。 他们是你的孩子，但他们更是他们自己，他们有自己的人格和思想，不应该被虐待，更不应该被贩卖。 父母有管教孩子的义务，孩子也有权利将父母告上法庭。 赞恩什么都不要，他只要父母别再生了。 因为一个人在还没有学会如何做一名合格的父母之前，Ta不配拥有孩子，更不配当爸爸（妈妈）。,2019-03-05 14:46:00
7,喜悦之地,推荐,穷人可以生孩子，愚昧的人不要生孩子,2019-04-06 13:36:37
8,甦,力荐,从一句话的简介 就直击心灵 再到120分钟完整故事 一直受到着冲击与震撼。 三个看片小伙伴 开篇就哭的稀里哗啦 结束 已经泣不成声 真的是一部还没看完就想让全世界去看的电影。那句在法院上12岁的小ZEIN的发言：我要控诉父母生下我。我想让那些无法养活孩子的父母 不要生下孩子。,2018-05-14 21:42:32
9,LORENZO 洛伦佐,推荐,这题材...这手法...锁定奥斯卡外语片提名。小男主的表演太厉害了！有点煽，可看性很高但艺术层面低些。技巧很干净，但偶见被安排的剧情。希望有更多人看到这部电影。,2018-05-18 04:44:54
10,frozenmoon,推荐,这个世界里没有对错、黑白、是非，道德是完全缺席的，法律连概念都不曾存在过，这里不过是无政府下的自生自灭，一个直立行走的动物世界。一个神明应该降临的地方，一个存在于典籍中被恩泽的地方，却全然不见一丝圣光，连超级英雄的服装到了这里都被自动降格。扎因的年纪直到最终也没人知晓，医生依靠牙齿生长大致判断出年纪，他失却一切“身份”，而始终也在找寻“身份”，他找寻的是一纸证件吗？其实，找寻的不过是尊严，那才是一个人生之为人的根底和证明。所以，他在结尾的那一笑，是这污脏中的光。,2019-04-17 10:39:07
11,王小能,推荐,中东小朋友长得过分美丽，黑人小朋友也太可爱。骆驼般浓密长睫下，脸蛋柔嫩而肮脏。让我想起自己有一个帆布包，大约是什么NGO慈善商品，正面书曰Live for Humanity，背面是World Change Starts With Educated Children ，令人怀揣狂妄而凄凉的颠倒梦想：世界真能因此变好吗？据说引进版本删了十分钟，不知道有什么触动了审查点，十分可笑。有评论谓之曰“卖惨”，大概是强国优势，黑户小孩，在街上打转，死生如蚊蚋，见惯不怪，不必如偶然凝视亚非拉的白男白女大惊小怪，略微变色就讥其小布尔乔亚过敏症。托尼斯塔克君的那颗钢心，比之我们实在不如。片尾字幕一出，则无言以对。只把电影当作优生优育片，也是看低了导演。,2019-05-01 15:00:28
12,谢飞导演,推荐,继《羞辱》后的又一部中东难民问题的影片，以一个十一二岁男孩为视角，深入、独特、细致。小男孩演得真好，女导演功不可没。中间一段视角偏离了一段，后面又找回来了。值得观看。,2019-04-18 17:40:25
13,麦子,力荐,十年前看Caramel开始一直关注的导演，陆续听她先生写的原声，看她演的法国电影，直到Capharnaum入围此次戛纳主竞赛，成为个人List上最期待的影片。十年不见，当初所有的灵气聪明仍在，镜头却越发冷静干净。结局处的回暖，是残酷现实里女导演留有的慈悲。,2018-05-19 02:30:52
