序号,评论者,评分,内容,时间
1,银河系漫游指南,力荐,这部片深刻地告诉我们 一个有好剧本的诚哥有多可怕 ☄,2016-09-05 21:17:35
2,小鱼问题不大,力荐,黛玉心中想道：“好生奇怪，倒像在哪里见过一般，何等眼熟到如此!” 宝玉看罢，因笑道：“这个妹妹我曾见过的。” 贾母笑道：“可又是胡说，你又何曾见过他？” 宝玉笑道：“虽然未曾见过他，然我看着面善，心里就算是旧相识，今日只作远别重逢，未为不可。”,2016-10-03 08:37:02
3,翻滚吧！蛋堡,力荐,新海诚用这样的故事去温暖城市中每一个仍然愿意相信爱的人。在这么大的世界里，能够遇见你，竟然需要如此用力。穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,2016-09-07 12:13:58
4,库索,力荐,这一次要给新海诚打200分，在我鄙视他不过只是纯情小清新的10年前，没料到有朝一日会在电影院里哭到断气。恍惚看到了穿越时空少女时期的细田守。为所有的少女心和中二病鼓掌，青春不死就能相遇，就能拯救地球。现在我抹着眼泪走出影厅，看到后排的少年摘下眼镜，嚎啕大哭起来。。。,2016-08-27 18:55:23
5,同志亦凡人中文站,推荐,新海诚终于会讲一个复杂故事了，真不容易啊！当年那部搔首弄姿、无病呻吟的“言叶之庭”差点让我转成终身黑，“君之名”却轰出了我睽违已久的少女心。彗星降临的末世情怀，穿越时空的灵之绳结，只有7秒钟记忆的鱼...星空、爱情以及所有遇见都是注定。,2016-09-08 08:06:11
6,空気嫁,力荐,错过和努力才是爱和青春的墓志铭,2016-08-28 15:57:13
7,CharlesChou,还行,和《追逐繁星的孩子》同个毛病——一个平时专注于言情的人看了科幻小说之后可能就是这样的，他执着于用新学到的概念来包装自己的认知，而不是放手让这个概念去革新它。,2016-09-08 22:25:45
8,有心打扰,力荐,只有新海诚才能让我一次又一次感受到爱情的纯粹与美好。被爱情伤得遍体鳞伤的我，不再相信爱情的我，突然会想，不如再勇敢地去谈一场恋爱？嗯，好像可以！,2016-09-07 15:28:51
9,隆咚锵,力荐,先写下 我爱你 再到世界尽头找你的名字,2016-09-09 01:39:10
10,koukou.VS.靠靠,力荐,可以给8颗星吗？跟看完预告片想象的剧情完全不一样好吗？！必须超级安利的片子。除了神木弟弟，上白石妹妹的声音也好好哦。 难得看到late show满席的片子了。预计票房会超级好。,2016-08-27 22:37:06
11,根,力荐,故事真的就是《你眼中的世界》+《只有你听见》，但人类就是会被这种自己终其一生都不会遇到的奇迹所感动啊！,2016-12-02 14:43:21
12,黄青蕉,力荐,真美啊！真好啊！还要3什么鬼D！这才是电影啊啊啊！！！,2016-12-05 19:44:36
13,哪吒男,推荐,你我相逢在黑夜的空中，你有你的我有我的方向，你记得也好，最好你忘掉，在这交会时互放的光亮。,2016-09-08 17:48:31
14,邓安庆,推荐,一清早醒来捏捏自己的胸部，“啊，真不好意思呢。”然后穿上了人家的裙子，美满地过了女生的一天。,2016-12-04 15:39:08
15,紫苏バジル,推荐,聚结成状，交错纠缠，时而回转，中断，却又再次续接。这就是组纽。这就是时间。这就是结。黄昏，不是白昼亦不是夜晚，是我努力却看不清你的脸。たそがれ、誰そ彼。我已记不得你的名字，却还记得喜欢你。,2016-09-03 19:58:35
