序号,评论者,评分,内容,时间
1,小锡兵,力荐,此生暂借于世上。。这是无言的结局，我能想见阿莉艾蒂最终被同族淳朴少年打动，相守繁衍。那个有温柔眼眸的人，从此相忘天涯，深藏于心。,2011-06-20 01:40:22
2,Q。,推荐,“你永远在我心中，我永远都不会忘记你。”这是一部难得一见的富含诗意和伤感的动画片。细节和人设很棒，赏心悦目；配乐尤其出色，但叙事太过苍白匆忙。最后的轻轻告别，两人往后都会有自己人生，走自己的路，但曾经那段美好依旧会沉淀为一辈子的记忆。★★★★,2011-06-24 10:49:32
3,Miya.,推荐,我相信他们终有一天还会遇见的。,2011-06-17 18:57:54
4,病気君,推荐,那个该死的女佣怎么不去吃屎啊！！！！！！！！！,2011-06-30 22:54:49
5,shawnj,还行,富四代，虽然你粗暴地用华丽的厨房打动了丈母娘，却无法用奢华的别墅赢得美人的心。太多现实问题你没考虑，比如抚育下一代的问题，你想过没有？！！,2011-06-27 08:46:40
6,岛上的夏奈,力荐,能赠予你的临别礼物，不过是一块小小的方糖。,2011-06-18 03:04:18
7,称称,推荐,宫崎骏爷爷是要告诉我们，即便你爱着城堡少爷，你最后也只能嫁给隔壁张三。,2012-04-15 13:02:15
8,方小孬,还行,那个阿春好讨厌啊，让人家好好生活步行么，为啥要抓起来啊。。,2011-06-19 10:39:12
9,根,力荐,阿春那种无缘无故的残忍和仇恨是怎么来的呢？不过想想我小时候也爱水淹蚂蚁什么的，大概是同一种心理吧。,2012-08-05 13:16:32
10,shiya,力荐,比波妞好看多了……而且配乐相当好听……,2010-07-21 23:14:53
11,五色全味,推荐,“我們要努力活下去！”但願你不要隨便放棄,2011-01-02 23:42:18
12,阿翮,力荐,吉卜力的动画里，总有个坚强的姑娘。最后送别时阿莉埃蒂摘下发卡，栗色的头发飘起来，她把它送给翔，说把它带在身边，翔微微睁大眼睛。我就是在这个时候，掉下了眼泪。阿莉埃蒂也掉下眼泪。一年多以来几乎没有什么戳中我泪点的电影。少女说“你保护了我，很开心。”而少年只是轻声呼唤着少女的名字。,2011-06-18 23:49:52
13,迦拉夏,力荐,刚去看了回来，音乐实在太赞了！,2010-07-17 21:23:00
14,17950,推荐,雖然很吉卜力，但其實和宮崎駿本人的戲劇風格很不同，沒有明顯的起承轉合，主題也不深入，但是很平靜。。。 也許米林宏昌的個人風格還沒有完全顯現出來呢。,2010-12-25 22:11:31
15,BabyMoon,力荐,香港首映宫崎峻的借东西的小女孩亚利亚蒂。刚看完出来。观众在亮灯时仍然没人起身，一直到字幕结束。非常唯美，非常感人。我要去下ost。电影给六颗星。,2010-12-25 23:20:32
