序号,评论者,评分,内容,时间
1,桃桃林林,推荐,乔·怀特对长镜头有种奇怪的迷恋，总会用那么一两处调度极其复杂的长镜头。美术真棒，布景超华丽，外景也漂亮，摄影很美。情绪很饱满，有几处细节很用心。当然，对于原著党来说，她们是永远不会满意的,2012-07-02 20:39:13
2,jj73浅之,推荐,真受不鸟凯拉奈特莉狰狞的笑容,2009-06-14 16:07:19
3,P,力荐,最爱~~~伊丽莎白在大雾中看到渐渐清晰向自己走来的达西先生，我眼睛都湿润了……,2006-06-12 10:16:02
4,kingfish,力荐,"拍得挺美的,拍名著只要不把它拍砸了就是胜利",2006-03-23 09:55:42
5,原 子,还行,这达西先生是痴呆不是傲慢吧……,2006-05-01 23:57:01
6,布宜諾斯,推荐,一群发春的女人和一个完美的男人,2009-05-13 16:06:11
7,陀螺凡达可,力荐,这一版的每一刻都美得让我心醉。特别是片尾达西从田野的晨雾中向伊丽莎白走来的镜头~,2011-12-28 04:55:41
8,RUI,力荐,特別喜歡 看很多次了,2007-05-28 14:27:20
9,Q。,推荐,喜欢导演对光线的运用，很多时候特别唯美。那个时代表达爱情的方式含蓄中有热烈，两人间保持着礼节的距离，目光却可以表达纯净、真挚的情感。片中温馨，平和的氛围，宛如一杯午后红茶，音乐也相当不错。但始终更喜欢BBC版。★★★☆,2008-05-18 01:14:11
10,赫恩曼尼,推荐,当两个无比骄傲的人终于发现自己的愚蠢，爱情才超越一切从天而至，祥和美好。片尾，Darcy一声接一声、一边亲吻一边温柔地叫着Mrs. Darcy，真是美到摄魂。,2012-07-01 11:20:00
11,吃李子不吐皮,力荐,爸爸说出：“如果你嫁给他，我就再也不要见到你了。”的时候真的很感动，他不会为了钱和名誉出卖任何一个女儿，他说他终于找到了配得上他的伊丽莎白的男人。达西从雾中走来，在日出中相依，他不是破晓的阳光刺眼而强烈，是冬日的暖阳温暖又笃定。的确也只有达西能配得上伊丽莎白了，虽然嘴笨的可以，但是每件事都善良而正直。“理智上我觉得我们不配，感情上我控制不住喜欢你。”，从一次次欲言又止中越来越喜欢，从彻夜的钢琴“比较好”在达西眼中变成了“非常好”中越来越喜欢，从雨中雾中的告白越来越喜欢。伊丽莎白简直和她的妈妈完全相反，直接干净，没有一丝物欲的沾染。如今的世界，还有几个达西和伊丽莎白呢。,2021-10-15 22:04:41
12,影志,力荐,以为很平庸，结果意外的好看。,2006-01-08 03:51:12
13,超神的我妻由乃,力荐,看完以后让你少女心爆棚的一部电影！！！男主超级帅啊啊啊啊啊！！！最喜欢的一个桥段是两个人在雨中吵架那段，湿漉漉的头发，嘶吼着的嗓门，太美了！！！,2017-03-21 17:51:59
14,elvita,力荐,让我想起了我和老公最后走到一起的感觉，实在很像，勾起很多回忆,2006-07-22 23:38:41
15,张樾,力荐,无辜的达西 冤枉的爱情,2008-01-14 20:25:17
