序号,评论者,评分,内容,时间
1,沉歌,推荐,对待死的敬意，犹如对待生的真诚。举重若轻。,2009-03-18 17:03:04
2,眠去,推荐,日本人的表演还是太做作,2009-04-01 14:09:06
3,塞腮,力荐,我觉得这个电影不是讲死亡 甚至什么追忆怀念云云 而是讲一个人在逆境中如何面对世俗的目光生活 从在意别人的眼光 到最后在工作中找到自己的价值 高度认同它 与世界沟通 还有宽恕他人 从而达到自我的新生 从这个角度来讲 这部电影是更像是一部励志片 而不是简单的感情片,2010-01-03 01:02:08
4,故乡无用,推荐,我可能看这个片子太晚了，现在看不太有深的触动，反而会觉得情节制式化。澡堂奶奶的离世，太太的理解，父亲逝世时握紧的石子和亲缘关系的和解都可以猜到。临近结尾同场观众有很多啜泣和翻纸巾的声音，而我只觉得广末凉子扮演的女性角色太传统太刻板化了，“完美”的日本家庭主妇，永远微笑体贴理解的女性伴侣。,2021-10-29 22:07:23
5,同志亦凡人中文站,推荐,入殓既是生者的最后道别，也是死者的洒脱上路。生死之间，皆是肃穆。,2015-01-01 16:09:42
6,影志,力荐,The gift of the last memories. “人一辈子买的最后一样东西(棺材)是由他人决定的。” “死可能是一道门，逝去并不是终结，而是超越，走向下一程。” “入殓师就是让已经冰冷的人重新焕发生机，给她永恒的美丽，这要有冷静、准确、而且要怀着温柔的情感。”,2009-04-01 02:20:04
7,徐小花,力荐,很温柔很温柔。。眼泪有很多种，这是非常有劲道，非常耐人寻味的一颗,2009-03-19 20:17:20
8,boks,推荐,迷恋死亡仪式的日本人,2009-03-28 14:14:26
9,賴床不起。,推荐,死是活人的事情,2009-04-24 20:36:36
10,离,力荐,入殓师老板在自家店铺楼顶的玻璃花房里烤河豚鱼白吃，四周都是绿葱葱的植物。,2009-05-13 01:43:35
11,红豆♥,推荐,本来想说毫无共鸣，但是看到石头从手心落出来的时候还是忍不住哭了。我突然想明白，以前一直认为怨恨到死也不可能完全消除，但是如果看到你死的那一天，我一定会原谅你的一切。,2013-01-23 18:14:11
12,hellstay,力荐,东亚三兄弟这个儒家体系（包括日本那个变种儒家文化）都有这个臭毛病，活着的时候一忍又忍，死了却“人都死了”就各种迁就了。想成为女性的儿子被父亲接受了、想穿长筒袜的老奶奶葬礼上穿上了，一辈子糟糠妻的女人死后让丈夫知道自己的美貌。想到从小的唯物论教育下死亡就一切的湮灭，以上的事情让人更加难过了。,2021-10-31 20:23:10
13,A 涂,力荐,好吃得让人为难,2010-03-12 13:42:27
14,素生,力荐,孝，最不能等,2009-03-31 19:19:29
15,O莙,推荐,是好看的，但太工整了，所有人物的动机与选择都指向了唯一的结果，反而情绪没能进入到营造的整个氛围里，就是完全属于豆瓣top250 stereotype的那类电影。,2021-11-11 00:58:40
