序号,评论者,评分,内容,时间
1,肖浑,推荐,不同类，要成为集体，是多么艰难，又是多么简单 类与类融合很难，个体与个体相爱很简单 爱都是个人的事，与种族无关,2009-07-17 00:19:58
2,影志,推荐,成年后再次接触动画片的最初几部，当年刚上大一，跟《怪物史瑞克》一样刷新了我们整个宿舍的眼界，动画片可以这样精彩和不分年龄。,2006-02-04 06:23:22
3,王老虎,力荐,这只松鼠才是角儿！,2008-06-27 20:13:37
4,缈沨,还行,我纯粹是喜欢那抱着松果的小倒霉蛋儿松鼠，哈哈……,2009-03-01 21:40:22
5,巴喆,推荐,说明了人类的孤芳自赏与自大无知，在史前一万年前动物们就已经知道如此了。老虎都这么有情，叫那小孩情何以堪。原来唯一不会使用英语的竟是人类，更讶异的是，那小松鼠直接改变地球生物史。8,2012-02-18 22:47:36
6,美好时光只为你,推荐,哈哈，那只贱贱的松鼠实在是太令人想搓拉几下啦。,2017-05-06 22:37:05
7,米粒,推荐,现在看看不算出奇，但这竟然已经是十年前的动画片了呀。开头和结尾都很不错，松鼠太可爱了，哈哈哈。,2011-05-09 03:38:00
8,赱馬觀♣,还行,故事差了点，角色是主宰。浆果抢了松鼠的戏；松鼠抢了树懒的戏；树懒剑齿虎长毛象合伙抢了小北鼻的戏，搁在真人电影中，小北鼻一定是主角。但这是动画片，动物的萌趣潜力，远高于人类。不过冰裂救虎那场戏有点矫煽了。而且动画片里搞悬吊桥段，基本已经失去了真境下才能产生紧张情绪功能，更何况那么大块头掉下去，说喷上来就喷上来。果然是动画。动画很难真正进入暗黑危机时刻，因为这种时刻所要唤起观众的情绪走向与其固有艺术形式之间的矛盾是无法调和的。,2018-08-20 22:41:57
9,汪金卫,推荐,时隔多年重新看第一部，10年前的动画。当年的技术有限，以现在的眼光来看3D建模看起来很是粗糙。笑点也有些老套了。但这部只有80分钟的动画依旧非常的经典。他做到了很多电影都没做到的一点：好看！那只树獭和那只松鼠简直是两个活宝。强西瓜那段慢动作依旧经典。三星半,2012-08-08 01:23:10
10,桃爷爷 ⒅,无评分,这只松鼠才是王道。,2008-04-05 23:13:50
11,沉歌,力荐,很久很久以前的冰河世纪，一只剑齿虎攻和一只树赖受相遇了……最后他们和宠物长毛象幸福的生活在了一起。THE END~,2008-05-03 18:37:02
12,朝暮雪,推荐,还是第一部最好。,2012-08-12 21:46:16
13,杨大志°,推荐,很经典，松鼠太可爱了,2017-04-14 09:49:50
14,海心,力荐,非常温暖，非常感动。我们一起去南方，不离不弃。,2008-11-19 19:33:00
15,ᥫ᭡້໌,推荐,笑点有，情谊有，动画片就是让人放松开心的。,2017-02-15 14:51:14
