序号,评论者,评分,内容,时间
1,香槟塔,力荐,somebody is worth melting for.迪斯尼的动画片又一次的超越。当真爱的举动不再局限于真爱之吻。迪斯尼的公主已经不是命运的无辜的受害者。,2013-11-27 11:51:16
2,陀螺凡达可,推荐,迪斯尼首次让出柜演员为男主配音，并通过故事向同志青少年及其家人传达出认同和出柜的积极信息，对真爱的重新定义与女权向也是自我突破。不墨守陈规也不刻意讨好成年观众，用最迪斯尼的公主童话满足全年龄受众。百老汇级别歌舞戏大赞。Elsa是首个没遇到王子的迪斯尼公主，Let It Go是出柜之歌#想太多#,2013-12-05 07:06:57
3,Wendy,推荐,一对百合一对兽人，专注黑王子一百年！,2014-01-15 21:24:45
4,É,推荐,论世俗偏见对于同志自我认知及出柜的影响。,2013-12-25 06:38:23
5,小斑,力荐,pixar看到没有！这才叫「女性向动画片」。在主题设定上可解读性深了很多——「坦陈秘密获得自由」和「家人的爱融化冰雪」——成年观众完全可以作出自己的解读。除了祭出「歌唱必杀技」之外，在「真爱」这个项目上Disney终于突破自我。北欧风情还有在儿童向动画中颇反转的诡计。开头的短片加分。,2013-12-08 06:06:22
6,费德里科维奇,推荐,迪士尼总能在俗套和惊喜中迎刃有余，于我好于破坏王好于原始人，开头妹妹一个人在城堡里唱唱跳跳眼眶竟然有热泪划过，勇敢依旧是近几年的命题，最有笑点的动画不同于小黄人的卖萌趋势，没有刻意煽情太加分。The happiest snowman is worth melting for！,2013-12-08 14:32:09
7,CharlesChou,推荐,比去年《勇敢传说》不知道动人多少倍，虽然故事非常简单但还是有加分的小反转和非常好听的音乐。再就是....Blue is the warmest color，你们懂的...,2014-01-13 14:27:43
8,Kaili Urchins,推荐,结局过分轻描淡写，前面累积起来的情绪突然都泄了气。。感觉真的好可惜不然完全有资格做2010年来最优秀的好莱坞动画长片。。。P.S.故事的中心思想其实是千万不要闪婚【完全不对,2013-12-07 07:04:45
9,鹿鸣之什,力荐,拯救公主的不是王子的爱情之吻，而是女王姐姐的亲情拥抱，当然最后公主和穷小子依然相吻了。姐妹百合挺令人浮想联翩，我也乐得接受迪斯尼的开放暗示。Elsa的能力很有点“同志隐喻”，从小被要求隐藏，长大后被众人当成怪物，自己也活在恐惧之中。Let it go是自我解放的出柜之歌，骄傲于“我就是我”。,2014-01-27 11:10:38
10,亵渎电影,推荐,秉承迪士尼动画的优良传统，它的歌曲实在太棒了，偶尔让人想起去年的【悲惨世界】，因为歌曲和叙事完美的融合吧。虽然这依旧是一个关于爱的故事，但最后的故事处理还是有点出人意料，比预想中的俗套有趣的多，这一改变也让电影的主题变得更加温暖。亲情最大与接受真我，难怪被指很gay呢。★★★★,2014-01-08 22:49:58
11,叶扬 | 独眼,还行,女建筑师的孤独,2014-02-07 04:23:59
12,decidels,无评分,两个女主没亲上去真是太对不起观众了···,2014-01-18 01:17:40
13,爱幻想的小孩,力荐,近些年看过最好的迪士尼动画片。纵然有很多部影片的影子，但是拥有很独特视角，聚焦于姐妹情，而不是传统的王子公主幸福地在一起。人物刻画深刻，所有人都有多维不单一的性格，引入两个女性主角也是前所未有的。音乐绝对是百老汇级别的，并且是storytelling的完整组成部分，不是为了唱而唱。精彩至极！,2013-11-11 11:00:00
14,Secondstar2TR,力荐,我不知道是每个人看都有还是只有我们电影院有前面那段米老鼠的？ 前面那段棒死了！ ！ 特效我看着也特别的美！！最后女主冻成了草原英雄小姐妹即视感－－,2013-11-30 11:27:00
15,GarethL,力荐,迪斯尼去年年底是无敌破坏王，今年是冰雪大冒险...原来到最后是个百合片，全片音乐太精彩，从开头的劳动号子到主体旋律无不是值得下OST的...冰雪魔法效果非常赞...故事也至少不是俗套的王子公主（都说了是百合）...强推,2013-11-30 10:10:40
