序号,评论者,评分,内容,时间
1,老鸡｜扶立,力荐,爱德华的眼睛让人心疼,2008-01-10 16:26:34
2,宇宙,推荐,除了JohnnyDepp 还能有谁能有那样的眼神？,2008-04-28 14:45:43
3,一粒球。,推荐,有时候卑劣的人性才是剪刀。,2010-04-04 22:33:01
4,宋阿慕,力荐,JohnnyDepp最经典的一部片. 很美丽的童话. 那个孤独而美丽的爱德华让我至少哭了两遍!,2008-02-19 15:21:29
5,Doublebitch,力荐,Adward脆弱的眼神永远忘不掉,2008-01-26 18:39:55
6,Rivers,推荐,孤独本是生命的常态,2010-01-24 11:42:57
7,杜扬Seatory,力荐,童话真美好 现实太聒噪,2006-10-24 03:48:41
8,幸运遇见你,推荐,如果我没有刀，我就不能保护你。如果我有刀，我就不能拥抱你。 这个城市看不到雪，我为你降一场雪，每一片雪花落地那都是在说，我爱你。 我现在已经是个老妇人了。我只愿他记得我当初的样子。,2016-08-18 14:06:54
9,吴花果,力荐,美好的东西注定只能潜藏在角落,2006-08-26 17:42:20
10,宋小君,力荐,他来之前从不下雪。,2012-01-03 17:16:05
11,UglyBerry,无评分,就让我相信全世界的雪都是爱德华下的吧。,2010-01-09 11:41:37
12,lily,推荐,佩格居住的小镇是画笔般彩色的，这里的人们好奇热情也多疑。爱德华获得明星般的关注，也在人类的世界遭遇讨伐。金对于他，永远只能是剪刀下冰雕的女神像，无法拥抱，无法守护。完美的悲剧童话，如同后来每年的雪。,2016-11-19 16:52:51
13,smallsmile,推荐,第一页显示出来的影评都挺恶心的。滥情。影评的悲哀是写成了剧情介绍,2009-06-17 19:58:20
14,小斑,力荐,这片居然没有修复版！即使在TB的作品中，这都算得至纯真的一部。发明家死的时候Ed弄坏了原本是要送他作为圣诞礼物的人造手，他试图抚摸至亲的脸却只留下血痕<--姐的泪点在这里。想不到这次边上有人几乎同时开哭，而且哭得好大声。灯亮之后发现那是个清朗的白发大叔，好可爱,2007-05-12 04:26:53
15,海心,力荐,CCTV6，爱上爱德华。从此不改变。,2008-01-08 16:48:07
