序号,评论者,评分,内容,时间
1,Bono,力荐,超级耐看和严重被低估的电影，看十来遍了越看越好看，我想100年后还是有很多人爱看它。,2012-07-24 23:20:59
2,芥末小馒头,推荐,不要说烂，其实很卡通很cult,2007-02-15 18:38:00
3,郁程,力荐,再都不可能出现比它牛B的功夫电影了,2009-09-05 08:24:31
4,魚山飯寬,力荐,重温星爷的功夫，猛觉得这是部无比伟大的电影！,2012-01-29 02:19:06
5,一夏秋凉,力荐,别装逼了，这片绝对值5星,2016-06-12 13:40:55
6,kingfish,力荐,"包租公,包租婆,斧头帮,冯小刚被砍,....都是经典.",2006-03-22 12:49:37
7,诸葛若见,力荐,哪怕里面冷眼嘲笑一切世间丑恶，依然保留一个温暖的希望。小人物逆袭，充满悲与喜，泪水几人知，初心却未变。十年之后再看功夫，无论是打斗场面，特效技术，还是笑点包袱，依然不过时，华语动作电影巅峰之作。,2015-01-16 12:35:11
8,鱼丸粗面,推荐,华丽的夸张，情节倒是紧凑，毫不拖沓,2006-07-17 11:33:37
9,离,推荐,电影院里他说，你笑得好开心。,2008-11-20 21:24:37
10,谋杀游戏机,推荐,在香港影史上应有特殊地位，拓展了武侠片的类型时空。草根无厘头，想象与反讽、结构与解构融为一体。数字技术创造的实景奇观,2012-11-20 23:24:11
11,同志亦凡人中文站,推荐,这是周星驰最后一次让我感到可爱...,2012-06-16 15:22:24
12,恶魔奶爸Sam,力荐,功夫最后结尾所有的角色都以路人出现并不表示这是小男孩的一个幻想，而是说曾经的江湖中人和武林高手，终于都走出恩怨瞅啥，过上了幸福美满的生活，比如神雕侠侣做了普通人，火云邪神指挥起了交通——最大的证据就是，死掉的角色都没有出现，说明故事是真的，不是幻想,2015-03-15 01:34:10
13,bobobolao,力荐,星爷21世纪最好的电影，甚至比之前的一些电影都好，我起码看过5遍我会乱说？那些经典台词都倒背如流了,2014-03-15 20:35:17
14,你在百花深处,推荐,黄圣依的哑女可真美，真纯，电影还是星爷一贯的小人物到大英雄，很经典，很有意义,2018-03-14 11:30:35
15,欢乐分裂,推荐,重看四星半，毕竟当年不识其中味；快银前身，阿Q后裔，大时代里的小人物，小世界里的大境界；每个华语导演都有一个武侠梦，每个男孩都有一个英雄梦，每个孩子都有一个甜蜜梦想；开场就高潮，武打段落章节分明，门派清楚，人外有人，仁者无敌；最爱星爷嬉笑之余的严肃，热闹之外的荒凉。,2015-01-15 15:24:16
