序号,评论者,评分,内容,时间
1,SH&^U&^N64,力荐,不努力工作会变成猪,2006-10-12 16:19:42
2,zing,力荐,"每次看这些神作的时候想到这是动画片这是一群牛人一笔一笔画出来的,就觉得漏看掉一帧都实在是对不起他们啊",2008-03-07 14:00:22
3,░▒▓██,力荐,曾发生过的事请不可能忘记 只不过是你想不起罢了,2009-11-25 16:42:47
4,Yolanda,力荐,十年后重看只想大哭，其实我们都明白这个结局。,2007-01-22 00:13:32
5,闲潭影,力荐,最好的宫崎骏，最好的久石让。,2009-12-19 22:57:35
6,影志,力荐,“有些事情是不可能忘记的，只是一时想不起来。” 忘了怎么打动我的了…好像不是打动，而是震撼。,2006-02-04 06:21:11
7,根,力荐,隔那么多年再看，还是会二话不说就爱上温柔的白龙，还是会被无脸男捧出的一把木牌打动，还是想坐在阁楼上边吃豆包边看电车从海上驶过，但是……再也说不出“想留在那样的世界再也不出来”的话了！愿幻想的世界里没有工作！ 话说千寻现在也28岁了啊，不知道有没有和白龙重逢，如果按好故事的标准，应该是没有吧？她大概已经变成了普通的上班族，每天搭末班电车回家，只是在路过每一条河流时，会想起少女时曾经爱过一条龙。,2019-06-21 23:32:07
8,老鸡｜扶立,力荐,莫贪吃！贪吃变成猪！,2008-01-10 16:32:20
9,唐喜乐,力荐,你忘了吗? 往下飞的时候眼泪是往上流的.,2007-04-08 14:39:09
10,bekey,力荐,欲望无限，就会让你失去自己，进而痛失所爱；在残酷的环境下，只有努力去适应并寻求改变，才能有突破的可能；成功路人，伯乐很重要，一定要记得感恩；奋斗途中，会有妖魔鬼怪，也有可爱温暖的无脸男和小白。节制欲望、不断进阶、知世故而不世故、做个善良有温度的人。千寻，你是最棒的！,2018-03-09 11:15:17
11,海心,推荐,有那么那么经典吗？还是我老了？,2008-12-22 22:28:54
12,米姐起飞,力荐,我与猪都认可的片儿。,2007-02-21 20:26:35
13,taki zhang,力荐,有一点模糊的小爱情...小白龙报恩，千寻想起了她自己及小情人儿的名字。帮客人洗澡，小煤球儿来回跑。这些经历给我多好玩儿，我一定不会变成大猪，不乱吃东西，给客人洗得干干净净。小白龙永远跟我好^^回到14岁：）,2008-01-07 10:48:34
14,隆咚锵,力荐,曾经发生过的事情是不可能忘记的，只是想不起来罢了……你会帮我想起自己是谁对吧,2009-11-27 09:51:15
15,听说,力荐,时隔多年再看，看到汤婆婆对千寻说”我的人手已经够多了！你这个无能的胆小鬼，我凭什么要给你工作！你要坚持的话，我就把最脏最累的活派给你！“……好像想起了phd申请...,2014-04-22 03:08:56
