序号,评论者,评分,内容,时间
1,Nakedself,力荐,再没有什么比一封吼叫信更叫人晕菜了！,2006-05-17 15:59:27
2,Kreuzberg,推荐,最最最欢乐的一刻是当邓布利多宣布取消考试、全部学生都高兴地拍掌的时候，赫敏幽怨地说了一句：No~。,2011-08-11 14:35:14
3,Sophie Z,力荐,邓布利多说：让我们成为哪种人的并不是我们的能力，而是我们的选择。,2010-11-24 16:46:46
4,约翰迈克莱恩,推荐,邓布利多那句：“让我们成为哪种人的并不是我们的能力，而是我们的选择。”重温发现这句话简直是哈利波特的点睛总结。,2019-03-10 19:37:29
5,熊✌🏻,力荐,那时候看电影才9块钱！,2012-03-24 13:28:58
6,同志亦凡人中文站,力荐,如果一直能由哥伦布导演，那哈迷该多幸福啊...,2012-07-20 19:54:41
7,张苑希,推荐,“让我们成为哪种人不是因为我们的能力，而是因为我们的选择”。即使是在魔法世界里，阶级、出身、血统的歧视差别也是无处不在的，不过作为儿童文学其中表达的情感基调还是很正面的。青年伏地魔甚是亮眼，主角三人团也很有爱。,2017-11-26 19:00:51
8,木由,力荐,重温有个好处，就是能发现很多从前没注意到的小细节。例如金妮见到哈利一声尖叫，例如弱鸡的罗恩二话不说掏出魔法棒攻击对赫敏出言不逊的马尔福，例如哭泣的桃金娘的回忆。坏处就是以现在的眼光看总觉得伏地魔输得憋屈，最后的决斗也打得像过家家。,2018-08-07 06:07:59
9,根,推荐,相比于小说中哈利很干净利落地干掉了大蛇，电影里这一场仗可干得很长。,2012-01-12 13:49:18
10,Chris,推荐,"""It is not our abilities that show what we truly are,it is our choices.""👍（ps：Dobby好可爱～😄）",2017-05-03 22:14:01
11,友邻广播,力荐,snape越看越可爱。这部好多梗哈哈。,2011-05-28 00:24:39
12,Alain,还行,年轻的伏地魔站在密室中间冷眼旁观已成为影史最尬战斗场面之一。,2016-02-26 23:57:47
13,汝就做吾的犬吧,推荐,我反而倒是觉得第二部要比第一部精彩，至少第二部一直在围绕着主线剧情讲，除了那个魁地奇以外也没有什么多余的剧情，不过这个系列的人物和事件的展开都过于简单单调了，一般一开始留有最明显嫌疑的假设到最后都会被推翻，搞笑角色也永远只是一些搞笑角色，鲜有另一面的感情折射,2011-08-02 23:44:46
14,不差楼的小学生,还行,3星半，比哈1加半星，我最不满意就是电影根本都没把要讲的事情讲清楚。如果时间不够的话，变身高尔那对胖子不知道有什么必要描述那么详细，完全是主次不分。金妮的事情根本就没有讲，完全是最后一句话交待，太无语了。,2012-05-19 00:22:02
15,熊阿姨,推荐,隔了20年重看这真是一部拍给小朋友的电影啊，每个场景都要表达到位，潜台词也要角色们念出来，各种悬念就是障眼法，人物也脸谱化，最后邓布利多安抚鼓舞孩子们的决定是今年期末取消考试……再想想当年看这个片子时，自己跟演员们一样大，看得如醉如痴，时间本身是魔法。,2022-01-02 19:49:09
