序号,评论者,评分,内容,时间
1,彩戏师,推荐,不管是书还是电影，火焰杯都是最好看的,2009-08-03 12:35:01
2,花花,力荐,其实与原著相差挺大，但是记忆里第一次窝在被窝里看到赫敏走下台阶的那刻惊艳永远不忘。凭着这个都愿意给5星,2018-05-19 22:42:55
3,Neroat,力荐,哈利波特系列最喜欢的一部，剧情最吸引人的一部。另外，克鲁姆很迷人。一如既往地爱着罗恩。,2014-11-17 09:38:33
4,Nakedself,力荐,英国人把冒傻气的哈四演绎成了绝妙的青春戏剧，三人组的吵架，亲密得让人不好意思起来。而我最喜欢纳威。,2006-05-17 15:59:44
5,和风莫吉托,推荐,感觉拍得最差的一部。初三在影院看完后你还找我借了书，记得不隔天上课时你捧着那本漂亮的绿皮书向后侧过身子指着描述穆迪假眼睛的那段对我笑得合不拢嘴。你让我多想亲你你知道不？,2011-03-15 23:46:15
6,遇见彩虹🌈,推荐,剧情忘记了。赫敏越来越漂亮了，然后那两位越来越。。。,2018-04-17 15:23:13
7,同志亦凡人中文站,还行,发型和服装交给演员自己乱搞的结果...,2012-07-20 19:52:58
8,tavico,力荐,目前为止这部最好看，不过可以想象书应该更精彩，尤其是斗龙那里,2009-07-26 16:11:05
9,信电影得永生,推荐,这一集真心不错，青春期对异性的朦胧感觉切入，男生女生之间微妙的心理变化。波特接受挑战，内心开始成长。伏地魔复活，黑暗来临。好戏刚刚开始。片子还是感觉长，但因比较细腻，所以没那么无聊，说实话比赛好没劲儿，还好又节省的部分，从第三个比赛才开始紧凑起来。三星半,2013-10-01 21:24:16
10,全都是风,推荐,每次看到第二轮比赛的时候哈利的珍宝是罗恩都笑翻了过去！,2014-06-11 23:01:25
11,金黄的悬铃木属,推荐,开头的学院出场让我好不适，女孩们“风骚”的出场，男孩们“阳刚”的出场。四人里芙蓉总是最先淘汰,2023-12-27 18:10:46
12,451½°F™,推荐,位于「哈利波特宇宙」中段的第四部也是从儿童轻喜剧冒险类转向青年成长阵痛向的关键点，伏地魔回归 / 哈利波特首次面对关键角色死亡，都是下阶段的伏笔和引线，英国演员群贡献了惊人的龙套群——从大卫田纳西到青葱时代的帕丁森。,2007-12-16 18:24:42
13,木由,推荐,"小的时候看伏地魔重生被吓到咬（表姐的）手，现在看只觉得伏地魔超萌的。活过来就一直没鼻子傻笑，坚持正面单挑。结果傻了吧，人家能场外求助。倒是哈利抱塞德里克.迪戈里尸体回来死不撒手地恸哭，迪戈里爸爸茫然地喊着“That’s my son, that’s my boy”骗了我好多眼泪。",2018-08-10 22:43:52
14,齐木楠雄,力荐,最喜欢这一集的魁地奇大赛,2016-10-21 15:27:11
15,鱼丸粗面,还行,150分钟的片子还是感觉太仓促。一些场景、道具比想象中的要简陋。,2006-07-19 15:06:38
