序号,评论者,评分,内容,时间
1,流空破刃,推荐,比前两作进步多了，hp系列电影第一次走出了平铺直叙。并且居然还有了点儿dark的风格。,2011-08-02 21:12:13
2,劳永逸,推荐,换了个导演，电影的细节比前两部更经得起推敲，三人的感情纠葛已初见端倪，同样初见端倪的还有赫敏的胸~~~话说，卢平教授的第一节黑魔法课相当有趣啊~~~,2011-06-24 23:05:38
3,sukida,力荐,整套哈利波特。我最爱这一部。最爱的场景是。哈利對赫敏說。你知道嗎。小天狼星剛才給我說叫我搬去和他一起住。這樣我就不用和德克思一家住了。或許我們可以住到鄉下去。那種可以看見天空的地方。我想他在經歷這麼多后會喜歡鄉下的。後來看到小天狼星死的時候。我特別的覺得絕望。 很多的時候我們覺得鄧布利多是最保護哈利。......,2009-06-26 11:21:29
4,大宸,推荐,好导演出好片...,2006-07-18 14:57:45
5,tavico,推荐,能感觉导演想拍出不一样的Harry Potter,2009-07-25 21:52:32
6,同志亦凡人中文站,力荐,把原著和电影对照了一遍，感觉这部才算叫作真正的原创改编：节奏感和悬疑氛围不徐不疾，小节上处处精雕细琢。卢平最后那句“mischeif managed”比原著更回味无穷，足见阿方索暗黑大师的功力。相比之下后面的五部简直只能用鸡肋来形容！,2012-07-11 21:21:40
7,蓓蕾,推荐,这一部比前两部好看,2010-08-05 00:04:08
8,沉歌,力荐,小天狼星殿下啊啊！《哈》里唯一一部改编得比原著小说还精彩的。,2008-01-04 17:55:26
9,baobaodu,无评分,best of HP movies,2008-07-04 17:05:55
10,A-sun*,推荐,节奏总算快了一点了...早该换导演了,2011-06-20 03:16:06
11,阿迷大人,力荐,斯内普——全校唯一会用PPT上课的教授,2021-10-01 20:08:49
12,木西muxi,推荐,哪头森林里跑出来得发光得鹿！,2011-05-03 11:36:41
13,V,力荐,阿方索·卡隆把黑暗紧张，幽默风趣，还有机智巧妙的构思完美地融合在这一部电影中，让人意犹未尽。,2010-11-22 19:23:14
14,Bill,力荐,原本的故事在精彩程度上或许不如前两部 但却是最富有内涵的 一定程度上抛开了过于浓重的儿童读物气息 电影也是系列中最为优秀的 换了导演之后风格上的突破很大 特别是开头的设置 服装设计也越来越对味了 导演还执导了Children of Men 很能在影片中表达自己的思想,2007-08-13 00:01:31
15,根,推荐,这一场戏没有敌人。,2012-01-12 13:50:21
