序号,评论者,评分,内容,时间
1,一粒煞白,力荐,目前为止觉得哈尔是宫崎骏作品里最帅的男角,2010-05-30 20:39:40
2,2ya,力荐,看了这个电影就想要一个家。擦地板，在阳光下面放上铺着干净桌布的餐桌，还有照顾小火苗，就如同守护爱人的心一般。,2006-01-18 12:01:31
3,伍德与夏洛蒂,力荐,虽然它确实不如宫崎骏的很多作品，也不是最受欢迎的，但却是我最爱。每次响起俩人初遇时在屋顶跳跃的那段音乐，都觉得莫名的悲伤。也正是因为这种感觉，它才是最爱。,2011-03-16 20:55:33
4,A L E X,力荐,染发剂事件之后，形象崩塌暴露屁孩本质萌到吐血！哈尔一定是宫崎骏作品最帅男主了，配音还是木 村 拓 哉，简直不给活路,2017-01-01 22:38:17
5,littletwo,力荐,你的头发染上了星光的颜色…… 爱的颜色……,2007-11-09 22:56:14
6,小耳朵图吗,推荐,宫崎骏的片子里。老奶奶都很丑。但都是好老奶奶。,2007-08-17 19:11:24
7,笒庐闲话Asuraa,力荐,爱，就是替爱人找回自己的心。,2009-07-30 15:46:22
8,王老虎,力荐,宫老唯一采用的美男主~~千年一见,2008-06-19 20:08:55
9,肖恩恩恩恩肖,力荐,因为有爱的能力和欲望，我们才年轻。如果太自卑与屈服现实，会像苏菲一样瞬间苍老。,2016-06-11 01:08:01
10,同志亦凡人中文站,推荐,人不漂亮活着还有什么意思...哈哈哈哈太可爱了哈尔...,2012-04-25 20:17:50
11,海心,力荐,爱给了苏菲勇气，哈尔爱苏菲的勇气。,2008-11-21 22:08:29
12,根,力荐,木村拓哉的声音真是亚萨西啊……,2012-07-18 21:50:33
13,大鲤鱼（丹AI）,力荐,这是一个关于爱与拯救的故事，从最初喜欢你超高的颜值、酷炫的技能、王子一般的出场，到最后爱你内心孤独又傲娇、脆弱又勇敢、蠢萌又理想主义的小男孩。爱就是逐渐靠近、了解、懂得，接纳你真实的样子，依然不离不弃。,2016-05-30 21:36:30
14,寂地,力荐,"比起宫爷爷以前的电影,这电影的主题更轻松.但是依然有一如既往的温暖.另外,哈尔那种小屁孩的性格实在太可爱了!",2006-01-01 17:57:35
15,Gabriel,力荐,其实诅咒不是衰老，而是容貌会随着心理年龄而不断变化。所以当她不敢去对抗既定命运时，当她爱上了哈尔却很自卑时她就是满脸皱纹的老妇，可当她在王宫里神采飞扬的为哈尔争辩当她牵着哈尔的手走在秘密花园，她又一点一点变回了少女。而哈尔也有对应的两面性，他是温柔俊美能保护自己心爱女子的完美情人，也是因为头发变色而大发脾气说着不漂亮还活着干嘛的幼稚小孩。 所以，他既是苏菲的儿子又是苏菲的情人。 苏菲没法直面自己的内心，哈尔也一直在逃避，他用移动的城堡来躲避战乱和国王的征召。后来他们相遇，苏菲告诉哈尔他们可以一起承担，她为他去了王宫。哈尔在敌军空袭时对苏菲说不能再逃了，他已经有了要守护的人。 从来好的感情都是为了彼此成为了更好的自己。 看这部电影的过程温柔平静，人性的美好和纯真无处不在，看完整个人都很温暖。,2021-12-05 22:40:32
