序号,评论者,评分,内容,时间
1,大宸,推荐,我养你啊！,2006-07-18 14:18:42
2,Q。,推荐,以前看的时候，电影里真正隐含的意思我都不懂，但当我慢慢长大，经历的东西越来越多的时候，再回顾这些，我能领悟到星爷电影里人生的真谛，同理也可以套用在《大话西游》。ps，每次看到那句“我养你啊！”都会毫无疑问的飙泪。★★★★☆,2010-06-03 17:01:20
3,进宝,无评分,“哇你怎么穿成这样啊？你不是演主角吗？不管你是主角也好，跑龙套的也好你都要养我一辈子的啊！呐，试试，看合适不合适？哇红色的，唇膏印啊，你去鬼混啊！呐，这次我放你一条生路啊，再有下次，我不给你饭吃。走，走啊。看什么看？不服气呀？打我呀，笨蛋！ ”,2013-05-23 00:19:57
4,暖鱼,还行,失望！太想真诚，倒显得做作了,2006-05-01 02:27:50
5,望仔放弃减肥了,力荐,我最讨厌别人不擦润唇膏了！每次看到嘴上干裂起皮都忍不住想要亲上去！所以你要多擦一点润唇膏啊！你到底要不要我给你擦润唇膏！——好喜欢这一段，那时的张柏芝漂亮的无法用笔墨形容，脚趾甲上涂着五彩的颜色，小巧的下巴和明亮的眼，根本就是个小妖孽。【MD电影短评怎么字数限制这么短！】,2011-05-31 21:59:48
6,胡子,推荐,“去哪里啊？”“回家。”“然后呢？”“上班咯。”“不上班行不行？”“不上班你养我？”“嗨！”“又怎么了？”...“我养你啊。”“你先照顾好你自己吧，傻瓜。”接着张柏芝在计程车上哭成泪人，这一段真是演得太好太好了。,2014-05-22 13:34:56
7,老鸡｜扶立,力荐,周星星电影中最喜欢的一部,2008-01-10 16:52:45
8,冉_S2,力荐,那时候的她无论多少流言蜚语都无所谓,2011-01-12 19:56:39
9,大头绿豆,力荐,星爷最好的三部电影之一。,2005-09-04 11:41:53
10,missfaye,力荐,“我是一个演员”，我最爱的周星驰作品，笑得流泪,2005-12-13 23:06:02
11,♣lùlu♣,推荐,我不是真的要你有钱才能养我，我只需要你为了我放弃声名的勇气,2009-09-08 23:14:41
12,余莽,力荐,这电影我真是看一次哭一次；柳飘飘织着毛衣等尹天仇回来那场戏，小人物的爱卑微到连确认都不敢，只好扯着嗓门吵吵嚷嚷，害怕下一句他就会说：“我不要你了。”幸好尹天仇说的是“柳飘飘，我爱你。”,2021-12-22 04:33:42
13,明珠一颗孙小美,推荐,你负责美丽妖艳，我负责努力赚钱,2008-09-11 23:30:16
14,无所谓则无所畏,推荐,我养你啊,2009-05-17 19:53:44
15,朝暮雪,推荐,聚焦小人物的高光时刻，一个是龙套，一个是小姐，虽然身份卑微仍然怀揣着梦想。 然而有梦想是一回事，能否实现梦想又是另一回事。 尹天仇和柳飘飘心向着九重云霄，却又总是被现实的引力拉回地面，摔个遍体鳞伤，但是仍然不忘初心、童心未泯，因为“天亮了就会很美”。 我爱你并非你做了男主角，你做龙套也要养我； 我不会飞黄腾达了就离你而去，即便回到原点也要和你一起上路。 成龙客串最惊喜，夜总会和宴会的交叉剪辑最虐心，“我养你啊”最感人。没有鸡汤和套路，只有真实和走心。酸甜苦辣，喜怒哀乐，不仅是《喜剧之王》，更是生活的真实写照。,2012-08-18 01:45:24
