序号,评论者,评分,内容,时间
1,ryanking1219,推荐,这片在20年前是多么得前卫出格阿！！,2012-11-23 22:07:48
2,小M,推荐,爸爸肯定也是gay的嘛，多明显啊~Simon是多么理想化的同性伴侣啊！金素梅太像叶童了~我喜欢李安这个系列的电影，很回味~还有赵文瑄实在是太帅了！噢，薛绍~,2009-12-23 17:06:22
3,影志,力荐,“妈，同性恋的人能够在各方面合得来凑合在一起生活，非常不容易。所以我跟赛门都很珍惜对方。” 李安总能在边缘和传统之间找到恰到好处的平衡点，然后双双将我们击溃。,2005-11-09 04:58:09
4,三坨土,推荐,伟同的父亲那句“我不让他们骗我，我怎么抱得了孙子”让我觉得非常可怕。这里面有一套我们日常生活中常见的父辈哲学：只要子女表现得让我满意，我不在意真正的他们是什么样。,2022-02-04 03:33:38
5,ᥫ᭡້໌,推荐,我现在挺同志，不是为了别人，是为了自己不成为同妻。,2017-02-14 14:16:38
6,劳永逸,力荐,父亲在片尾过安检的时候最终还是举起了双手。,2011-06-09 20:31:58
7,艾小柯,推荐,作为导演，李安在《喜宴》中的表现还略嫌稚嫩，电影中粗糙的细节比比皆是，远不及《卧虎藏龙》之后的精雕细琢；但从内容与情节上来说，这部我感觉却是李安最精品的几部电影之一：放了很多心血心思上去啊，对文化差异的刻画准确犀利而生动活泼。这部电影李安作为编剧比作为导演更成功。,2007-10-13 16:59:58
8,米粒,力荐,李安那句酱油台词太霸道了，大家都没捅破的窗户纸就这样被他。。。可能是编剧有外国人的缘故，台词有点心灵鸡汤啊，不过一切都很完美，喜欢归亚蕾的表演，赵文瑄也确实巨小受哈哈哈。爸爸才是终极boss，不要小看爸爸！懂外语就是王道啊~~~感人的好片,2011-09-09 12:51:53
9,小V,力荐,看到房间号1069我的玻璃心碎了一地...,2012-11-24 01:06:28
10,放开那个浪味仙,力荐,李安总是善于在西方的文化背景下表现中国文化的细枝末节。被放大致喜剧形式所表现的那场中国婚宴，反讽了中国文化中对于性的压抑…而中国最传统的家庭、家族理念，也在这一场假结婚的风波中进一步深化。隐忍的情感，家庭中的冲突，最终在爱与理解中得到化解。接受了一切向前走，这终是一场喜宴。,2011-10-21 16:38:23
11,玛奇朵,推荐,所以说，结婚的时候一定要搞清楚伴郎和新郎的关系。微虐慎入。,2012-11-23 21:17:33
12,黄青蕉,力荐,李安自己在里面演路人甲划重点敲可爱！“让你们见识一下中国人五千年的性压抑”哈哈哈哈哈哈,2016-06-10 00:07:21
13,Connie,力荐,赵文瑄处女作这个程度，让人惊叹,2006-01-18 22:02:21
14,Ruby迁徙全宇宙,无评分,传统的闹洞房太可怕了,2012-11-23 22:09:28
15,打蚊子的科学家,力荐,能把直男变弯，弯男变直的好片子。。。,2012-11-23 20:51:37
