序号,评论者,评分,内容,时间
1,蒲末释,力荐,人生好孤独啊，我们作为朋友，你却一点不了解我；我们作为爱人，你却要杀掉我；我们作为亲人，你却要欺骗我。就让我做一个追逐海浪的人好了，没有故乡，在世界上仅剩的一张摇篮上，抱着你的遗像，用沉默祝福你，用愤怒度化你，用夏天的雨纪念你。,2018-02-05 21:44:17
2,水原吸管,推荐,「雖然現在已經是太空時代了，人類可以搭乘太空船到達月球，但卻沒辦法看穿每個人心裡的宇宙。」,2017-10-14 16:37:46
3,亚比煞,力荐,你永远不会知道他人的皮囊之下，到底藏着什么样的秘密。就像你不会知道，万人朝拜的菩萨肚子里有一具死尸，也不会知道一个收垃圾的大叔，屋子里摆满了洋娃娃。,2018-04-06 09:47:44
4,大島,力荐,"那时我们还太年轻,不知道上帝已经在暗地里给每个人都准备好了最后一顿饭。",2018-03-06 21:47:37
5,根,推荐,看到“我要你干我”的时候家里人推门而入，真的百口莫辩,2018-02-16 21:05:09
6,西楼尘,还行,你知不知道有一种说法，说人白天诵经文，晚上会梦鬼神，因为在消业障。为了图安眠，有人躲进满是娃娃的太空舱，有人躺在浪涛声声的吊床上。有人掉光了发，有人被鬼神扰。人生希微得说不出一句话，命运憋闷得出不了一口气，谁不是躲在大佛腹中诵经的人？后来有个人替我诵，说噩梦他来做，而功德都赠我。,2018-04-03 23:50:45
7,裘笛,力荐,這不完全是黑白片唷。因為有錢人的世界是彩色的。以黑色幽默包裹的社會寫實劇，很貼近台灣社會。導演黃信堯後設的口白，不僅是趣味，也巧妙中和了故事裡那種幾乎沒有出口的黑暗抑鬱。社會階級分化，貧富差距，宗教政經的金玉其外敗絮其中，諷刺的超到位。拍了一個很棒的結局,2017-10-15 22:25:57
8,陈哈,力荐,有佛无慈悲，有性无爱，有法律无公正，有警察无正义，满满的绝望。“当然有困难...对他们来讲，无论是出太阳还是下雨，都会有困难，但他们没办法去想生命的困难...社会常常在讲要公平正义，但在他们的生活之中，应该是没有这四个字，毕竟光是要捧饭碗就没力了...”,2018-02-16 17:01:25
9,同志亦凡人中文站,推荐,有点茶馆听说书的感觉。市井乡氓的卑贱生活，乱象丛生的台湾社会，咿咿呀呀的旁白带来拍案惊奇的效果。在低俗猥琐中接地气，在黑色荒谬中怜悯，人生已是烂泥打滚，揣着一颗佛心才能普度——对小人物来说，平安是福...,2018-02-16 09:12:43
10,柯里昂,力荐,干！这片要是放在春节档我会刷十遍，比99.9%的贺岁片都有趣，但，片刻的有趣过后却是莫名的感伤和悲凉，俏皮的台词不止是博观者噗嗤一笑，更是导演和角色的自我解嘲，导演的旁白同时达到了调侃、补充和间离的多重效果。看似天马行空实则举重若轻，耍纪录片的导演拍的悲喜剧，轻盈的实在不像处女作。,2018-02-14 23:36:13
11,影志,力荐,“我们已经可以依靠科技进入外太空，却依然无法走进一个人内心的宇宙。” 忍俊不禁的小幽默，互相打趣的小人物，上演着一出出悲伤的人间喜剧。富人的世界永远是彩色的…,2018-02-05 22:57:40
12,丁一,推荐,树顶仔一只虎头蜂， 莲雾开花满树红， 电影色彩阶级学， 有钱人的世界是彩色的， 三餐海产呷鱼块， 假发一天不戴不安心， 闽南三尺有神灵， 大佛肚中众生相， 一口一个阿弥陀佛， 一口一个干你娘， 念念不忘， 必有回响～,2018-02-20 21:05:29
13,凹凸,力荐,放在华语片大年依然是一骑绝尘的好 诙谐过后透着悲悯 前50分钟是小聪明 后50分钟是大智慧,2018-02-10 16:55:27
14,PsYBriT,力荐,之前还纳闷为什么没有删节版，因为这玩意儿根本没法剪，从头黑到尾，和社会主义价值观格格不入......却是台湾乃至整个华语电影圈近年来最出色的作品之一，底层灰暗失语，政商荒淫无度，心中怀着Budda，身上趴着puta，肚财留下一个苍白身形，释迦留下一句无趣台词，结尾的大佛异响绕梁不去 ps 林生祥的配乐虽然已经非常般配，但我还是想让五条人再来配一版哈哈,2022-01-18 17:06:41
15,南極貓頭鷹,力荐,电影的魅力也许就是看了一个月的新闻联播，也没有缓过来。 活到这岁数世间的道理也没懂多少，可肚财真的买不起足够喝醉的酒啊,2021-05-12 19:50:04
