序号,评论者,评分,内容,时间
1,momo,还行,不太喜欢这种单纯描述一个人怎样被“封建礼教”玩坏的过程的电影，主题一开始就很明显，过程也比较平淡没啥惊喜，除去牛逼的电影拍摄手法，牛逼的配色，牛逼的演员之外，这种电影拍的意义是啥？,2016-07-28 12:46:14
2,战国客,推荐,那个从未露面的老爷真是设计巧妙~~,2008-03-02 22:17:09
3,胡克,推荐,这片之后让我对总是满脸笑意过分热情的各种阿姨十分抵触,2007-04-14 10:47:50
4,松如,还行,爱何赛飞,2008-02-15 11:22:38
5,Ragdoll™,推荐,大太太甘于沉寂二太太活得太累三太太通透了了仍是戏散曲终空繁华一场四太太清高拿劲儿迫从流俗不知道自己想要什么想要了又止于落目该出招时不出招不该出招瞎得瑟害人害己纠结矛盾不知惜命疯有可缘 雁儿最可怜 心比墙头瓦高命比灯笼纸薄 败在倔强毁在看不开 深宅大院未必封建云云 不过缩影尘世冷暖罢了,2010-12-14 11:37:16
6,露水十一,力荐,以前的娱乐活动还是少，才有了大红灯笼的悲剧。换这会一个太太给台电脑上个网。谁管你老爷来不来啊,2011-08-09 18:08:20
7,bird,力荐,张艺谋没给最大的爷一个正脸镜头，这才是谋子最棒的片。,2014-05-16 23:14:25
8,彌張,力荐,太爱那悲凉的气氛了。尤其是清晨三太太在屋顶唱戏，美到极致了！,2009-06-08 11:15:21
9,shininglove,力荐,大雪纷飞没古城，深墙大院要掌灯。三妻四妾死人井，疑是红颜殒葬声。,2015-07-26 02:37:10
10,洗头油|盖盖儿,力荐,以前说“有人管是一种福气。”估计现在说“有人日也是一种福气。”应该没有人不答应。院里的人所有的高潮都被两个字——锤脚所隐喻了。个人认为这是张艺谋艺术成就最高的一步，无论是从画面、配色、故事构架上来讲都堪为经典！挂灯笼的那个镜头好侯孝贤，后来发现监制就是侯总的哇~,2009-09-13 16:26:17
11,SASKIA,推荐,小時候，你看電影，只是看，很多電影，你長大后，應該再看一次。,2012-08-26 02:07:52
12,Ocap,力荐,私以为这就是一部真正的中国恐怖片，“封建”二字即其心脏。前三分之二尚有扭捏，不料最后开挂，完美的镜头调度与变味的京剧乐里应外合，把一切推向真相解放与心理失控的双重高潮，就此羽化登仙。这是我第一次感受到张艺谋超脱国师之名、作为世界级导演的疯狂。比《活着》牛逼，不出意外是他巅峰之作。,2017-03-07 23:38:13
13,同志亦凡人中文站,推荐,工整对称的画面美学，本身即像封建宗法所谓的规矩。 符号隐喻多得不寒而栗。国师那时的叙事真是简洁啊，好多内容直接就用红灯笼和梆子声交代了。,2014-05-26 16:13:19
14,Dolores,力荐,张艺谋颜色运用的巅峰之作。,2008-08-06 17:53:54
15,Octopus,还行,符号化太重，颂莲的洋学生背景居然半点冲突的涟漪都没掀起，异化得太顺当了。,2018-03-17 10:41:23
