序号,评论者,评分,内容,时间
1,UrthónaD'Mors,推荐,逢年过节必放必看的经典 我记得片子里最后一句台词是：“你看那个人，好奇怪哟，象一条狗。” 多少的唏嘘感慨啊,2011-09-29 12:40:02
2,Lan~die,力荐,对我们这代人影响最大的电影。寓言故事已然存在，不可避免。世界是巨大的枷锁，你不得不重复自己或是别人的生活。 台词：你看那个人的背影好奇怪，他好像条狗啊。,2006-10-07 10:48:43
3,张苑希,推荐,虽然至尊宝的命定之爱是紫霞，可是最初遇到的是晶晶啊，穿越时空寻找你却只替他人做了嫁衣。“我找到了一个很像你的人”。,2016-11-10 00:37:01
4,南笙,推荐,如果一个妖有人性呢，他就是人妖。,2012-06-22 14:29:04
5,罗弘霉素,力荐,一遍烂，两遍笑，三遍哭。盘丝大仙给了三颗痣，斧头帮主翻过照妖镜，看着镜中的猴子，此处的配乐足够震撼,2010-07-26 18:35:55
6,托尼·王大拿,力荐,这才叫旷古烁今。,2009-07-31 03:19:50
7,不错我就是神,推荐,哈哈，星爷的经典该怎么评呢？小时候看不太懂，长大了才看懂还看过好多遍，星爷的喜剧电影是唯一可以让我看3遍以上的电影。,2018-01-11 22:53:50
8,momo,力荐,那年的蓝洁瑛怎么那么好看 好看到我眼里完全没有莫女神。 18.11.03更新 今天瑛姑过世了，这一辈子太苦，但愿天堂里有属于你的月光宝盒。,2016-07-26 16:32:41
9,宋阿慕,力荐,大话西游是一代人心中的经典.,2008-02-26 17:56:10
10,冰红深蓝,推荐,虽然很不喜欢这种恶搞西游记题材的荒诞喜剧，但确实拍得好。最有感觉的是反复穿越那一段：“为什么要说又呢？”。（8.0/10）,2015-11-25 23:09:10
11,尼桑，都是尼桑的错,无评分,当他奔赴一切穿越时空去拯救自己的爱人~~原来只是为了与另一个人的遇见~~,2008-09-27 21:12:29
12,欣欣向荣,推荐,虽然没有在电影院看过，但是电影频道经常播，很好看，故事很有趣，紫霞仙子这么漂亮。,2018-03-09 07:30:41
13,欢乐分裂,推荐,#重看#大银幕了夙愿，看了那么多次开头都没看到结局，前面三分之一看过不下廿遍，当年美艳绝伦的春三十娘几乎是我对西游的最深印象，想不到心气极高的她日后竟甘作寻常妇；爱和恨一样强烈，500年后仍要追问你究竟爱不爱我，仍要为那段孽缘自戕；爱情中必有配角，但那一切都是我甘心的。,2014-10-27 21:22:12
14,Wendy Zhu,力荐,终于完整看了一遍……所以至尊宝爱的是白晶晶，白晶晶爱的是孙悟空，孙悟空爱的是紫霞仙子，紫霞仙子爱的是至尊宝……,2016-02-09 23:05:24
15,游牧人,推荐,#电影院# 傻瓜才会辛辛苦苦地去取西经，我只想永远做个快乐的山贼。,2010-10-06 23:15:22
