序号,评论者,评分,内容,时间
1,Over5,力荐,堪比业界史上的两弹一星，这个猴子是我们国产动画片的骄傲，但到了今天依然得指望着它说事儿～,2007-03-17 18:46:20
2,有病的乃提乃,力荐,50年过去了，中国动画不进反退，还有比这更可悲的事么。技术上止步不前，创意上才思枯竭。一群羊和两只狼的故事都被反复翻炒出N部，悲矣；当年号称十年巨制制出一部宝莲灯，贻笑大方矣。现在小孩的物质条件比我们好了n倍，但是我仍然觉得当年的我们是幸福的，因为有这么多优秀的动画片陪伴成长。,2011-04-24 03:57:26
3,把噗,无评分,经典,2011-08-31 20:17:45
4,战国客,推荐,向中国早期的动画制作人员致敬！,2009-04-23 18:15:42
5,巴喆,力荐,1961年，中国大陆，全手工，此片原画历时4年，10分钟的动画镜头要画7000到1万张原画。文革时期此片被批斗为牛鬼蛇神，是流氓无赖的化身。当时运动每天都在升级，全国的“猴子戏”都被禁演了，万籁鸣也被关起来了。日本“漫画之神”，动画漫画始祖手冢治虫本人承认正是看了万氏兄弟的《铁扇公主》，他才弃医从事动漫事业，才有了后来的《阿童木》。中国的动画曾经领先亚洲，我绝对没夸张。9.5,2012-10-17 10:55:56
6,Odding,力荐,这个无须评论。,2006-03-26 14:03:45
7,老阿飞—故园,力荐,中国动画=大闹天空，虽然对很多动画来说这样很不公平，但是，你能找出其他这么有代表性的佳作？,2006-01-08 17:21:11
8,汪金卫,推荐,要看就看影迷修复版，那是最好的版本。比官方的所谓40周年纪念版都好。玉帝的下巴上非常明显的有颗痣我会到处乱说吗？,2012-01-18 18:20:57
9,IlTrovatore,力荐,中国动画难以逾越的一部,2010-02-09 16:34:34
10,17950,力荐,真纯粹的中国动画,2006-10-15 14:14:05
11,蓝下老婆,推荐,永远的经典,2017-04-04 21:33:20
12,同志亦凡人中文站,力荐,反抗，反抗，再反抗,2012-12-14 22:12:19
13,油漆匠,力荐,没有阉割的猴子,2008-07-23 23:15:18
14,私享史,力荐,【武大】从造型设计到人物动作，从脚本到到音乐，每一个镜头拿到现在仍然足以与世界好的动画相比而毫不逊色，这个腰间束着虎皮裙，手舞金箍棒，神采奕奕，勇猛矫健的猴王成人们心目中永远的孙悟空形象。,2005-10-31 16:34:35
15,寒枝雀静,推荐,B / 文本内含复杂性，但是叙述的语调缺乏复杂性。几乎是将孙悟空当做一个完全的超级英雄来描绘，且大多只是通过表层的“行动”来描绘，而情绪什么的几乎是不存在的。至于孙悟空为什么总是表面不屑但却内心艳羡天庭，为什么会对“正名”有如此执拗的追求，为什么一个野性难驯的孙悟空还要嫌天庭“暗箭伤人”，都基本没有更深层更隐约的指向。当然，这大概就是截取一段拍出来的劣势所在，毕竟“西游”就是一个孙悟空不断下沉的过程。流光溢彩到最后都有点审美疲劳。,2019-07-20 17:31:26
