序号,评论者,评分,内容,时间
1,Lan~die,力荐,小王子说：“因为有一朵我们看不到的花儿，星星才显得如此美丽。沙漠之所以美丽，是因为沙漠的某处藏着一口井。” 波顿说：“他说故事，因为他无法忍受这无趣的地方。”这片子是献给在现实世界中迷失、畏首畏尾、丢失了童年时代欢愉梦想的人，那条游向远方的大鱼是我们对美的向往。,2007-02-10 09:21:11
2,争争Janice,力荐,父亲和母亲在浴缸里静静地抱在一起，父亲走后有很多朋友为他送行，这是最让我动容的两幕。此刻，我也知道了生命对我最重要的是什么了。,2010-11-14 14:07:06
3,早日退休瑾朵朵,推荐,孪生姐妹不是连体，巨人没有那么高，他妈妈在葬礼上穿的是大红的外套,2011-04-24 18:09:29
4,浅浅,推荐,在这世界上，只有在你所爱的人之外，才需要辨别所谓真假。生活中的事，有种种说法。所谓真相，可能是最令人乏味最让人难以接受的。而在生活外表涂上彩虹颜色的人，他们值得尊重和信赖，因为他们的爱。,2006-08-14 12:35:49
5,简里里,推荐,“知道自己会怎么死，便不担心了。因为你知道这世界上其他任何事情都杀不死你”。,2013-02-07 23:07:02
6,UglyBerry,无评分,人生已经如此的艰难 有些故事就不要拆穿,2010-02-17 10:35:57
7,海心,推荐,我怎么没有感动？因为我没有父亲。,2008-08-16 11:46:48
8,文泽尔,力荐,哥特和亲情的融合..每个人心中都有一条大鱼，抱着梦想而活是最幸福的，怀抱梦想而死去的人是不朽的。 到了最后，真相已不重要，眼泪也淌下来了...其实他们都是真的，故事的虚化以外，所有的人们都是真实的.,2008-04-09 17:13:46
9,一湄,力荐,表面在过的人生，和在内心世界奔涌的人生，本来就是并行和交叉的。这个世界不仅仅是我们看得到的世界，它更真实地存在于地表之下，头顶之上。最后他变成大鱼游走了，我都看哭了。,2011-05-26 08:19:09
10,赫恩曼尼,力荐,靠编造故事度过平凡的一生的父亲，却在临终前依旧对自己在女巫的玻璃眼球中看见的河流耿耿于怀。他的儿子替他圆了这个“谎”，给了让父亲欣慰的答案。而父亲死后，他也成为他故事里的传奇。生命力极强的故事，天马行空的情节，最终却归于对平凡生活的抵抗。催泪。,2015-12-12 21:55:44
11,Futurismus,力荐,"出乎意料的感动。超五星。正如小波所说：“我呀，坚信每一个人看到的世界都不该是眼前的世界。眼前的世界无非是些吃喝拉撒睡，难道这就够了吗？”这不够，这远远不够。一个人只拥有此生此世是不够的,他还应该拥有诗意的世界、奇幻的世界、童话的世界、他自己的世界。",2014-08-29 01:04:37
12,浮生若梦,力荐,永远不要小看别人的故事,2006-10-15 20:50:28
13,病気君,推荐,这个叫蒂姆·波顿的人，身体里住着大鱼爸爸(Big Fish)、剪刀手爱德华(Edward Scissorhand)、威利·旺卡(Willy Wonka)和疯帽子先生们的灵魂。,2011-07-05 16:44:54
14,大头绿豆,力荐,你会因此想念父亲,2005-09-11 13:49:54
15,Doublebitch,还行,似幻似真，此时没有真实或者不真实，只有你愿不愿意相信。,2007-12-24 17:50:35
