序号,评论者,评分,内容,时间
1,Crazy Henry,力荐,令人奇怪的是，在当年那个人们思想观念比较禁锢的时代里，上美能创造出如此多卓越的作品，而在“自由”的今天，我们却很难再创造出如此富有民族特色的作品。或许这是市场经济的影响，但是我认为，更重要的原因还是因为我们丢了一些重要的东西,2021-07-13 00:14:09
2,同志亦凡人中文站,推荐,东方普罗米修斯,2016-08-02 03:10:37
3,修复的薄码.AVI,无评分,最漂亮的小狐狸,2006-03-27 16:45:52
4,润物,力荐,这是中国动画中的又一部里程碑似的、绝对顶级的、足以彪炳史册的伟大作品，从故事情节的编排到人物造型与性格的设计再到动画技术的运用都堪称无以伦比，它虽然没有《大闹天宫》《哪吒闹海》在国际上那么知名，但我相信不少人还是会在自己心中将其列为中国动画的第一，因为《天书奇谭》绝对有这个实力。,2010-07-23 02:45:37
5,离香,力荐,可以打10星,2009-09-22 13:24:58
6,Ex,推荐,"看了很多遍.喜欢.那个年轻的女狐狸精真美,声音也动人.",2006-07-29 06:54:45
7,CarenYin,力荐,“你是蛋生的，所以叫蛋生~” 蛋生的师傅好帅啊~~~~~~~~,2009-04-14 14:26:03
8,kill queen🇺🇦,力荐,我欣赏里面对于权威的嘲弄，从玉帝到皇帝，都是王八蛋。,2021-10-26 18:05:13
9,Kaito,力荐,中国的普罗米修斯盗取天书之后。211106，这次影院4k幕后有十几分钟花絮，原来这个本来是和BBC的合作，但BBC后来说最近穷，没给钱哈哈哈,2017-03-13 21:07:59
10,陆钓雪de飘飘,推荐,刚看的。天书中性论，既能用作好事也能用作坏事，袁公秉承现代普罗米修斯观，认为还是要传给人类，但这也可能是玛丽·雪莱的弗兰肯斯坦式结局，蛋生过于天真的禀赋使他无法独自克服三位狐狸精的诡计和暴力，而袁公在被抓上天庭后，将不再存在机械降神，也就是说，蛋生将面临存在主义之后的荒诞处境，等待戈多不再归来，而他心头词典里的天书将如何传给后人却不遭恶用，这将是永远无法解决的难题。当然，如果我小时候看的话就不会说这堆东西了~,2018-08-27 11:08:25
11,christann,力荐,这里出现了历史上最猥琐的玉帝形象……,2011-04-05 16:40:34
12,零用钱的凌,力荐,虐片。师父死的时候老子哭得肝肠寸断,2011-02-19 14:34:22
13,обломов,力荐,不知道大家都记住了什么，我记住了，所谓天庭，高高在上，不管人间疾苦，所谓朝廷，愚昧自私，追求无度的欲望，所谓人类，让妖物登堂入室，指手画脚。只有袁公，不顾上级命令和自身安危，把知识和希望留给了孩子,2021-10-14 11:33:50
14,sHIRO🩶,力荐,粉强大的声优阵容啊～,2006-04-12 20:12:23
15,我来我征服,力荐,开场配乐一出我激动得几乎当场决定要二刷。对于80后来说，这是真真正正的“爷青回”。动画设计十分精妙，看得很感慨。然而，有个巨大的槽点我真是不吐不快：蛋生全程每一声“师父”字幕打出的都是“师傅”，真是太不应该了。小和尚叫老和尚也是“师傅”，弄得我非常闹心，既想听蛋生喊师父，又不想看到大银幕上的师傅……院线版多出的11分钟是一则小小的幕后纪录，挺好，很感动。20211106北京槐房万达,2009-12-09 20:16:11
